source_id,state,district_or_town,platform,target_type,source_name,source_url,discovery_query,language_focus,crawl_scope,comment_limit,frequency,priority,verification_status,verified_on,notes
FB0013,Negeri Sembilan,Jempol,Facebook,Local Facebook groups,Discovery query,,"site:facebook.com/groups (""Jempol"" OR ""Negeri Sembilan"") (Tamil OR Indian OR இந்தியர் OR தமிழ்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0014,Negeri Sembilan,Jempol,Facebook,Community/public pages,Discovery query,,"site:facebook.com (""Jempol"" OR ""Negeri Sembilan"") (community OR komuniti OR மக்கள் OR சங்கம்) (Tamil OR Indian)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0015,Negeri Sembilan,Jempol,Facebook,SJKT pages,Discovery query,,"site:facebook.com (""Jempol"") (SJKT OR ""sekolah Tamil"" OR தமிழ்ப்பள்ளி)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0016,Negeri Sembilan,Jempol,Facebook,Temple/association pages,Discovery query,,"site:facebook.com (""Jempol"") (kuil OR temple OR கோவில் OR ஆலயம்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0017,Negeri Sembilan,Tampin,Facebook,Local Facebook groups,Discovery query,,"site:facebook.com/groups (""Tampin"" OR ""Negeri Sembilan"") (Tamil OR Indian OR இந்தியர் OR தமிழ்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0018,Negeri Sembilan,Tampin,Facebook,Community/public pages,Discovery query,,"site:facebook.com (""Tampin"" OR ""Negeri Sembilan"") (community OR komuniti OR மக்கள் OR சங்கம்) (Tamil OR Indian)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0019,Negeri Sembilan,Tampin,Facebook,SJKT pages,Discovery query,,"site:facebook.com (""Tampin"") (SJKT OR ""sekolah Tamil"" OR தமிழ்ப்பள்ளி)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0020,Negeri Sembilan,Tampin,Facebook,Temple/association pages,Discovery query,,"site:facebook.com (""Tampin"") (kuil OR temple OR கோவில் OR ஆலயம்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0021,Negeri Sembilan,Kuala Pilah,Facebook,Local Facebook groups,Discovery query,,"site:facebook.com/groups (""Kuala Pilah"" OR ""Negeri Sembilan"") (Tamil OR Indian OR இந்தியர் OR தமிழ்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0022,Negeri Sembilan,Kuala Pilah,Facebook,Community/public pages,Discovery query,,"site:facebook.com (""Kuala Pilah"" OR ""Negeri Sembilan"") (community OR komuniti OR மக்கள் OR சங்கம்) (Tamil OR Indian)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0023,Negeri Sembilan,Kuala Pilah,Facebook,SJKT pages,Discovery query,,"site:facebook.com (""Kuala Pilah"") (SJKT OR ""sekolah Tamil"" OR தமிழ்ப்பள்ளி)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0024,Negeri Sembilan,Kuala Pilah,Facebook,Temple/association pages,Discovery query,,"site:facebook.com (""Kuala Pilah"") (kuil OR temple OR கோவில் OR ஆலயம்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0025,Negeri Sembilan,Rembau,Facebook,Local Facebook groups,Discovery query,,"site:facebook.com/groups (""Rembau"" OR ""Negeri Sembilan"") (Tamil OR Indian OR இந்தியர் OR தமிழ்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0026,Negeri Sembilan,Rembau,Facebook,Community/public pages,Discovery query,,"site:facebook.com (""Rembau"" OR ""Negeri Sembilan"") (community OR komuniti OR மக்கள் OR சங்கம்) (Tamil OR Indian)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0027,Negeri Sembilan,Rembau,Facebook,SJKT pages,Discovery query,,"site:facebook.com (""Rembau"") (SJKT OR ""sekolah Tamil"" OR தமிழ்ப்பள்ளி)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0028,Negeri Sembilan,Rembau,Facebook,Temple/association pages,Discovery query,,"site:facebook.com (""Rembau"") (kuil OR temple OR கோவில் OR ஆலயம்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0029,Negeri Sembilan,Jelebu,Facebook,Local Facebook groups,Discovery query,,"site:facebook.com/groups (""Jelebu"" OR ""Negeri Sembilan"") (Tamil OR Indian OR இந்தியர் OR தமிழ்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0030,Negeri Sembilan,Jelebu,Facebook,Community/public pages,Discovery query,,"site:facebook.com (""Jelebu"" OR ""Negeri Sembilan"") (community OR komuniti OR மக்கள் OR சங்கம்) (Tamil OR Indian)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0031,Negeri Sembilan,Jelebu,Facebook,SJKT pages,Discovery query,,"site:facebook.com (""Jelebu"") (SJKT OR ""sekolah Tamil"" OR தமிழ்ப்பள்ளி)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0032,Negeri Sembilan,Jelebu,Facebook,Temple/association pages,Discovery query,,"site:facebook.com (""Jelebu"") (kuil OR temple OR கோவில் OR ஆலயம்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0033,Melaka,Melaka Tengah,Facebook,Local Facebook groups,Discovery query,,"site:facebook.com/groups (""Melaka Tengah"" OR ""Melaka"") (Tamil OR Indian OR இந்தியர் OR தமிழ்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0034,Melaka,Melaka Tengah,Facebook,Community/public pages,Discovery query,,"site:facebook.com (""Melaka Tengah"" OR ""Melaka"") (community OR komuniti OR மக்கள் OR சங்கம்) (Tamil OR Indian)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0035,Melaka,Melaka Tengah,Facebook,SJKT pages,Discovery query,,"site:facebook.com (""Melaka Tengah"") (SJKT OR ""sekolah Tamil"" OR தமிழ்ப்பள்ளி)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0036,Melaka,Melaka Tengah,Facebook,Temple/association pages,Discovery query,,"site:facebook.com (""Melaka Tengah"") (kuil OR temple OR கோவில் OR ஆலயம்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0037,Melaka,Alor Gajah,Facebook,Local Facebook groups,Discovery query,,"site:facebook.com/groups (""Alor Gajah"" OR ""Melaka"") (Tamil OR Indian OR இந்தியர் OR தமிழ்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0038,Melaka,Alor Gajah,Facebook,Community/public pages,Discovery query,,"site:facebook.com (""Alor Gajah"" OR ""Melaka"") (community OR komuniti OR மக்கள் OR சங்கம்) (Tamil OR Indian)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0039,Melaka,Alor Gajah,Facebook,SJKT pages,Discovery query,,"site:facebook.com (""Alor Gajah"") (SJKT OR ""sekolah Tamil"" OR தமிழ்ப்பள்ளி)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0040,Melaka,Alor Gajah,Facebook,Temple/association pages,Discovery query,,"site:facebook.com (""Alor Gajah"") (kuil OR temple OR கோவில் OR ஆலயம்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0041,Melaka,Jasin,Facebook,Local Facebook groups,Discovery query,,"site:facebook.com/groups (""Jasin"" OR ""Melaka"") (Tamil OR Indian OR இந்தியர் OR தமிழ்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0042,Melaka,Jasin,Facebook,Community/public pages,Discovery query,,"site:facebook.com (""Jasin"" OR ""Melaka"") (community OR komuniti OR மக்கள் OR சங்கம்) (Tamil OR Indian)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0043,Melaka,Jasin,Facebook,SJKT pages,Discovery query,,"site:facebook.com (""Jasin"") (SJKT OR ""sekolah Tamil"" OR தமிழ்ப்பள்ளி)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0044,Melaka,Jasin,Facebook,Temple/association pages,Discovery query,,"site:facebook.com (""Jasin"") (kuil OR temple OR கோவில் OR ஆலயம்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0045,Melaka,Hang Tuah Jaya,Facebook,Local Facebook groups,Discovery query,,"site:facebook.com/groups (""Hang Tuah Jaya"" OR ""Melaka"") (Tamil OR Indian OR இந்தியர் OR தமிழ்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0046,Melaka,Hang Tuah Jaya,Facebook,Community/public pages,Discovery query,,"site:facebook.com (""Hang Tuah Jaya"" OR ""Melaka"") (community OR komuniti OR மக்கள் OR சங்கம்) (Tamil OR Indian)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0047,Melaka,Hang Tuah Jaya,Facebook,SJKT pages,Discovery query,,"site:facebook.com (""Hang Tuah Jaya"") (SJKT OR ""sekolah Tamil"" OR தமிழ்ப்பள்ளி)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0048,Melaka,Hang Tuah Jaya,Facebook,Temple/association pages,Discovery query,,"site:facebook.com (""Hang Tuah Jaya"") (kuil OR temple OR கோவில் OR ஆலயம்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0049,Johor,Johor Bahru,Facebook,Local Facebook groups,Discovery query,,"site:facebook.com/groups (""Johor Bahru"" OR ""Johor"") (Tamil OR Indian OR இந்தியர் OR தமிழ்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0050,Johor,Johor Bahru,Facebook,Community/public pages,Discovery query,,"site:facebook.com (""Johor Bahru"" OR ""Johor"") (community OR komuniti OR மக்கள் OR சங்கம்) (Tamil OR Indian)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0051,Johor,Johor Bahru,Facebook,SJKT pages,Discovery query,,"site:facebook.com (""Johor Bahru"") (SJKT OR ""sekolah Tamil"" OR தமிழ்ப்பள்ளி)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0052,Johor,Johor Bahru,Facebook,Temple/association pages,Discovery query,,"site:facebook.com (""Johor Bahru"") (kuil OR temple OR கோவில் OR ஆலயம்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0053,Johor,Iskandar Puteri,Facebook,Local Facebook groups,Discovery query,,"site:facebook.com/groups (""Iskandar Puteri"" OR ""Johor"") (Tamil OR Indian OR இந்தியர் OR தமிழ்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0054,Johor,Iskandar Puteri,Facebook,Community/public pages,Discovery query,,"site:facebook.com (""Iskandar Puteri"" OR ""Johor"") (community OR komuniti OR மக்கள் OR சங்கம்) (Tamil OR Indian)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0055,Johor,Iskandar Puteri,Facebook,SJKT pages,Discovery query,,"site:facebook.com (""Iskandar Puteri"") (SJKT OR ""sekolah Tamil"" OR தமிழ்ப்பள்ளி)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0056,Johor,Iskandar Puteri,Facebook,Temple/association pages,Discovery query,,"site:facebook.com (""Iskandar Puteri"") (kuil OR temple OR கோவில் OR ஆலயம்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0057,Johor,Pasir Gudang,Facebook,Local Facebook groups,Discovery query,,"site:facebook.com/groups (""Pasir Gudang"" OR ""Johor"") (Tamil OR Indian OR இந்தியர் OR தமிழ்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0058,Johor,Pasir Gudang,Facebook,Community/public pages,Discovery query,,"site:facebook.com (""Pasir Gudang"" OR ""Johor"") (community OR komuniti OR மக்கள் OR சங்கம்) (Tamil OR Indian)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0059,Johor,Pasir Gudang,Facebook,SJKT pages,Discovery query,,"site:facebook.com (""Pasir Gudang"") (SJKT OR ""sekolah Tamil"" OR தமிழ்ப்பள்ளி)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0060,Johor,Pasir Gudang,Facebook,Temple/association pages,Discovery query,,"site:facebook.com (""Pasir Gudang"") (kuil OR temple OR கோவில் OR ஆலயம்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0061,Johor,Kulai,Facebook,Local Facebook groups,Discovery query,,"site:facebook.com/groups (""Kulai"" OR ""Johor"") (Tamil OR Indian OR இந்தியர் OR தமிழ்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0062,Johor,Kulai,Facebook,Community/public pages,Discovery query,,"site:facebook.com (""Kulai"" OR ""Johor"") (community OR komuniti OR மக்கள் OR சங்கம்) (Tamil OR Indian)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0063,Johor,Kulai,Facebook,SJKT pages,Discovery query,,"site:facebook.com (""Kulai"") (SJKT OR ""sekolah Tamil"" OR தமிழ்ப்பள்ளி)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0064,Johor,Kulai,Facebook,Temple/association pages,Discovery query,,"site:facebook.com (""Kulai"") (kuil OR temple OR கோவில் OR ஆலயம்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0065,Johor,Kluang,Facebook,Local Facebook groups,Discovery query,,"site:facebook.com/groups (""Kluang"" OR ""Johor"") (Tamil OR Indian OR இந்தியர் OR தமிழ்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0066,Johor,Kluang,Facebook,Community/public pages,Discovery query,,"site:facebook.com (""Kluang"" OR ""Johor"") (community OR komuniti OR மக்கள் OR சங்கம்) (Tamil OR Indian)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0067,Johor,Kluang,Facebook,SJKT pages,Discovery query,,"site:facebook.com (""Kluang"") (SJKT OR ""sekolah Tamil"" OR தமிழ்ப்பள்ளி)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0068,Johor,Kluang,Facebook,Temple/association pages,Discovery query,,"site:facebook.com (""Kluang"") (kuil OR temple OR கோவில் OR ஆலயம்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0069,Johor,Batu Pahat,Facebook,Local Facebook groups,Discovery query,,"site:facebook.com/groups (""Batu Pahat"" OR ""Johor"") (Tamil OR Indian OR இந்தியர் OR தமிழ்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0070,Johor,Batu Pahat,Facebook,Community/public pages,Discovery query,,"site:facebook.com (""Batu Pahat"" OR ""Johor"") (community OR komuniti OR மக்கள் OR சங்கம்) (Tamil OR Indian)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0071,Johor,Batu Pahat,Facebook,SJKT pages,Discovery query,,"site:facebook.com (""Batu Pahat"") (SJKT OR ""sekolah Tamil"" OR தமிழ்ப்பள்ளி)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0072,Johor,Batu Pahat,Facebook,Temple/association pages,Discovery query,,"site:facebook.com (""Batu Pahat"") (kuil OR temple OR கோவில் OR ஆலயம்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0073,Johor,Muar,Facebook,Local Facebook groups,Discovery query,,"site:facebook.com/groups (""Muar"" OR ""Johor"") (Tamil OR Indian OR இந்தியர் OR தமிழ்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0074,Johor,Muar,Facebook,Community/public pages,Discovery query,,"site:facebook.com (""Muar"" OR ""Johor"") (community OR komuniti OR மக்கள் OR சங்கம்) (Tamil OR Indian)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P1,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0075,Johor,Muar,Facebook,SJKT pages,Discovery query,,"site:facebook.com (""Muar"") (SJKT OR ""sekolah Tamil"" OR தமிழ்ப்பள்ளி)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
FB0076,Johor,Muar,Facebook,Temple/association pages,Discovery query,,"site:facebook.com (""Muar"") (kuil OR temple OR கோவில் OR ஆலயம்)",Tamil|Malay|English|Mixed,Posts + top/latest comments + replies,100,Every 4 hours,P2,discovery_seed,2026-06-16,"Resolve page/group URL, inspect activity and verify locality before production crawl."
