Kod DUN,Nama DUN,ADUN/Penyandang 2023,Pencabar 2023,Lokaliti (tambahan),Kata kunci sedia ada,GABUNG semua kata kunci,Platform socmed (ada mention),Mention total,Keyakinan,Nota guard (tokoh nasional/lazim)
N13,Sikamat,Aminuddin Harun,Ahmad Raihan Muhamad Hilal,kampung baru sikamat,sikamat,sikamat; kampung baru sikamat; aminuddin harun; ahmad raihan muhamad hilal,"x, facebook, youtube, tiktok",10,Sederhana,Aminuddin Harun
N14,Ampangan,Tengku Zamrah Tengku Sulaiman,Muhammad Ghazali Zainal Abidin,,ampangan; bandar baru ampangan,ampangan; bandar baru ampangan; tengku zamrah tengku sulaiman; muhammad ghazali zainal abidin,"facebook, x, youtube",4,Rendah,-
N15,Juasseh,Bibi Sharliza Mohd Khalid,Eddin Syazlee Shith,,juasseh,juasseh; bibi sharliza mohd khalid; eddin syazlee shith,"facebook, x, youtube",4,Rendah,-
N16,Seri Menanti,Muhammad Sufian Maradzi,Jamali Salam,istana seri menanti,seri menanti,seri menanti; istana seri menanti; muhammad sufian maradzi; jamali salam,"tiktok, x, facebook, youtube",16,Sederhana,-
N17,Senaling,Ismail Lasim,Amrina Mohd Khalid,,senaling; pekan senaling,senaling; pekan senaling; ismail lasim; amrina mohd khalid,"x, youtube, facebook",3,Rendah,-
N18,Pilah,Noorzunita Begum Mohd Ibrahim,Rafiei Mustapha,pekan kuala pilah,kuala pilah; dun pilah,kuala pilah; dun pilah; pekan kuala pilah; noorzunita begum mohd ibrahim; rafiei mustapha,"x, youtube, news, tiktok",8,Sederhana,-
N19,Johol,Saiful Yazan Sulaiman,Kamarudin Md Tahir,,johol; dun johol,johol; dun johol; saiful yazan sulaiman; kamarudin md tahir,"facebook, x, youtube",6,Rendah,-
N20,Labu,Mohamad Hanifah Abu Baker,Ismail Ahmad,,labu; dun labu,labu; dun labu; mohamad hanifah abu baker; ismail ahmad,(tiada mention dipetakan),0,Tiada,Ismail Ahmad
N21,Bukit Kepayang,Nicole Tan Lee Koon,Subramaniam Purusothama,,bukit kepayang; kepayang,bukit kepayang; kepayang; nicole tan lee koon; subramaniam purusothama,"x, youtube",2,Rendah,-
N22,Rahang,Desmond Sian Meow Kong,Lee Boon Shian,,rahang,rahang; desmond sian meow kong; lee boon shian,x,1,Rendah,-
N23,Mambau,Yap Yew Weng,Sathes Kumar Nillamiam,,mambau,mambau; yap yew weng; sathes kumar nillamiam,x,1,Rendah,-
N24,Seremban Jaya,Gunasekaren Palasamy,Lee Ban Fatt,paroi jaya,seremban jaya; taman seremban jaya,seremban jaya; taman seremban jaya; paroi jaya; gunasekaren palasamy; lee ban fatt,x,1,Rendah,-
N25,Paroi,Kamarol Ridzuan Md Zain,Norwani Ahmat,senawang industrial,paroi; senawang,paroi; senawang; senawang industrial; kamarol ridzuan md zain; norwani ahmat,"x, news, facebook, youtube",10,Sederhana,-
N26,Chembong,Zaifulbahri Idris,Bakly Baba,,chembong; rembau chembong,chembong; rembau chembong; zaifulbahri idris; bakly baba,x,1,Rendah,-
N27,Rantau,Mohamad Hasan,Rozmal Malakan,pajam,rantau,rantau; pajam; mohamad hasan; rozmal malakan,x,1,Rendah,Mohamad Hasan
N28,Kota,Suhaimi Aini,Ahmad Shukri Abdul Shukor,,seremban kota; dun kota; kerusi kota,seremban kota; dun kota; kerusi kota; suhaimi aini; ahmad shukri abdul shukor,x,2,Rendah,-
N29,Chuah,Yew Boon Lye,Tang Jay Son,,chuah; bukit pelandok,chuah; bukit pelandok; yew boon lye; tang jay son,x,1,Rendah,-
N30,Lukut,Choo Ken Hwa,Ragu Subramaniam,,lukut,lukut; choo ken hwa; ragu subramaniam,"x, youtube",2,Rendah,-
N31,Bagan Pinang,Abdul Fatah Zakaria,Mohd Najib Mohd Isa,pantai pd,bagan pinang; port dickson; si rusa; teluk kemang,bagan pinang; port dickson; si rusa; teluk kemang; pantai pd; abdul fatah zakaria; mohd najib mohd isa,"youtube, x, tiktok, facebook",13,Sederhana,-
N32,Linggi,Mohd Faizal Ramli,Zamri Md Said,,linggi; dun linggi,linggi; dun linggi; mohd faizal ramli; zamri md said,"x, facebook, instagram",6,Rendah,-
N33,Sri Tanjung,Rajasekaran Gunnasekaran,Zabidi Ariffin,,sri tanjung; dun sri tanjung,sri tanjung; dun sri tanjung; rajasekaran gunnasekaran; zabidi ariffin,x,1,Rendah,-
N34,Gemas,Ridzuan Ahmad,Abdul Razak Said,pekan gemas,gemas; dun gemas,gemas; dun gemas; pekan gemas; ridzuan ahmad; abdul razak said,"facebook, x",3,Rendah,-
N35,Gemencheh,Suhaimizan Bizar,Tengku Abdullah Tengku Rakman,,gemencheh,gemencheh; suhaimizan bizar; tengku abdullah tengku rakman,x,1,Rendah,-
N36,Repah,Veerapan Superamaniam,Elaine Yong Li Yi,pekan tampin,repah; dun repah; tampin,repah; dun repah; tampin; pekan tampin; veerapan superamaniam; elaine yong li yi,x,1,Rendah,-
