state,post_id,platform,account_name,account_type,source_category,source_url,published_at,post_text,translated_text_bm,language_detected,constituency,dun_code,district,party_mentioned,candidate_mentioned,issue_cluster,sentiment,sentiment_score,emotion,likes,comments,shares,views,engagement_total,stance_dap,stance_mca,stance_pn,stance_bn,ethnic_sensitive_flag,religion_sensitive_flag,misinformation_flag,risk_level,query_id,jenis_suara,weight_analisis
Melaka,MLKCN-00011,YouTube,Sin Chew Melaka,Community,MP,https://example.com/mlk/post/11,2026-05-29 02:29:22,Chinese community in Melaka discusses heritage tourism and local services. — Jasin,Chinese community in Melaka discusses heritage tourism and local services. — Jasin,en,Jasin,MLK-N08,Jasin,PKR,Liew Chin Tong,Other,positive,0.55,sadness,656,190,35,44750.0,881,oppose,oppose,neutral,oppose,False,False,False,Low,,media_chinese,Tinggi
Melaka,MLKCN-00012,YouTube,Melaka Heritage Talk,Community,Community Page,https://example.com/mlk/post/12,2026-05-04 13:21:17,Kerajaan Melaka perlu fokus perkhidmatan Bandar Hilir. (Bukit Katil),Kerajaan Melaka perlu fokus perkhidmatan Bandar Hilir. (Bukit Katil),ms,Bukit Katil,MLK-N13,Melaka,Bersatu,Local ADUN,Other,positive,0.91,trust,2457,468,161,5254.0,3086,neutral,oppose,oppose,neutral,True,False,False,High,,media_chinese,Tinggi
Melaka,MLKCN-00013,X,Melaka Heritage Talk,Media,Chinese Media,https://example.com/mlk/post/13,2026-05-14 05:18:31,Bandar Hilir 停车位不足，居民投诉。 PRN Melaka: pengundi Cina bincang isu pelancongan dan kos sara hidup.,[BM] Bandar Hilir 停车位不足，居民投诉。 PRN Melaka: pengundi Cina bincang isu pelancongan dan kos sara hidup. (Alor Gajah),mixed,Alor Gajah,MLK-N01,Alor Gajah,PKR,Calon PH,Cost of Living,negative,0.01,fear,2452,679,53,9300.0,3184,support,support,,oppose,False,False,False,High,,media_chinese,Tinggi
Melaka,MLKCN-00014,Facebook,DAP Melaka,Community,Political Party,https://example.com/mlk/post/14,2026-05-27 11:39:31,Bandar Hilir 停车位不足，居民投诉。 #Bandar,[BM] Bandar Hilir 停车位不足，居民投诉。 #Bandar (Bandar Hilir),zh-CN,Bandar Hilir,MLK-N16,Melaka,Bersatu,Liew Chin Tong,Local Government Services,negative,-0.75,fear,2145,165,379,46746.0,2689,oppose,support,oppose,neutral,False,True,False,Medium,,media_chinese,Tinggi
Melaka,MLKCN-00015,Instagram,Sin Chew Melaka,Organisation,Government Agency,https://example.com/mlk/post/15,2026-06-12 18:55:27,独中拨款和华文教育仍是热点。 #Hang,[BM] 独中拨款和华文教育仍是热点。 #Hang (Hang Tuah Jaya),zh-TW,Hang Tuah Jaya,MLK-N14,Melaka,PKR,Liew Chin Tong,Chinese Education,positive,0.74,neutral,3329,635,383,,4347,neutral,oppose,neutral,support,False,False,False,Low,,media_chinese,Tinggi
Melaka,MLKCN-00016,Chinese online media,Melaka Biz Watch,Community,Government Agency,https://example.com/mlk/post/16,2026-05-18 01:06:53,Bandar Hilir 停车位不足，居民投诉。 #Alor,[BM] Bandar Hilir 停车位不足，居民投诉。 #Alor (Alor Gajah),zh-CN,Alor Gajah,MLK-N01,Alor Gajah,UMNO,,Local Government Services,positive,-0.15,fear,2864,312,116,43755.0,3292,neutral,oppose,support,support,False,False,False,Medium,,media_chinese,Tinggi
Melaka,MLKCN-00017,YouTube,Melaka Heritage Talk,Media,Influencer,https://example.com/mlk/post/17,2026-05-01 01:58:13,Chinese community in Melaka discusses heritage tourism and local services. — Jasin,Chinese community in Melaka discusses heritage tourism and local services. — Jasin,en,Jasin,MLK-N08,Jasin,PN,Anthony Loke,Other,negative,0.9,fear,3574,620,261,,4455,oppose,support,oppose,oppose,False,False,True,Critical,,media_chinese,Tinggi
Melaka,MLKCN-00018,YouTube,Sin Chew Melaka,Media,Community Page,https://example.com/mlk/post/18,2026-05-20 17:06:42,Chinese community in Melaka discusses heritage tourism and local services. — Hang Tuah Jaya,Chinese community in Melaka discusses heritage tourism and local services. — Hang Tuah Jaya,en,Hang Tuah Jaya,MLK-N14,Melaka,BN,Calon BN,Other,neutral,0.26,sadness,4541,130,98,25347.0,4769,oppose,,,,False,False,False,Medium,,media_chinese,Tinggi
Melaka,MLKCN-00019,X,Melaka Heritage Talk,Organisation,Political Party,https://example.com/mlk/post/19,2026-06-02 15:51:49,独中拨款和华文教育仍是热点。 #Hang,[BM] 独中拨款和华文教育仍是热点。 #Hang (Hang Tuah Jaya),zh-TW,Hang Tuah Jaya,MLK-N14,Melaka,,,Chinese Education,neutral,-0.24,joy,1390,674,43,44006.0,2107,support,,,neutral,False,False,False,Low,,media_chinese,Tinggi
Melaka,MLKCN-00020,YouTube,Melaka Heritage Talk,Individual,Public User,https://example.com/mlk/post/20,2026-05-03 10:30:31,Chinese community in Melaka discusses heritage tourism and local services. — Hang Tuah Jaya,Chinese community in Melaka discusses heritage tourism and local services. — Hang Tuah Jaya,en,Hang Tuah Jaya,MLK-N14,Melaka,Gerakan,Local ADUN,Other,neutral,0.74,surprise,45,768,394,28362.0,1207,oppose,,,,False,False,False,Medium,,media_chinese,Tinggi
Melaka,MLKCN-00021,X,DAP Melaka,Community,MP,https://example.com/mlk/post/21,2026-05-14 04:34:15,Chinese community in Melaka discusses heritage tourism and local services. — Bukit Katil,Chinese community in Melaka discusses heritage tourism and local services. — Bukit Katil,en,Bukit Katil,MLK-N13,Melaka,PH,Local ADUN,Other,neutral,-0.1,joy,2271,784,398,41574.0,3453,neutral,neutral,support,,False,False,False,Low,,media_chinese,Tinggi
Melaka,MLKCN-00022,X,DAP Melaka,Political,Influencer,https://example.com/mlk/post/22,2026-05-01 06:52:09,Kerajaan Melaka perlu fokus perkhidmatan Bandar Hilir. (Alor Gajah),Kerajaan Melaka perlu fokus perkhidmatan Bandar Hilir. (Alor Gajah),ms,Alor Gajah,MLK-N01,Alor Gajah,PH,Calon BN,Other,neutral,0.33,fear,3441,398,394,46081.0,4233,,,support,,True,False,False,Critical,,media_chinese,Tinggi
Melaka,MLKCN-00023,Facebook,DAP Melaka,Political,Government Agency,https://example.com/mlk/post/23,2026-05-09 19:43:46,Chinese community in Melaka discusses heritage tourism and local services. — Klebang,Chinese community in Melaka discusses heritage tourism and local services. — Klebang,en,Klebang,MLK-N12,Melaka,Gerakan,Calon BN,Other,negative,-0.09,fear,4375,27,201,43950.0,4603,,oppose,,oppose,True,False,False,Critical,,media_chinese,Tinggi
Melaka,MLKCN-00024,Community pages,Sin Chew Melaka,Community,Political Party,https://example.com/mlk/post/24,2026-05-10 16:16:19,Chinese community in Melaka discusses heritage tourism and local services. — Bandar Hilir,Chinese community in Melaka discusses heritage tourism and local services. — Bandar Hilir,en,Bandar Hilir,MLK-N16,Melaka,DAP,Calon BN,Other,negative,-0.75,surprise,2866,229,332,,3427,support,neutral,,oppose,False,True,True,High,,media_chinese,Tinggi
Melaka,MLKCN-00025,Chinese online media,Melaka Heritage Talk,Individual,Chinese Media,https://example.com/mlk/post/25,2026-05-20 06:08:09,独中拨款和华文教育仍是热点。 #Klebang,[BM] 独中拨款和华文教育仍是热点。 #Klebang (Klebang),zh-TW,Klebang,MLK-N12,Melaka,,Anthony Loke,Chinese Education,negative,0.39,fear,938,796,83,7584.0,1817,support,support,oppose,,False,False,False,Low,,media_chinese,Tinggi
Melaka,MLKCN-00026,TikTok,DAP Melaka,Community,Public User,https://example.com/mlk/post/26,2026-05-22 03:22:45,PRN Melaka: pengundi Cina bincang isu pelancongan dan kos sara hidup. (Hang Tuah Jaya),PRN Melaka: pengundi Cina bincang isu pelancongan dan kos sara hidup. (Hang Tuah Jaya),ms,Hang Tuah Jaya,MLK-N14,Melaka,PN,Khoo Poay Tiong,Cost of Living,neutral,0.27,surprise,103,430,250,,783,oppose,oppose,neutral,support,False,False,False,Low,,media_chinese,Tinggi
Melaka,MLKCN-00027,X,DAP Melaka,Community,ADUN,https://example.com/mlk/post/27,2026-05-17 12:31:24,Chinese community in Melaka discusses heritage tourism and local services. — Klebang,Chinese community in Melaka discusses heritage tourism and local services. — Klebang,en,Klebang,MLK-N12,Melaka,Amanah,Calon BN,Other,negative,-0.83,surprise,4999,684,194,32894.0,5877,,,neutral,,False,False,False,Critical,,media_chinese,Tinggi
Melaka,MLKCN-00028,Chinese online media,DAP Melaka,Media,Public User,https://example.com/mlk/post/28,2026-05-21 15:44:52,Chinese community in Melaka discusses heritage tourism and local services. — Hang Tuah Jaya,Chinese community in Melaka discusses heritage tourism and local services. — Hang Tuah Jaya,en,Hang Tuah Jaya,MLK-N14,Melaka,MCA,Calon PH,Other,negative,-0.39,anger,2410,226,207,20567.0,2843,support,neutral,oppose,support,False,False,False,Low,,media_chinese,Tinggi
Melaka,MLKCN-00029,X,Melaka Heritage Talk,Media,ADUN,https://example.com/mlk/post/29,2026-05-12 01:02:13,马六甲州选，古城旅游区商家希望州政府多宣传。 PRN Melaka: pengundi Cina bincang isu pelancongan dan kos sara hidup.,[BM] 马六甲州选，古城旅游区商家希望州政府多宣传。 PRN Melaka: pengundi Cina bincang isu pelancongan dan kos sara hidup. (Hang Tuah Jaya),mixed,Hang Tuah Jaya,MLK-N14,Melaka,UMNO,Local ADUN,Cost of Living,positive,0.06,trust,2265,741,301,34882.0,3307,oppose,neutral,,support,False,False,False,Medium,,media_chinese,Tinggi
Melaka,MLKCN-00030,TikTok,DAP Melaka,Individual,Chinese Media,https://example.com/mlk/post/30,2026-05-08 08:46:29,Bandar Hilir 停车位不足，居民投诉。 PRN Melaka: pengundi Cina bincang isu pelancongan dan kos sara hidup.,[BM] Bandar Hilir 停车位不足，居民投诉。 PRN Melaka: pengundi Cina bincang isu pelancongan dan kos sara hidup. (Bandar Hilir),mixed,Bandar Hilir,MLK-N16,Melaka,PN,Anthony Loke,Cost of Living,neutral,0.43,joy,1510,52,129,31808.0,1691,neutral,,,,False,False,False,Low,,media_chinese,Tinggi
Melaka,MLKCN-00031,YouTube,Sin Chew Melaka,Organisation,ADUN,https://example.com/mlk/post/31,2026-05-09 10:30:26,Bandar Hilir 停车位不足，居民投诉。 PRN Melaka: pengundi Cina bincang isu pelancongan dan kos sara hidup.,[BM] Bandar Hilir 停车位不足，居民投诉。 PRN Melaka: pengundi Cina bincang isu pelancongan dan kos sara hidup. (Klebang),mixed,Klebang,MLK-N12,Melaka,DAP,Liew Chin Tong,Cost of Living,neutral,0.29,sadness,4994,757,50,14117.0,5801,,oppose,support,neutral,False,False,False,Low,,media_chinese,Tinggi
Melaka,MLKCN-00032,TikTok,Sin Chew Melaka,Individual,Political Party,https://example.com/mlk/post/32,2026-06-10 03:05:42,Kerajaan Melaka perlu fokus perkhidmatan Bandar Hilir. (Klebang),Kerajaan Melaka perlu fokus perkhidmatan Bandar Hilir. (Klebang),ms,Klebang,MLK-N12,Melaka,PH,Calon PH,Other,positive,0.47,neutral,2167,640,301,13464.0,3108,oppose,,support,,False,False,False,Medium,,media_chinese,Tinggi
Melaka,MLKCN-00033,Facebook,Melaka Heritage Talk,Community,ADUN,https://example.com/mlk/post/33,2026-05-02 06:08:05,Kerajaan Melaka perlu fokus perkhidmatan Bandar Hilir. (Hang Tuah Jaya),Kerajaan Melaka perlu fokus perkhidmatan Bandar Hilir. (Hang Tuah Jaya),ms,Hang Tuah Jaya,MLK-N14,Melaka,PKR,Calon PH,Other,negative,0.15,neutral,4423,505,224,,5152,neutral,,,oppose,True,False,False,Critical,,media_chinese,Tinggi
Melaka,MLKCN-00034,Instagram,Sin Chew Melaka,Political,MP,https://example.com/mlk/post/34,2026-06-02 03:57:56,Bandar Hilir 停车位不足，居民投诉。 PRN Melaka: pengundi Cina bincang isu pelancongan dan kos sara hidup.,[BM] Bandar Hilir 停车位不足，居民投诉。 PRN Melaka: pengundi Cina bincang isu pelancongan dan kos sara hidup. (Bukit Katil),mixed,Bukit Katil,MLK-N13,Melaka,UMNO,Calon PN,Cost of Living,negative,-0.5,trust,2850,418,170,7355.0,3438,,support,,,False,False,False,Critical,,media_chinese,Tinggi
Melaka,MLKCN-00035,Facebook,Melaka Heritage Talk,Organisation,Community Page,https://example.com/mlk/post/35,2026-05-06 21:28:17,独中拨款和华文教育仍是热点。 #Bandar,[BM] 独中拨款和华文教育仍是热点。 #Bandar (Bandar Hilir),zh-TW,Bandar Hilir,MLK-N16,Melaka,UMNO,,Chinese Education,neutral,0.42,trust,3621,778,26,36493.0,4425,neutral,support,,support,False,False,False,Medium,,media_chinese,Tinggi
Melaka,MLKCN-00036,YouTube,Melaka Heritage Talk,Individual,Community Page,https://example.com/mlk/post/36,2026-05-10 06:04:37,Bandar Hilir 停车位不足，居民投诉。 #Hang,[BM] Bandar Hilir 停车位不足，居民投诉。 #Hang (Hang Tuah Jaya),zh-TW,Hang Tuah Jaya,MLK-N14,Melaka,BN,Liew Chin Tong,Local Government Services,negative,-0.32,neutral,4168,722,139,32121.0,5029,oppose,support,oppose,oppose,False,False,False,Critical,,media_chinese,Tinggi
Melaka,MLKCN-00037,Instagram,Melaka Heritage Talk,Political,ADUN,https://example.com/mlk/post/37,2026-05-28 18:11:33,Bandar Hilir 停车位不足，居民投诉。 PRN Melaka: pengundi Cina bincang isu pelancongan dan kos sara hidup.,[BM] Bandar Hilir 停车位不足，居民投诉。 PRN Melaka: pengundi Cina bincang isu pelancongan dan kos sara hidup. (Jasin),mixed,Jasin,MLK-N08,Jasin,UMNO,Calon PN,Cost of Living,neutral,0.67,surprise,2827,340,282,25220.0,3449,,,neutral,,False,False,False,Low,,media_chinese,Tinggi
Melaka,MLKCN-00038,Instagram,DAP Melaka,Media,Influencer,https://example.com/mlk/post/38,2026-05-04 15:10:52,独中拨款和华文教育仍是热点。 #Bandar,[BM] 独中拨款和华文教育仍是热点。 #Bandar (Bandar Hilir),zh-TW,Bandar Hilir,MLK-N16,Melaka,PN,Anthony Loke,Chinese Education,negative,0.7,neutral,822,450,51,30445.0,1323,,oppose,,support,True,False,False,High,,media_chinese,Tinggi
Melaka,MLKCN-00039,X,Sin Chew Melaka,Individual,Government Agency,https://example.com/mlk/post/39,2026-06-03 16:34:11,马六甲州选，古城旅游区商家希望州政府多宣传。 #Jasin,[BM] 马六甲州选，古城旅游区商家希望州政府多宣传。 #Jasin (Jasin),zh-CN,Jasin,MLK-N08,Jasin,BN,,SME and Business,negative,-0.41,fear,1863,764,46,6951.0,2673,,neutral,neutral,,False,False,False,Medium,,media_chinese,Tinggi
Melaka,MLKCN-00040,Facebook,Melaka Biz Watch,Media,Political Party,https://example.com/mlk/post/40,2026-06-02 08:55:32,马六甲州选，古城旅游区商家希望州政府多宣传。 #Jasin,[BM] 马六甲州选，古城旅游区商家希望州政府多宣传。 #Jasin (Jasin),zh-TW,Jasin,MLK-N08,Jasin,Amanah,Anthony Loke,SME and Business,positive,0.27,fear,3133,634,349,38717.0,4116,oppose,,oppose,,False,False,False,Medium,,media_chinese,Tinggi
Melaka,MLKCN-00041,Facebook,Sin Chew Melaka,Community,Public User,https://example.com/mlk/post/41,2026-05-14 07:47:34,Bandar Hilir 停车位不足，居民投诉。 #Klebang,[BM] Bandar Hilir 停车位不足，居民投诉。 #Klebang (Klebang),zh-TW,Klebang,MLK-N12,Melaka,MCA,Calon PH,Local Government Services,negative,0.55,anger,1943,390,292,19890.0,2625,oppose,neutral,neutral,oppose,False,False,False,Low,,media_chinese,Tinggi
Melaka,MLKCN-00042,Instagram,Melaka Heritage Talk,Organisation,Political Party,https://example.com/mlk/post/42,2026-06-06 06:52:41,独中拨款和华文教育仍是热点。 #Hang,[BM] 独中拨款和华文教育仍是热点。 #Hang (Hang Tuah Jaya),zh-TW,Hang Tuah Jaya,MLK-N14,Melaka,Bersatu,Calon PN,Chinese Education,positive,0.39,fear,322,316,225,,863,neutral,oppose,,oppose,False,False,False,Medium,,media_chinese,Tinggi
Melaka,MLKCN-00043,Community pages,Melaka Biz Watch,Individual,Community Page,https://example.com/mlk/post/43,2026-05-05 09:12:37,PRN Melaka: pengundi Cina bincang isu pelancongan dan kos sara hidup. (Hang Tuah Jaya),PRN Melaka: pengundi Cina bincang isu pelancongan dan kos sara hidup. (Hang Tuah Jaya),ms,Hang Tuah Jaya,MLK-N14,Melaka,MCA,Anthony Loke,Cost of Living,neutral,0.29,surprise,1153,772,115,47962.0,2040,oppose,,oppose,support,False,False,False,Medium,,media_chinese,Tinggi
Melaka,MLKCN-00044,TikTok,Sin Chew Melaka,Individual,Community Page,https://example.com/mlk/post/44,2026-05-06 15:56:14,Bandar Hilir 停车位不足，居民投诉。 #Hang,[BM] Bandar Hilir 停车位不足，居民投诉。 #Hang (Hang Tuah Jaya),zh-TW,Hang Tuah Jaya,MLK-N14,Melaka,PKR,Khoo Poay Tiong,Local Government Services,positive,-0.15,anger,2687,624,113,42141.0,3424,neutral,,,oppose,False,False,False,Medium,,media_chinese,Tinggi
Melaka,MLKCN-00045,X,Sin Chew Melaka,Media,Government Agency,https://example.com/mlk/post/45,2026-06-11 12:40:18,Bandar Hilir 停车位不足，居民投诉。 PRN Melaka: pengundi Cina bincang isu pelancongan dan kos sara hidup.,[BM] Bandar Hilir 停车位不足，居民投诉。 PRN Melaka: pengundi Cina bincang isu pelancongan dan kos sara hidup. (Hang Tuah Jaya),mixed,Hang Tuah Jaya,MLK-N14,Melaka,Bersatu,,Cost of Living,negative,-0.2,anger,811,501,315,18833.0,1627,support,,support,neutral,True,False,False,High,,media_chinese,Tinggi
Melaka,MLKCN-00046,Community pages,Melaka Heritage Talk,Community,ADUN,https://example.com/mlk/post/46,2026-05-16 22:47:58,马六甲州选，古城旅游区商家希望州政府多宣传。 PRN Melaka: pengundi Cina bincang isu pelancongan dan kos sara hidup.,[BM] 马六甲州选，古城旅游区商家希望州政府多宣传。 PRN Melaka: pengundi Cina bincang isu pelancongan dan kos sara hidup. (Hang Tuah Jaya),mixed,Hang Tuah Jaya,MLK-N14,Melaka,PH,Calon PH,Cost of Living,negative,0.72,anger,1031,578,105,,1714,neutral,oppose,neutral,support,False,False,False,Medium,,media_chinese,Tinggi
Melaka,MLKCN-00047,Instagram,Melaka Biz Watch,Media,MP,https://example.com/mlk/post/47,2026-05-04 02:03:01,马六甲州选，古城旅游区商家希望州政府多宣传。 #Hang,[BM] 马六甲州选，古城旅游区商家希望州政府多宣传。 #Hang (Hang Tuah Jaya),zh-CN,Hang Tuah Jaya,MLK-N14,Melaka,PH,Khoo Poay Tiong,SME and Business,positive,0.35,sadness,4823,331,8,,5162,support,oppose,,support,True,False,False,Medium,,media_chinese,Tinggi
Melaka,MLKCN-00048,Chinese online media,DAP Melaka,Political,Community Page,https://example.com/mlk/post/48,2026-05-31 07:22:57,Chinese community in Melaka discusses heritage tourism and local services. — Bandar Hilir,Chinese community in Melaka discusses heritage tourism and local services. — Bandar Hilir,en,Bandar Hilir,MLK-N16,Melaka,MCA,Khoo Poay Tiong,Other,neutral,0.36,joy,4016,729,227,,4972,support,support,neutral,,False,False,False,Medium,,media_chinese,Tinggi
Melaka,MLKCN-00049,Instagram,Sin Chew Melaka,Individual,MP,https://example.com/mlk/post/49,2026-06-03 08:12:16,Bandar Hilir 停车位不足，居民投诉。 #Alor,[BM] Bandar Hilir 停车位不足，居民投诉。 #Alor (Alor Gajah),zh-TW,Alor Gajah,MLK-N01,Alor Gajah,UMNO,Anthony Loke,Local Government Services,neutral,0.26,surprise,3266,425,373,,4064,oppose,neutral,support,oppose,False,False,False,Low,,media_chinese,Tinggi
Melaka,MLKCN-00050,Instagram,Melaka Heritage Talk,Individual,Government Agency,https://example.com/mlk/post/50,2026-06-01 21:09:11,Bandar Hilir 停车位不足，居民投诉。 #Hang,[BM] Bandar Hilir 停车位不足，居民投诉。 #Hang (Hang Tuah Jaya),zh-CN,Hang Tuah Jaya,MLK-N14,Melaka,Bersatu,Calon PN,Local Government Services,neutral,-0.15,fear,3464,738,26,39848.0,4228,neutral,,support,oppose,False,False,False,Low,,media_chinese,Tinggi
Melaka,MLKCN-00051,Facebook,Sin Chew Melaka,Community,Chinese Media,https://example.com/mlk/post/51,2026-05-31 17:41:55,Bandar Hilir 停车位不足，居民投诉。 #Bandar,[BM] Bandar Hilir 停车位不足，居民投诉。 #Bandar (Bandar Hilir),zh-TW,Bandar Hilir,MLK-N16,Melaka,BN,Liew Chin Tong,Local Government Services,negative,-0.16,fear,2783,359,3,,3145,neutral,oppose,oppose,oppose,False,False,False,Medium,,media_chinese,Tinggi
Melaka,MLKCN-00052,YouTube,Sin Chew Melaka,Media,Influencer,https://example.com/mlk/post/52,2026-06-06 15:34:21,马六甲州选，古城旅游区商家希望州政府多宣传。 PRN Melaka: pengundi Cina bincang isu pelancongan dan kos sara hidup.,[BM] 马六甲州选，古城旅游区商家希望州政府多宣传。 PRN Melaka: pengundi Cina bincang isu pelancongan dan kos sara hidup. (Jasin),mixed,Jasin,MLK-N08,Jasin,Amanah,Anthony Loke,Cost of Living,positive,0.07,surprise,407,690,41,43880.0,1138,,oppose,support,neutral,False,False,False,Low,,media_chinese,Tinggi
Melaka,MLKCN-00053,Chinese online media,Melaka Heritage Talk,Community,Government Agency,https://example.com/mlk/post/53,2026-05-26 20:30:12,马六甲州选，古城旅游区商家希望州政府多宣传。 PRN Melaka: pengundi Cina bincang isu pelancongan dan kos sara hidup.,[BM] 马六甲州选，古城旅游区商家希望州政府多宣传。 PRN Melaka: pengundi Cina bincang isu pelancongan dan kos sara hidup. (Alor Gajah),mixed,Alor Gajah,MLK-N01,Alor Gajah,PH,Anthony Loke,Cost of Living,positive,0.22,surprise,1124,782,130,8363.0,2036,support,,support,,True,False,False,Critical,,media_chinese,Tinggi
Melaka,MLKCN-00054,Instagram,Sin Chew Melaka,Organisation,Influencer,https://example.com/mlk/post/54,2026-05-05 06:40:43,Kerajaan Melaka perlu fokus perkhidmatan Bandar Hilir. (Bandar Hilir),Kerajaan Melaka perlu fokus perkhidmatan Bandar Hilir. (Bandar Hilir),ms,Bandar Hilir,MLK-N16,Melaka,,Liew Chin Tong,Other,neutral,0.38,joy,3421,296,58,21784.0,3775,oppose,oppose,neutral,oppose,False,False,False,Medium,,media_chinese,Tinggi
Melaka,MLKCN-00055,X,Melaka Heritage Talk,Organisation,Political Party,https://example.com/mlk/post/55,2026-05-08 02:37:11,独中拨款和华文教育仍是热点。 #Bukit,[BM] 独中拨款和华文教育仍是热点。 #Bukit (Bukit Katil),zh-CN,Bukit Katil,MLK-N13,Melaka,PKR,Anthony Loke,Chinese Education,negative,-0.65,neutral,4177,198,397,48169.0,4772,,,,oppose,False,False,False,High,,media_chinese,Tinggi
