post_id,platform,account_name,account_type,source_category,source_url,published_at,post_text,translated_text_bm,language_detected,constituency,dun_code,district,party_mentioned,candidate_mentioned,issue_cluster,sentiment,sentiment_score,emotion,likes,comments,shares,views,engagement_total,stance_dap,stance_mca,stance_pn,stance_bn,ethnic_sensitive_flag,religion_sensitive_flag,misinformation_flag,risk_level
N9CN-00011,YouTube,Seremban Voice,Organisation,MP,https://example.com/post/11,2026-05-03 18:16:10,马口小贩反映市议会执法太严，生意难做。 DAP Negeri Sembilan perlu fokus perkhidmatan tempatan di Lobak.,[BM] Campuran: 马口小贩反映市议会执法太严，生意难做。 DAP Negeri Sembilan perlu fokus perkhidmatan tempatan di Lobak.,mixed,Tampin,N34,Tampin,BN,Calon PH,SME and Business,positive,-0.21,neutral,1783,59,296,4494.0,2138,neutral,,support,neutral,False,True,False,Low
N9CN-00012,Chinese online media,N9 Biz Watch,Political,Government Agency,https://example.com/post/12,2026-06-02 14:34:32,森美兰州选临近，芙蓉市区塞车问题又严重了，停车位不够。 PRN Negeri Sembilan: pengundi Cina di Seremban bincang isu kos sara hidup.,[BM] Campuran: 森美兰州选临近，芙蓉市区塞车问题又严重了，停车位不够。 PRN Negeri Sembilan: pengundi Cina di Seremban bincang isu kos sara hidu,mixed,Jelebu,N02,Jelebu,Amanah,,Cost of Living,neutral,-0.29,sadness,4630,535,161,13886.0,5326,support,support,neutral,oppose,False,False,False,Low
N9CN-00013,Community pages,Harakah Digital,Media,MP,https://example.com/post/13,2026-06-02 10:07:01,PRN Negeri Sembilan: pengundi Cina di Seremban bincang isu kos sara hidup. (Temiang),PRN Negeri Sembilan: pengundi Cina di Seremban bincang isu kos sara hidup. (Temiang),ms,Temiang,N12,Seremban,PN,Anthony Loke,Cost of Living,negative,-0.47,trust,2334,161,224,46607.0,2719,neutral,oppose,oppose,neutral,False,False,False,Medium
N9CN-00014,Community pages,DAP NS Updates,Media,Political Party,https://example.com/post/14,2026-05-17 04:37:17,PH和BN合作讨论，网上议论纷纷。 #Bahau,Perbincangan kerjasama PH dan BN — perdebatan sengit online. (Bahau),zh-TW,Bahau,N08,Jempol,BN,Calon PN,PH-BN Relationship,negative,-0.12,surprise,4140,500,128,3829.0,4768,,support,support,support,False,False,False,High
N9CN-00015,Community pages,Harakah Digital,Political,Political Party,https://example.com/post/15,2026-05-18 04:03:55,森美兰州选临近，芙蓉市区塞车问题又严重了，停车位不够。 DAP Negeri Sembilan perlu fokus perkhidmatan tempatan di Lobak.,[BM] Campuran: 森美兰州选临近，芙蓉市区塞车问题又严重了，停车位不够。 DAP Negeri Sembilan perlu fokus perkhidmatan tempatan di Lobak.,mixed,Temiang,N12,Seremban,Gerakan,Anthony Loke,Local Government Services,neutral,0.82,neutral,3520,130,21,3114.0,3671,neutral,,support,neutral,False,False,False,Low
N9CN-00016,Facebook,Public User_4821,Organisation,Influencer,https://example.com/post/16,2026-05-11 19:43:29,SME owners in Nilai worry about rising costs ahead of state election. — Bahau,SME owners in Nilai worry about rising costs ahead of state election. — Bahau,en,Bahau,N08,Jempol,,Local ADUN,SME and Business,neutral,0.06,trust,885,391,19,15077.0,1295,oppose,oppose,,oppose,False,False,False,Low
N9CN-00017,YouTube,MCA N9 Community,Media,ADUN,https://example.com/post/17,2026-05-19 16:47:06,芦骨华人区水供不稳定，居民投诉多次。 #Seremban,"Kawasan Cina Lukut — bekalan air tidak stabil, penduduk adu berkali-kali. (Seremban)",zh-CN,Seremban,N21,Seremban,BN,Calon PN,Water Supply,positive,0.27,sadness,313,111,305,48245.0,729,neutral,oppose,,support,False,False,False,Low
N9CN-00018,Chinese online media,Influencer_Amy,Organisation,Community Page,https://example.com/post/18,2026-05-19 09:44:10,汝来工厂区物价上涨，中小企业老板叫苦。华社关注生活费。 PRN Negeri Sembilan: pengundi Cina di Seremban bincang isu kos sara hidup.,[BM] Campuran: 汝来工厂区物价上涨，中小企业老板叫苦。华社关注生活费。 PRN Negeri Sembilan: pengundi Cina di Seremban bincang isu kos sara hidu,mixed,Bahau,N08,Jempol,BN,Calon BN,Cost of Living,negative,0.1,trust,4154,316,341,26871.0,4811,oppose,oppose,neutral,,False,False,False,Medium
N9CN-00019,Community pages,MCA N9 Community,Media,Chinese Media,https://example.com/post/19,2026-05-05 12:48:14,马口小贩反映市议会执法太严，生意难做。 DAP Negeri Sembilan perlu fokus perkhidmatan tempatan di Lobak.,[BM] Campuran: 马口小贩反映市议会执法太严，生意难做。 DAP Negeri Sembilan perlu fokus perkhidmatan tempatan di Lobak.,mixed,Jelebu,N02,Jelebu,UMNO,Anthony Loke,SME and Business,neutral,-0.11,trust,1750,523,242,48731.0,2515,neutral,,support,,False,False,False,Medium
N9CN-00020,TikTok,Influencer_Amy,Community,Public User,https://example.com/post/20,2026-05-11 14:58:06,森美兰州选临近，芙蓉市区塞车问题又严重了，停车位不够。 DAP Negeri Sembilan perlu fokus perkhidmatan tempatan di Lobak.,[BM] Campuran: 森美兰州选临近，芙蓉市区塞车问题又严重了，停车位不够。 DAP Negeri Sembilan perlu fokus perkhidmatan tempatan di Lobak.,mixed,Tampin,N34,Tampin,PH,,Local Government Services,neutral,0.42,neutral,1208,671,352,,2231,support,,neutral,,False,False,False,Medium
N9CN-00021,Chinese online media,N9 Biz Watch,Community,Public User,https://example.com/post/21,2026-06-10 18:30:40,马口小贩反映市议会执法太严，生意难做。 DAP Negeri Sembilan perlu fokus perkhidmatan tempatan di Lobak.,[BM] Campuran: 马口小贩反映市议会执法太严，生意难做。 DAP Negeri Sembilan perlu fokus perkhidmatan tempatan di Lobak.,mixed,Kuala Pilah,N18,Kuala Pilah,UMNO,Calon PN,SME and Business,negative,-0.52,joy,4135,436,280,10930.0,4851,support,oppose,neutral,oppose,False,False,False,High
N9CN-00022,Facebook,MCA N9 Community,Political,Influencer,https://example.com/post/22,2026-05-21 04:24:43,Politik agama jangan jadi isu utama PRN NS. (Bahau),Politik agama jangan jadi isu utama PRN NS. (Bahau),ms,Bahau,N08,Jempol,Gerakan,Calon PH,Race and Religion,positive,0.93,trust,1894,392,355,,2641,,,support,oppose,False,False,False,Medium
N9CN-00023,TikTok,Nilai Residents,Organisation,ADUN,https://example.com/post/23,2026-06-05 03:43:56,Traffic congestion in Seremban city centre frustrates residents. — Chennah,Traffic congestion in Seremban city centre frustrates residents. — Chennah,en,Chennah,N02,Jelebu,,Calon BN,Road and Traffic,neutral,0.47,surprise,4473,617,112,18387.0,5202,support,support,,neutral,False,True,False,Medium
N9CN-00024,Facebook,Influencer_Amy,Community,ADUN,https://example.com/post/24,2026-05-23 19:56:49,森美兰州选临近，芙蓉市区塞车问题又严重了，停车位不够。 #Repah,"PRN Negeri Sembilan hampir, kesesakan trafik di bandar Seremban semakin teruk, tempat letak kereta tidak mencukupi. (Repah)",zh-TW,Repah,N36,Jempol,PN,Local ADUN,Local Government Services,neutral,-0.01,trust,1733,465,167,25346.0,2365,support,support,neutral,neutral,False,False,False,Low
N9CN-00025,Community pages,DAP NS Updates,Media,MP,https://example.com/post/25,2026-06-07 18:11:35,森美兰州选临近，芙蓉市区塞车问题又严重了，停车位不够。 PRN Negeri Sembilan: pengundi Cina di Seremban bincang isu kos sara hidup.,[BM] Campuran: 森美兰州选临近，芙蓉市区塞车问题又严重了，停车位不够。 PRN Negeri Sembilan: pengundi Cina di Seremban bincang isu kos sara hidu,mixed,Seremban,N21,Seremban,Bersatu,Calon PH,Cost of Living,positive,-0.27,fear,937,577,111,17293.0,1625,,,neutral,support,False,False,False,Low
N9CN-00026,Facebook,Port Dickson Talk,Political,MP,https://example.com/post/26,2026-05-17 13:33:47,汝来工厂区物价上涨，中小企业老板叫苦。华社关注生活费。 #Jelebu,"Kawasan kilang Nilai — harga barang naik, pemilik PKS merungut. Komuniti Cina prihatin kos sara hidup. (Jelebu)",zh-TW,Jelebu,N02,Jelebu,BN,Calon BN,Cost of Living,negative,0.92,surprise,4918,123,289,23254.0,5330,,neutral,,neutral,False,False,False,Medium
N9CN-00027,Instagram,MCA N9 Community,Political,Influencer,https://example.com/post/27,2026-05-14 12:58:29,Politik agama jangan jadi isu utama PRN NS. (Kuala Pilah),Politik agama jangan jadi isu utama PRN NS. (Kuala Pilah),ms,Kuala Pilah,N18,Kuala Pilah,PKR,Local ADUN,Race and Religion,negative,-0.94,neutral,3960,476,223,39328.0,4659,oppose,neutral,,neutral,False,False,False,High
N9CN-00028,Instagram,Public User_4821,Political,Public User,https://example.com/post/28,2026-06-03 12:37:05,MCA Negeri Sembilan adakan program dialog komuniti Cina. (Lukut),MCA Negeri Sembilan adakan program dialog komuniti Cina. (Lukut),ms,Lukut,N30,Port Dickson,Amanah,,MCA Relevance,neutral,-0.18,anger,2263,569,5,13021.0,2837,,neutral,oppose,oppose,False,False,False,Low
N9CN-00029,Chinese online media,Harakah Digital,Organisation,Chinese Media,https://example.com/post/29,2026-05-06 19:17:28,马口小贩反映市议会执法太严，生意难做。 DAP Negeri Sembilan perlu fokus perkhidmatan tempatan di Lobak.,[BM] Campuran: 马口小贩反映市议会执法太严，生意难做。 DAP Negeri Sembilan perlu fokus perkhidmatan tempatan di Lobak.,mixed,Rembau,N26,Rembau,,Anthony Loke,SME and Business,neutral,0.66,fear,4508,338,180,18254.0,5026,oppose,support,neutral,oppose,False,False,False,Medium
N9CN-00030,Community pages,Nilai Residents,Individual,ADUN,https://example.com/post/30,2026-06-12 03:49:50,DAP Negeri Sembilan perlu fokus perkhidmatan tempatan di Lobak. (Mambau),DAP Negeri Sembilan perlu fokus perkhidmatan tempatan di Lobak. (Mambau),ms,Mambau,N23,Seremban,,Calon PH,DAP Performance,neutral,0.07,joy,4375,129,140,,4644,,oppose,neutral,support,True,False,False,Medium
N9CN-00031,Facebook,Harakah Digital,Political,Chinese Media,https://example.com/post/31,2026-05-13 01:09:48,Chinese community in Negeri Sembilan discusses local council performance. — Seremban Jaya,Chinese community in Negeri Sembilan discusses local council performance. — Seremban Jaya,en,Seremban Jaya,N24,Seremban,PAS,Calon PH,Local Government Services,negative,-0.24,joy,4028,75,295,4013.0,4398,oppose,,oppose,support,False,False,False,High
N9CN-00032,X,NS华人资讯站,Organisation,Community Page,https://example.com/post/32,2026-05-23 19:29:15,PH和BN合作讨论，网上议论纷纷。 #Lobak,Perbincangan kerjasama PH dan BN — perdebatan sengit online. (Lobak),zh-TW,Lobak,N11,Seremban,Bersatu,Calon PN,PH-BN Relationship,positive,0.07,neutral,665,160,122,,947,,support,neutral,oppose,True,True,False,Medium
N9CN-00033,Facebook,Nilai Residents,Media,Influencer,https://example.com/post/33,2026-05-22 07:39:03,马华能否在州选中重新获得代表性？ #Jelebu,Bolehkah MCA regain representasi dalam PRN negeri? (Jelebu),zh-TW,Jelebu,N02,Jelebu,PH,Local ADUN,MCA Relevance,positive,0.35,joy,1220,272,72,,1564,,support,support,,False,False,False,Medium
N9CN-00034,YouTube,Public User_4821,Political,Community Page,https://example.com/post/34,2026-05-23 20:10:23,汝来工厂区物价上涨，中小企业老板叫苦。华社关注生活费。 PRN Negeri Sembilan: pengundi Cina di Seremban bincang isu kos sara hidup.,[BM] Campuran: 汝来工厂区物价上涨，中小企业老板叫苦。华社关注生活费。 PRN Negeri Sembilan: pengundi Cina di Seremban bincang isu kos sara hidu,mixed,Bahau,N08,Jempol,Bersatu,Anthony Loke,Cost of Living,positive,1.0,joy,4712,601,10,44558.0,5323,,support,,oppose,False,False,False,Low
N9CN-00035,X,N9 Biz Watch,Media,MP,https://example.com/post/35,2026-05-05 06:35:49,MCA Negeri Sembilan adakan program dialog komuniti Cina. (Tampin),MCA Negeri Sembilan adakan program dialog komuniti Cina. (Tampin),ms,Tampin,N34,Tampin,Gerakan,Calon BN,MCA Relevance,negative,0.73,neutral,2701,421,355,43923.0,3477,support,,,support,False,False,False,Critical
N9CN-00036,YouTube,MCA N9 Community,Organisation,Community Page,https://example.com/post/36,2026-05-31 14:01:44,汝来工厂区物价上涨，中小企业老板叫苦。华社关注生活费。 DAP Negeri Sembilan perlu fokus perkhidmatan tempatan di Lobak.,[BM] Campuran: 汝来工厂区物价上涨，中小企业老板叫苦。华社关注生活费。 DAP Negeri Sembilan perlu fokus perkhidmatan tempatan di Lobak.,mixed,Rahang,N22,Seremban,DAP,Calon PH,Cost of Living,negative,-0.97,joy,1667,273,281,,2221,support,neutral,support,,False,False,False,Medium
N9CN-00037,YouTube,Harakah Digital,Organisation,MP,https://example.com/post/37,2026-05-10 06:04:37,年轻首投族更关注就业和房价。 #Lobak,Pengundi muda first-time lebih fokus pekerjaan dan harga rumah. (Lobak),zh-TW,Lobak,N11,Seremban,BN,Local ADUN,Employment,negative,0.55,neutral,4168,722,139,32121.0,5029,,oppose,oppose,support,False,False,False,Critical
N9CN-00038,TikTok,Influencer_Amy,Organisation,Influencer,https://example.com/post/38,2026-06-12 05:09:33,Politik agama jangan jadi isu utama PRN NS. (Chennah),Politik agama jangan jadi isu utama PRN NS. (Chennah),ms,Chennah,N02,Jelebu,Bersatu,Anthony Loke,Race and Religion,neutral,0.81,joy,4011,152,228,23118.0,4391,support,oppose,,,False,False,False,Medium
N9CN-00039,Community pages,Public User_4821,Organisation,MP,https://example.com/post/39,2026-05-20 21:39:34,年轻首投族更关注就业和房价。 #Port Dickson,Pengundi muda first-time lebih fokus pekerjaan dan harga rumah. (Port Dickson),zh-TW,Port Dickson,N29,Port Dickson,Gerakan,Calon BN,Employment,negative,0.56,fear,4114,604,169,29355.0,4887,oppose,,support,oppose,False,False,True,High
N9CN-00040,Instagram,Seremban Voice,Individual,Public User,https://example.com/post/40,2026-05-05 09:17:58,Chinese school funding remains a key narrative online. — Jempol,Chinese school funding remains a key narrative online. — Jempol,en,Jempol,N08,Jempol,UMNO,Anthony Loke,Chinese Education,negative,0.39,trust,4432,36,316,,4784,support,oppose,support,oppose,False,False,False,Medium
N9CN-00041,YouTube,DAP NS Updates,Organisation,Public User,https://example.com/post/41,2026-05-25 03:49:27,Keselamatan di Nilai perlu dipertingkat — warga bimbang. (Lukut),Keselamatan di Nilai perlu dipertingkat — warga bimbang. (Lukut),ms,Lukut,N30,Port Dickson,PKR,Calon PN,Public Safety,positive,0.03,fear,3375,579,349,11640.0,4303,support,,oppose,neutral,False,False,False,Low
N9CN-00042,YouTube,芙蓉街坊,Community,Community Page,https://example.com/post/42,2026-05-19 12:19:17,Chinese school funding remains a key narrative online. — Nilai,Chinese school funding remains a key narrative online. — Nilai,en,Nilai,N10,Seremban,BN,Calon PN,Chinese Education,negative,-0.41,neutral,3475,706,128,20299.0,4309,,oppose,support,support,False,False,False,High
N9CN-00043,Facebook,Public User_4821,Individual,Community Page,https://example.com/post/43,2026-05-31 11:57:43,DAP Negeri Sembilan perlu fokus perkhidmatan tempatan di Lobak. (Rembau),DAP Negeri Sembilan perlu fokus perkhidmatan tempatan di Lobak. (Rembau),ms,Rembau,N26,Rembau,PN,Calon BN,DAP Performance,negative,-0.93,fear,1794,651,97,44917.0,2542,neutral,support,oppose,oppose,False,False,False,Medium
N9CN-00044,Community pages,芙蓉街坊,Individual,Public User,https://example.com/post/44,2026-06-06 05:48:16,波德申旅游季，本地商家希望州政府多宣传。 #Tampin,Musim pelancongan Port Dickson — peniaga tempatan harap kerajaan negeri lebih promosi. (Tampin),zh-TW,Tampin,N34,Tampin,PKR,,SME and Business,positive,-0.12,anger,2997,543,256,11283.0,3796,,oppose,support,,False,False,False,Medium
N9CN-00045,YouTube,MCA N9 Community,Individual,Public User,https://example.com/post/45,2026-05-16 22:09:18,Politik agama jangan jadi isu utama PRN NS. (Seremban),Politik agama jangan jadi isu utama PRN NS. (Seremban),ms,Seremban,N21,Seremban,PN,Calon PN,Race and Religion,positive,0.09,joy,2147,598,195,24844.0,2940,support,neutral,support,support,False,False,True,Medium
N9CN-00046,Instagram,Public User_4821,Individual,Public User,https://example.com/post/46,2026-06-12 23:34:54,Chinese community in Negeri Sembilan discusses local council performance. — Chennah,Chinese community in Negeri Sembilan discusses local council performance. — Chennah,en,Chennah,N02,Jelebu,PKR,Calon PH,Local Government Services,positive,0.23,fear,1111,397,232,49202.0,1740,support,oppose,neutral,,False,False,False,Low
N9CN-00047,Chinese online media,MCA N9 Community,Community,ADUN,https://example.com/post/47,2026-05-05 10:48:26,行动党在森州的表现，华社有不同看法。 #Repah,Prestasi DAP di Negeri Sembilan — komuniti Cina ada pelbagai pandangan. (Repah),zh-TW,Repah,N36,Jempol,Bersatu,,DAP Performance,positive,0.72,anger,3009,557,330,26592.0,3896,neutral,neutral,support,neutral,False,False,False,Medium
N9CN-00048,Community pages,NS华人资讯站,Organisation,ADUN,https://example.com/post/48,2026-06-02 02:11:16,波德申旅游季，本地商家希望州政府多宣传。 #Jelebu,Musim pelancongan Port Dickson — peniaga tempatan harap kerajaan negeri lebih promosi. (Jelebu),zh-TW,Jelebu,N02,Jelebu,Gerakan,Local ADUN,SME and Business,neutral,0.73,anger,4882,2,141,9982.0,5025,oppose,support,neutral,oppose,False,False,False,Low
N9CN-00049,Community pages,Public User_4821,Community,Community Page,https://example.com/post/49,2026-06-05 07:17:58,伊党因素让部分选民担忧。 #Rasah,Faktor PAS membuat sebahagian pengundi bimbang. (Rasah),zh-TW,Rasah,N22,Seremban,MCA,Calon BN,PAS Factor,neutral,0.54,trust,520,487,229,34135.0,1236,support,,,,False,False,False,Low
N9CN-00050,YouTube,Harakah Digital,Media,Public User,https://example.com/post/50,2026-05-19 11:47:08,Traffic congestion in Seremban city centre frustrates residents. — Lobak,Traffic congestion in Seremban city centre frustrates residents. — Lobak,en,Lobak,N11,Seremban,MCA,Calon PH,Road and Traffic,positive,0.49,trust,2638,622,75,,3335,support,neutral,,,False,False,False,Medium
N9CN-00051,Facebook,Seremban Voice,Individual,Influencer,https://example.com/post/51,2026-05-04 06:12:57,Chinese school funding remains a key narrative online. — Mambau,Chinese school funding remains a key narrative online. — Mambau,en,Mambau,N23,Seremban,PAS,,Chinese Education,negative,0.49,fear,3407,747,48,20981.0,4202,neutral,support,oppose,support,False,False,False,Critical
N9CN-00052,Facebook,芙蓉街坊,Community,Government Agency,https://example.com/post/52,2026-06-11 03:08:48,Keselamatan di Nilai perlu dipertingkat — warga bimbang. (Tampin),Keselamatan di Nilai perlu dipertingkat — warga bimbang. (Tampin),ms,Tampin,N34,Tampin,,,Public Safety,negative,0.53,sadness,421,294,307,7289.0,1022,neutral,,support,oppose,False,False,False,Medium
N9CN-00053,Facebook,Seremban Voice,Community,Chinese Media,https://example.com/post/53,2026-05-31 17:41:55,芦骨华人区水供不稳定，居民投诉多次。 #Seremban,"Kawasan Cina Lukut — bekalan air tidak stabil, penduduk adu berkali-kali. (Seremban)",zh-TW,Seremban,N21,Seremban,BN,Calon BN,Water Supply,negative,-0.16,fear,2783,359,3,,3145,neutral,oppose,oppose,oppose,False,False,False,Medium
N9CN-00054,YouTube,Seremban Voice,Media,Influencer,https://example.com/post/54,2026-06-06 15:34:21,森美兰州选临近，芙蓉市区塞车问题又严重了，停车位不够。 PRN Negeri Sembilan: pengundi Cina di Seremban bincang isu kos sara hidup.,[BM] Campuran: 森美兰州选临近，芙蓉市区塞车问题又严重了，停车位不够。 PRN Negeri Sembilan: pengundi Cina di Seremban bincang isu kos sara hidu,mixed,Jelebu,N02,Jelebu,Amanah,,Cost of Living,positive,0.07,surprise,407,690,41,43880.0,1138,,oppose,support,neutral,False,False,False,Low
N9CN-00055,Chinese online media,MCA N9 Community,Community,Government Agency,https://example.com/post/55,2026-05-26 20:30:12,森美兰州选临近，芙蓉市区塞车问题又严重了，停车位不够。 PRN Negeri Sembilan: pengundi Cina di Seremban bincang isu kos sara hidup.,[BM] Campuran: 森美兰州选临近，芙蓉市区塞车问题又严重了，停车位不够。 PRN Negeri Sembilan: pengundi Cina di Seremban bincang isu kos sara hidu,mixed,Port Dickson,N29,Port Dickson,PH,,Cost of Living,positive,0.22,surprise,1124,782,130,8363.0,2036,support,,support,,True,False,False,Critical
N9CN-00056,Instagram,Seremban Voice,Organisation,Influencer,https://example.com/post/56,2026-05-05 06:40:43,Politik agama jangan jadi isu utama PRN NS. (Nilai),Politik agama jangan jadi isu utama PRN NS. (Nilai),ms,Nilai,N10,Seremban,PAS,Calon PH,Race and Religion,neutral,0.22,trust,3421,296,58,21784.0,3775,,oppose,oppose,neutral,False,False,False,Medium
N9CN-00057,Facebook,DAP NS Updates,Media,Chinese Media,https://example.com/post/57,2026-05-12 11:16:23,汝来工厂区物价上涨，中小企业老板叫苦。华社关注生活费。 #Bahau,"Kawasan kilang Nilai — harga barang naik, pemilik PKS merungut. Komuniti Cina prihatin kos sara hidup. (Bahau)",zh-TW,Bahau,N08,Jempol,MCA,Anthony Loke,Cost of Living,neutral,0.48,neutral,4346,522,99,23396.0,4967,support,neutral,,,False,False,False,Low
N9CN-00058,YouTube,Seremban Voice,Media,Public User,https://example.com/post/58,2026-05-18 02:02:32,汝来工厂区物价上涨，中小企业老板叫苦。华社关注生活费。 DAP Negeri Sembilan perlu fokus perkhidmatan tempatan di Lobak.,[BM] Campuran: 汝来工厂区物价上涨，中小企业老板叫苦。华社关注生活费。 DAP Negeri Sembilan perlu fokus perkhidmatan tempatan di Lobak.,mixed,Jelebu,N02,Jelebu,Bersatu,Calon BN,Cost of Living,negative,-0.92,fear,2589,154,225,,2968,oppose,support,support,,False,False,False,Medium
N9CN-00059,Facebook,Harakah Digital,Organisation,ADUN,https://example.com/post/59,2026-06-04 16:14:16,马口小贩反映市议会执法太严，生意难做。 PRN Negeri Sembilan: pengundi Cina di Seremban bincang isu kos sara hidup.,[BM] Campuran: 马口小贩反映市议会执法太严，生意难做。 PRN Negeri Sembilan: pengundi Cina di Seremban bincang isu kos sara hidup.,mixed,Repah,N36,Jempol,Amanah,Anthony Loke,Cost of Living,neutral,0.62,joy,1542,329,309,10386.0,2180,neutral,oppose,oppose,oppose,False,False,False,Medium
N9CN-00060,Facebook,Sin Chew NS,Organisation,Government Agency,https://example.com/post/60,2026-05-17 04:23:41,Chinese school funding remains a key narrative online. — Port Dickson,Chinese school funding remains a key narrative online. — Port Dickson,en,Port Dickson,N29,Port Dickson,DAP,Local ADUN,Chinese Education,negative,0.94,surprise,2741,67,168,,2976,,neutral,support,oppose,False,False,False,Medium
N9CN-00061,Community pages,Nilai Residents,Organisation,Chinese Media,https://example.com/post/61,2026-05-17 14:08:49,Chinese school funding remains a key narrative online. — Jempol,Chinese school funding remains a key narrative online. — Jempol,en,Jempol,N08,Jempol,Bersatu,Anthony Loke,Chinese Education,negative,-0.69,fear,4312,95,330,33824.0,4737,support,support,oppose,neutral,False,False,False,High
N9CN-00062,Chinese online media,Nilai Residents,Organisation,Chinese Media,https://example.com/post/62,2026-06-06 12:35:57,马口小贩反映市议会执法太严，生意难做。 #Port Dickson,"Penjaja di Bahau keluh penguatkuasaan majlis perbandaran terlalu ketat, sukar berniaga. (Port Dickson)",zh-TW,Port Dickson,N29,Port Dickson,,Local ADUN,SME and Business,positive,0.96,neutral,1356,738,224,,2318,,neutral,oppose,,False,False,False,Medium
