state,post_id,platform,account_name,account_type,source_category,source_url,published_at,post_text,translated_text_bm,language_detected,constituency,dun_code,district,party_mentioned,candidate_mentioned,issue_cluster,sentiment,sentiment_score,emotion,likes,comments,shares,views,engagement_total,stance_dap,stance_mca,stance_pn,stance_bn,ethnic_sensitive_flag,religion_sensitive_flag,misinformation_flag,risk_level,query_id,jenis_suara,weight_analisis
Johor,JHRCN-00013,Facebook,Sin Chew Johor,Community,Political Party,https://example.com/jhr/post/13,2026-05-13 20:07:30,Kerajaan Johor perlu tangani isu trafik Skudai. (Kulai),Kerajaan Johor perlu tangani isu trafik Skudai. (Kulai),ms,Kulai,JHR-N50,Kulai,PKR,Calon PH,Other,positive,0.07,anger,2478,626,334,44269.0,3438,oppose,neutral,oppose,,False,False,False,Low,,media_chinese,Tinggi
Johor,JHRCN-00014,Facebook,Sin Chew Johor,Individual,Political Party,https://example.com/jhr/post/14,2026-05-28 05:30:13,柔佛州选临近，新山市区塞车严重。 #Batu,[BM] 柔佛州选临近，新山市区塞车严重。 #Batu (Batu Pahat),zh-CN,Batu Pahat,JHR-N18,Batu Pahat,BN,,Road and Traffic,negative,0.67,sadness,361,3,170,42253.0,534,neutral,,neutral,support,False,False,False,Low,,media_chinese,Tinggi
Johor,JHRCN-00015,Community pages,JB Community Voice,Organisation,Influencer,https://example.com/jhr/post/15,2026-05-12 11:49:08,PRN Johor: komuniti Cina bincang kos sara hidup di JB. (Batu Pahat),PRN Johor: komuniti Cina bincang kos sara hidup di JB. (Batu Pahat),ms,Batu Pahat,JHR-N18,Batu Pahat,PH,,Cost of Living,negative,-0.64,fear,2044,682,52,37192.0,2778,,neutral,oppose,neutral,False,False,False,Medium,,media_chinese,Tinggi
Johor,JHRCN-00016,Facebook,DAP Johor,Media,Influencer,https://example.com/jhr/post/16,2026-06-11 23:02:39,Chinese community in Johor discusses local council performance. — Stulang,Chinese community in Johor discusses local council performance. — Stulang,en,Stulang,JHR-N48,Johor Bahru,PH,Calon PN,Local Government Services,negative,0.88,trust,1634,471,179,15415.0,2284,oppose,neutral,oppose,support,False,False,False,Low,,media_chinese,Tinggi
Johor,JHRCN-00017,YouTube,Skudai Residents,Organisation,Government Agency,https://example.com/jhr/post/17,2026-05-01 01:58:13,士古来工厂区物价上涨，商家叫苦。 PRN Johor: komuniti Cina bincang kos sara hidup di JB.,[BM] 士古来工厂区物价上涨，商家叫苦。 PRN Johor: komuniti Cina bincang kos sara hidup di JB. (Stulang),mixed,Stulang,JHR-N48,Johor Bahru,PN,Liew Chin Tong,Cost of Living,negative,-0.86,surprise,3574,620,261,,4455,oppose,oppose,support,oppose,False,False,True,Critical,,media_chinese,Tinggi
Johor,JHRCN-00018,YouTube,DAP Johor,Political,ADUN,https://example.com/jhr/post/18,2026-05-30 21:07:36,Kerajaan Johor perlu tangani isu trafik Skudai. (Segamat),Kerajaan Johor perlu tangani isu trafik Skudai. (Segamat),ms,Segamat,JHR-N04,Segamat,,Calon PH,Other,neutral,0.07,joy,2422,567,65,,3054,oppose,,,,False,False,False,Low,,media_chinese,Tinggi
Johor,JHRCN-00019,TikTok,JB Community Voice,Individual,ADUN,https://example.com/jhr/post/19,2026-06-09 03:42:49,士古来工厂区物价上涨，商家叫苦。 PRN Johor: komuniti Cina bincang kos sara hidup di JB.,[BM] 士古来工厂区物价上涨，商家叫苦。 PRN Johor: komuniti Cina bincang kos sara hidup di JB. (Kulai),mixed,Kulai,JHR-N50,Kulai,BN,Calon BN,Cost of Living,negative,0.97,sadness,4222,679,324,6620.0,5225,support,,,neutral,False,False,False,High,,media_chinese,Tinggi
Johor,JHRCN-00020,YouTube,JB Community Voice,Individual,Public User,https://example.com/jhr/post/20,2026-05-03 10:30:31,SME owners in Kulai worry about rising costs. — Kluang,SME owners in Kulai worry about rising costs. — Kluang,en,Kluang,JHR-N09,Kluang,Bersatu,Local ADUN,SME and Business,positive,0.74,surprise,45,768,394,28362.0,1207,oppose,,,,False,False,False,Medium,,media_chinese,Tinggi
Johor,JHRCN-00021,X,DAP Johor,Community,MP,https://example.com/jhr/post/21,2026-05-14 04:34:15,SME owners in Kulai worry about rising costs. — Skudai,SME owners in Kulai worry about rising costs. — Skudai,en,Skudai,JHR-N49,Johor Bahru,PH,Local ADUN,SME and Business,neutral,-0.1,joy,2271,784,398,41574.0,3453,neutral,neutral,support,,False,False,False,Low,,media_chinese,Tinggi
Johor,JHRCN-00022,X,DAP Johor,Political,Influencer,https://example.com/jhr/post/22,2026-05-01 06:52:09,Kerajaan Johor perlu tangani isu trafik Skudai. (Kluang),Kerajaan Johor perlu tangani isu trafik Skudai. (Kluang),ms,Kluang,JHR-N09,Kluang,PH,Calon BN,Other,neutral,0.33,fear,3441,398,394,46081.0,4233,,,support,,True,False,False,Critical,,media_chinese,Tinggi
Johor,JHRCN-00023,Facebook,DAP Johor,Political,Government Agency,https://example.com/jhr/post/23,2026-05-09 19:43:46,Chinese community in Johor discusses local council performance. — Muar,Chinese community in Johor discusses local council performance. — Muar,en,Muar,JHR-N14,Muar,Gerakan,Calon BN,Local Government Services,negative,-0.09,fear,4375,27,201,43950.0,4603,,oppose,,oppose,True,False,False,Critical,,media_chinese,Tinggi
Johor,JHRCN-00024,Community pages,Sin Chew Johor,Community,Political Party,https://example.com/jhr/post/24,2026-05-10 16:16:19,Chinese community in Johor discusses local council performance. — Stulang,Chinese community in Johor discusses local council performance. — Stulang,en,Stulang,JHR-N48,Johor Bahru,DAP,Calon BN,Local Government Services,negative,-0.75,surprise,2866,229,332,,3427,support,neutral,,oppose,False,True,True,High,,media_chinese,Tinggi
Johor,JHRCN-00025,Chinese online media,JB Community Voice,Individual,Chinese Media,https://example.com/jhr/post/25,2026-05-20 06:08:09,DAP Johor perlu fokus perkhidmatan bandar. #Muar,[BM] DAP Johor perlu fokus perkhidmatan bandar. #Muar (Muar),zh-TW,Muar,JHR-N14,Muar,,Anthony Loke,DAP Performance,negative,0.39,fear,938,796,83,7584.0,1817,support,support,oppose,,False,False,False,Low,,media_chinese,Tinggi
Johor,JHRCN-00026,Chinese online media,Skudai Residents,Media,Public User,https://example.com/jhr/post/26,2026-05-09 13:12:51,DAP Johor perlu fokus perkhidmatan bandar. #Muar,[BM] DAP Johor perlu fokus perkhidmatan bandar. #Muar (Muar),zh-CN,Muar,JHR-N14,Muar,DAP,Khoo Poay Tiong,DAP Performance,negative,-0.13,surprise,3441,501,54,24236.0,3996,oppose,oppose,neutral,support,False,False,False,Critical,,media_chinese,Tinggi
Johor,JHRCN-00027,X,Skudai Residents,Media,ADUN,https://example.com/jhr/post/27,2026-05-17 12:31:24,Chinese community in Johor discusses local council performance. — Batu Pahat,Chinese community in Johor discusses local council performance. — Batu Pahat,en,Batu Pahat,JHR-N18,Batu Pahat,Amanah,Calon BN,Local Government Services,negative,-0.83,surprise,4999,684,194,32894.0,5877,,,neutral,,False,False,False,Critical,,media_chinese,Tinggi
Johor,JHRCN-00028,Chinese online media,MCA Johor,Media,Community Page,https://example.com/jhr/post/28,2026-05-18 01:53:20,Chinese community in Johor discusses local council performance. — Pontian,Chinese community in Johor discusses local council performance. — Pontian,en,Pontian,JHR-N52,Pontian,PH,Calon PH,Local Government Services,positive,-0.0,surprise,3312,708,124,38612.0,4144,neutral,oppose,support,neutral,False,False,False,Medium,,media_chinese,Tinggi
Johor,JHRCN-00029,Facebook,Sin Chew Johor,Community,Community Page,https://example.com/jhr/post/29,2026-05-14 07:35:45,Stulang 区水供不稳定，居民投诉。 #Kulai,[BM] Stulang 区水供不稳定，居民投诉。 #Kulai (Kulai),zh-TW,Kulai,JHR-N50,Kulai,Amanah,Local ADUN,Water Supply,neutral,0.53,neutral,4297,611,144,13221.0,5052,,support,support,oppose,False,False,False,Low,,media_chinese,Tinggi
Johor,JHRCN-00030,Community pages,Skudai Residents,Media,MP,https://example.com/jhr/post/30,2026-05-08 05:49:40,SME owners in Kulai worry about rising costs. — Pontian,SME owners in Kulai worry about rising costs. — Pontian,en,Pontian,JHR-N52,Pontian,DAP,Calon BN,SME and Business,neutral,-0.15,neutral,2068,489,58,26760.0,2615,,neutral,,,False,False,False,Low,,media_chinese,Tinggi
Johor,JHRCN-00031,TikTok,JB Community Voice,Community,MP,https://example.com/jhr/post/31,2026-05-08 14:59:05,Kerajaan Johor perlu tangani isu trafik Skudai. (Pontian),Kerajaan Johor perlu tangani isu trafik Skudai. (Pontian),ms,Pontian,JHR-N52,Pontian,Amanah,Local ADUN,Other,neutral,-0.3,joy,493,624,378,,1495,,oppose,support,neutral,False,False,False,Low,,media_chinese,Tinggi
Johor,JHRCN-00032,TikTok,Sin Chew Johor,Individual,Political Party,https://example.com/jhr/post/32,2026-06-10 03:05:42,Kerajaan Johor perlu tangani isu trafik Skudai. (Batu Pahat),Kerajaan Johor perlu tangani isu trafik Skudai. (Batu Pahat),ms,Batu Pahat,JHR-N18,Batu Pahat,PH,Calon PH,Other,positive,0.47,neutral,2167,640,301,13464.0,3108,oppose,,support,,False,False,False,Medium,,media_chinese,Tinggi
Johor,JHRCN-00033,Chinese online media,Skudai Residents,Community,ADUN,https://example.com/jhr/post/33,2026-05-12 02:42:58,SME owners in Kulai worry about rising costs. — Batu Pahat,SME owners in Kulai worry about rising costs. — Batu Pahat,en,Batu Pahat,JHR-N18,Batu Pahat,UMNO,Calon PH,SME and Business,neutral,0.45,neutral,3586,82,306,,3974,neutral,,,oppose,False,False,False,Low,,media_chinese,Tinggi
Johor,JHRCN-00034,Instagram,Skudai Residents,Individual,Public User,https://example.com/jhr/post/34,2026-06-02 03:57:56,士古来工厂区物价上涨，商家叫苦。 PRN Johor: komuniti Cina bincang kos sara hidup di JB.,[BM] 士古来工厂区物价上涨，商家叫苦。 PRN Johor: komuniti Cina bincang kos sara hidup di JB. (Skudai),mixed,Skudai,JHR-N49,Johor Bahru,UMNO,Anthony Loke,Cost of Living,negative,-0.37,fear,2850,418,170,7355.0,3438,support,,support,,False,False,False,Critical,,media_chinese,Tinggi
Johor,JHRCN-00035,Facebook,Skudai Residents,Organisation,Political Party,https://example.com/jhr/post/35,2026-05-06 21:28:17,士古来工厂区物价上涨，商家叫苦。 #Kluang,[BM] 士古来工厂区物价上涨，商家叫苦。 #Kluang (Kluang),zh-CN,Kluang,JHR-N09,Kluang,Amanah,Calon PH,Cost of Living,neutral,0.42,sadness,4083,640,226,13840.0,4949,,support,neutral,support,False,False,False,Medium,,media_chinese,Tinggi
Johor,JHRCN-00036,YouTube,Skudai Residents,Organisation,MP,https://example.com/jhr/post/36,2026-05-10 06:04:37,士古来工厂区物价上涨，商家叫苦。 #Pontian,[BM] 士古来工厂区物价上涨，商家叫苦。 #Pontian (Pontian),zh-CN,Pontian,JHR-N52,Pontian,,Calon PH,Cost of Living,neutral,0.7,neutral,2390,521,361,32121.0,3272,,oppose,oppose,support,False,False,False,Medium,,media_chinese,Tinggi
Johor,JHRCN-00037,YouTube,MCA Johor,Organisation,Influencer,https://example.com/jhr/post/37,2026-05-12 14:13:43,Kerajaan Johor perlu tangani isu trafik Skudai. (Batu Pahat),Kerajaan Johor perlu tangani isu trafik Skudai. (Batu Pahat),ms,Batu Pahat,JHR-N18,Batu Pahat,UMNO,,Other,negative,-0.36,joy,4412,495,176,36114.0,5083,,,neutral,,False,False,False,Medium,,media_chinese,Tinggi
Johor,JHRCN-00038,Instagram,DAP Johor,Media,Influencer,https://example.com/jhr/post/38,2026-05-04 15:10:52,DAP Johor perlu fokus perkhidmatan bandar. #Johor,[BM] DAP Johor perlu fokus perkhidmatan bandar. #Johor (Johor Bahru),zh-TW,Johor Bahru,JHR-N48,Johor Bahru,PN,Anthony Loke,DAP Performance,negative,0.7,neutral,822,450,51,30445.0,1323,,oppose,,support,True,False,False,High,,media_chinese,Tinggi
Johor,JHRCN-00039,X,Sin Chew Johor,Media,Government Agency,https://example.com/jhr/post/39,2026-05-03 05:35:00,华文教育拨款仍是热点。 #Stulang,[BM] 华文教育拨款仍是热点。 #Stulang (Stulang),zh-TW,Stulang,JHR-N48,Johor Bahru,,Calon PN,Chinese Education,negative,-0.14,anger,740,444,50,46630.0,1234,,neutral,neutral,neutral,False,False,False,Medium,,media_chinese,Tinggi
Johor,JHRCN-00040,YouTube,JB Community Voice,Individual,Public User,https://example.com/jhr/post/40,2026-06-02 21:28:26,士古来工厂区物价上涨，商家叫苦。 PRN Johor: komuniti Cina bincang kos sara hidup di JB.,[BM] 士古来工厂区物价上涨，商家叫苦。 PRN Johor: komuniti Cina bincang kos sara hidup di JB. (Stulang),mixed,Stulang,JHR-N48,Johor Bahru,Amanah,Calon PN,Cost of Living,neutral,0.98,fear,1172,237,236,30618.0,1645,,oppose,,oppose,False,True,False,Medium,,media_chinese,Tinggi
Johor,JHRCN-00041,YouTube,Sin Chew Johor,Community,Public User,https://example.com/jhr/post/41,2026-05-01 09:26:05,SME owners in Kulai worry about rising costs. — Kulai,SME owners in Kulai worry about rising costs. — Kulai,en,Kulai,JHR-N50,Kulai,PAS,Calon PH,SME and Business,positive,0.71,anger,4685,367,294,46327.0,5346,oppose,neutral,neutral,oppose,False,False,False,Medium,,media_chinese,Tinggi
Johor,JHRCN-00042,Community pages,Skudai Residents,Media,Community Page,https://example.com/jhr/post/42,2026-05-07 09:58:38,柔佛州选临近，新山市区塞车严重。 #Skudai,[BM] 柔佛州选临近，新山市区塞车严重。 #Skudai (Skudai),zh-CN,Skudai,JHR-N49,Johor Bahru,UMNO,Local ADUN,Road and Traffic,neutral,0.03,neutral,273,593,186,6406.0,1052,,oppose,oppose,support,False,False,False,Low,,media_chinese,Tinggi
Johor,JHRCN-00043,Chinese online media,DAP Johor,Community,Influencer,https://example.com/jhr/post/43,2026-06-02 15:54:06,士古来工厂区物价上涨，商家叫苦。 #Pontian,[BM] 士古来工厂区物价上涨，商家叫苦。 #Pontian (Pontian),zh-CN,Pontian,JHR-N52,Pontian,PH,Calon PN,Cost of Living,negative,-0.78,anger,3255,570,187,,4012,,support,oppose,neutral,False,False,False,Critical,,media_chinese,Tinggi
Johor,JHRCN-00044,X,Skudai Residents,Political,Political Party,https://example.com/jhr/post/44,2026-05-23 00:31:59,SME owners in Kulai worry about rising costs. — Stulang,SME owners in Kulai worry about rising costs. — Stulang,en,Stulang,JHR-N48,Johor Bahru,MCA,Liew Chin Tong,SME and Business,negative,0.31,neutral,1145,46,19,32784.0,1210,,,oppose,support,False,False,False,Low,,media_chinese,Tinggi
Johor,JHRCN-00045,Community pages,MCA Johor,Individual,Chinese Media,https://example.com/jhr/post/45,2026-06-11 04:01:48,Stulang 区水供不稳定，居民投诉。 #Muar,[BM] Stulang 区水供不稳定，居民投诉。 #Muar (Muar),zh-TW,Muar,JHR-N14,Muar,PH,,Water Supply,neutral,-0.23,fear,2971,101,351,42759.0,3423,neutral,neutral,neutral,support,False,False,False,Low,,media_chinese,Tinggi
Johor,JHRCN-00046,X,JB Community Voice,Individual,ADUN,https://example.com/jhr/post/46,2026-05-27 05:23:47,DAP Johor perlu fokus perkhidmatan bandar. #Segamat,[BM] DAP Johor perlu fokus perkhidmatan bandar. #Segamat (Segamat),zh-TW,Segamat,JHR-N04,Segamat,PH,Local ADUN,DAP Performance,positive,-0.28,neutral,2691,792,75,39558.0,3558,neutral,oppose,support,neutral,True,False,False,High,,media_chinese,Tinggi
Johor,JHRCN-00047,Community pages,Skudai Residents,Media,Public User,https://example.com/jhr/post/47,2026-06-05 07:17:58,士古来工厂区物价上涨，商家叫苦。 #Batu,[BM] 士古来工厂区物价上涨，商家叫苦。 #Batu (Batu Pahat),zh-CN,Batu Pahat,JHR-N18,Batu Pahat,PKR,,Cost of Living,negative,-0.88,joy,931,763,32,24226.0,1726,,,support,,False,False,False,Medium,,media_chinese,Tinggi
Johor,JHRCN-00048,YouTube,Skudai Residents,Political,MP,https://example.com/jhr/post/48,2026-05-23 00:37:00,柔佛州选临近，新山市区塞车严重。 #Pontian,[BM] 柔佛州选临近，新山市区塞车严重。 #Pontian (Pontian),zh-CN,Pontian,JHR-N52,Pontian,Gerakan,Anthony Loke,Road and Traffic,neutral,0.81,surprise,538,129,140,38862.0,807,neutral,,,neutral,False,False,False,Medium,,media_chinese,Tinggi
Johor,JHRCN-00049,Community pages,Sin Chew Johor,Individual,Influencer,https://example.com/jhr/post/49,2026-05-05 10:17:04,Kerajaan Johor perlu tangani isu trafik Skudai. (Kluang),Kerajaan Johor perlu tangani isu trafik Skudai. (Kluang),ms,Kluang,JHR-N09,Kluang,,Anthony Loke,Other,neutral,0.67,fear,778,320,218,17204.0,1316,neutral,support,oppose,support,False,False,False,Low,,media_chinese,Tinggi
Johor,JHRCN-00050,Facebook,DAP Johor,Community,Government Agency,https://example.com/jhr/post/50,2026-06-11 03:08:48,Kerajaan Johor perlu tangani isu trafik Skudai. (Kluang),Kerajaan Johor perlu tangani isu trafik Skudai. (Kluang),ms,Kluang,JHR-N09,Kluang,,Anthony Loke,Other,negative,0.53,sadness,421,294,307,7289.0,1022,neutral,,support,oppose,False,False,False,Medium,,media_chinese,Tinggi
Johor,JHRCN-00051,Facebook,Sin Chew Johor,Community,Chinese Media,https://example.com/jhr/post/51,2026-05-31 17:41:55,华文教育拨款仍是热点。 #Johor,[BM] 华文教育拨款仍是热点。 #Johor (Johor Bahru),zh-TW,Johor Bahru,JHR-N48,Johor Bahru,BN,Liew Chin Tong,Chinese Education,negative,-0.16,fear,2783,359,3,,3145,neutral,oppose,oppose,oppose,False,False,False,Medium,,media_chinese,Tinggi
Johor,JHRCN-00052,YouTube,Sin Chew Johor,Media,Influencer,https://example.com/jhr/post/52,2026-06-06 15:34:21,士古来工厂区物价上涨，商家叫苦。 #Stulang,[BM] 士古来工厂区物价上涨，商家叫苦。 #Stulang (Stulang),zh-CN,Stulang,JHR-N48,Johor Bahru,Amanah,Anthony Loke,Cost of Living,positive,0.07,surprise,407,690,41,43880.0,1138,,oppose,support,neutral,False,False,False,Low,,media_chinese,Tinggi
Johor,JHRCN-00053,Chinese online media,JB Community Voice,Community,Government Agency,https://example.com/jhr/post/53,2026-05-26 20:30:12,柔佛州选临近，新山市区塞车严重。 PRN Johor: komuniti Cina bincang kos sara hidup di JB.,[BM] 柔佛州选临近，新山市区塞车严重。 PRN Johor: komuniti Cina bincang kos sara hidup di JB. (Kluang),mixed,Kluang,JHR-N09,Kluang,PH,Anthony Loke,Cost of Living,positive,0.22,surprise,1124,782,130,8363.0,2036,support,,support,,True,False,False,Critical,,media_chinese,Tinggi
Johor,JHRCN-00054,Instagram,Sin Chew Johor,Organisation,Influencer,https://example.com/jhr/post/54,2026-05-05 06:40:43,Kerajaan Johor perlu tangani isu trafik Skudai. (Stulang),Kerajaan Johor perlu tangani isu trafik Skudai. (Stulang),ms,Stulang,JHR-N48,Johor Bahru,,Liew Chin Tong,Other,neutral,0.38,joy,3421,296,58,21784.0,3775,oppose,oppose,neutral,oppose,False,False,False,Medium,,media_chinese,Tinggi
Johor,JHRCN-00055,X,JB Community Voice,Organisation,Political Party,https://example.com/jhr/post/55,2026-05-08 02:37:11,DAP Johor perlu fokus perkhidmatan bandar. #Skudai,[BM] DAP Johor perlu fokus perkhidmatan bandar. #Skudai (Skudai),zh-CN,Skudai,JHR-N49,Johor Bahru,PKR,Anthony Loke,DAP Performance,negative,-0.65,neutral,4177,198,397,48169.0,4772,,,,oppose,False,False,False,High,,media_chinese,Tinggi
Johor,JHRCN-00056,Community pages,DAP Johor,Individual,MP,https://example.com/jhr/post/56,2026-05-18 21:36:37,Stulang 区水供不稳定，居民投诉。 #Muar,[BM] Stulang 区水供不稳定，居民投诉。 #Muar (Muar),zh-TW,Muar,JHR-N14,Muar,UMNO,Liew Chin Tong,Water Supply,positive,0.3,sadness,2480,281,302,,3063,support,,neutral,oppose,False,False,False,Low,,media_chinese,Tinggi
Johor,JHRCN-00057,X,DAP Johor,Political,Influencer,https://example.com/jhr/post/57,2026-05-18 15:58:18,柔佛州选临近，新山市区塞车严重。 PRN Johor: komuniti Cina bincang kos sara hidup di JB.,[BM] 柔佛州选临近，新山市区塞车严重。 PRN Johor: komuniti Cina bincang kos sara hidup di JB. (Pontian),mixed,Pontian,JHR-N52,Pontian,PN,Calon PN,Cost of Living,neutral,0.58,trust,690,516,330,,1536,oppose,support,oppose,support,False,False,False,Low,,media_chinese,Tinggi
Johor,JHRCN-00058,YouTube,Sin Chew Johor,Media,Influencer,https://example.com/jhr/post/58,2026-05-07 06:14:22,SME owners in Kulai worry about rising costs. — Segamat,SME owners in Kulai worry about rising costs. — Segamat,en,Segamat,JHR-N04,Segamat,Bersatu,Calon PN,SME and Business,neutral,0.76,surprise,4937,153,170,,5260,support,,oppose,support,False,False,False,Medium,,media_chinese,Tinggi
Johor,JHRCN-00059,Chinese online media,Skudai Residents,Individual,Government Agency,https://example.com/jhr/post/59,2026-06-10 12:59:06,PRN Johor: komuniti Cina bincang kos sara hidup di JB. (Muar),PRN Johor: komuniti Cina bincang kos sara hidup di JB. (Muar),ms,Muar,JHR-N14,Muar,PN,Local ADUN,Cost of Living,negative,0.19,anger,3983,196,115,10654.0,4294,neutral,neutral,neutral,,True,False,False,Medium,,media_chinese,Tinggi
Johor,JHRCN-00060,TikTok,DAP Johor,Community,Public User,https://example.com/jhr/post/60,2026-06-10 12:58:39,SME owners in Kulai worry about rising costs. — Johor Bahru,SME owners in Kulai worry about rising costs. — Johor Bahru,en,Johor Bahru,JHR-N48,Johor Bahru,PH,Khoo Poay Tiong,SME and Business,negative,0.54,neutral,3638,625,145,29920.0,4408,,,neutral,neutral,False,False,False,Critical,,media_chinese,Tinggi
