code,name,registered,turnoutPct,numCands,winnerVotes,runnerVotes,majority,majorityPct,rejected,spoiltPct,candVotes,namesRaw
N23,N.23 MAMBAU,28952,67.2,3,17039,2099,14940,77.4,135,0.69,17039|163|2099,YAP YEW WENG KUMARAVEL A/L RAMIAH SATHES KUMAR NILAMEHAM
N24,N.24 SEREMBAN JAYA,32290,67.1,2,17080,4377,12703,59.2,171,0.79,17080|4377,P.GUNA GARY LEE
N25,N.25 PAROI,60704,71.6,3,23840,18301,5539,12.9,299,0.69,944|18301|23840,SYAKIR FITRI NORWANI AHMAT HJ KAMAROL RIDZUAN
N26,N.26 CHEMBONG,25625,71.8,2,11261,6926,4335,23.8,163,0.89,6926|11261,BAKLY BIN BABA DATO' HAJI ZAIFULBAHRI BIN HAJI IDRIS
N27,N.27 RANTAU,32890,72.5,2,16957,6677,10280,43.5,161,0.68,6677|16957,ROZMAL BIN MALAKAN TOK MAT
N28,N.28 KOTA,16510,71.0,2,5869,5734,135,1.2,96,0.82,5869|5734,SUHAIMI BIN AINI SHUKRI BIN SHUKOR
N29,N.29 CHUAH,15095,67.3,2,8172,1874,6298,62.7,101,1.0,1874|8172,TANG JAY SON YEW BOON LYE
N30,N.30 LUKUT,26806,65.0,2,13696,3561,10135,58.7,145,0.83,3561|13696,S. RAGU CHOO KEN HWA
N31,N.31 BAGAN PINANG,27790,75.7,2,10921,7495,3426,18.6,2585,12.31,10921|7495,USTAZ FATAH NAJIB TAN SRI ISA
N32,N.32 LINGGI,20696,70.3,2,7832,6371,1461,10.3,98,0.69,7832|6371,DATUK MOHD FAIZAL RAMLI ZAMRI BIN MD SAID
N33,N.33 SRI TANJUNG,19431,64.8,2,8239,4243,3996,32.0,98,0.78,4243|8239,ZABIDI BIN ARIFFIN DR.RAJA
N34,N.34 GEMAS,29648,69.0,2,11653,8533,3120,15.5,251,1.23,11653|8533,HAJI RIDZUAN AHMAD ABD RAZAK BIN AB SAID
N35,N.35 GEMENCHEH,24602,63.1,2,8905,6471,2434,15.8,123,0.79,6471|8905,USTAZ TENGKU SUHAIMIZAN BIZAR (HAI)
N36,N.36 REPAH,27284,63.3,2,11507,5557,5950,34.9,193,1.12,5557|11507,ELAINE YONG LI YI VEERAPAN A/L SUPERAMANIAM
