kod_dun,parlimen,kawasan_dun,jml_pengundi,nama_pemenang,koalisi_menang,parti_menang,undi_menang,nama_pencabar,koalisi_pencabar,parti_pencabar,undi_pencabar,majoriti,status_kerusi,penyandang_lama,nama_adun,semasa_koalisi,semasa_parti,is_pas_seat,is_bersatu_seat,is_pn_seat,is_marginal_200,is_marginal_500,is_marginal_1000,is_tukar_tangan,kategori_pas,kategori_margin,pas_win_prob,predicted_party,predicted_bloc,prediction_label,status_social_fb,status_social_tiktok,status_social_x,facebook_url,tiktok_handle,x_handle,keyword_primary,keyword_secondary,keyword_parlimen,cluster_kawasan,demografi_ringkas,isu_utama_1,isu_utama_2,isu_utama_3,scenario_pas_solo,scenario_pas_pn,scenario_pas_mn,scenario_risk,priority_monitoring,notes
N11,P128 Seremban,Lobak,23141,Chew Seh Yong,PH,DAP,14357,Ng Soon Lean,PN,Gerakan,853,13504,Kekal PH,Chew Seh Yong (PH-DAP),Chew Seh Yong,PH,DAP,False,False,False,False,False,False,False,not_priority,safe,15.0,DAP,PH,Bukan Sasaran PAS,pending,pending,pending,,,,PRN N11 Lobak,PAS Lobak Negeri Sembilan,P128 Seremban,Bandar Seremban,Melayu 6.7% · Cina 72.6% · India 20.7% · DPI Dec 2025,Kos sara hidup / ekonomi mikro,Infrastruktur & perkhidmatan awam,Dinamik PAS-PN post-split,8.0,20.0,19.0,Rendah,False,Rule: not_priority · safe · Ramalan PAS 15%
N12,P128 Seremban,Temiang,12975,Ng Chin Tsai,PH,DAP,5710,Chua Eng Pu,PN,Gerakan,2642,3068,Kekal PH,Ng Chin Tsai (PH-DAP),Ng Chin Tsai,PH,DAP,False,False,False,False,False,False,False,not_priority,safe,15.0,DAP,PH,Bukan Sasaran PAS,pending,pending,pending,,,,PRN N12 Temiang,PAS Temiang Negeri Sembilan,P128 Seremban,Bandar Seremban,Melayu 42.2% · Cina 44.7% · India 13.1% · DPI Dec 2025,Kos sara hidup / ekonomi mikro,Infrastruktur & perkhidmatan awam,Dinamik PAS-PN post-split,8.0,20.0,19.0,Rendah,False,Rule: not_priority · safe · Ramalan PAS 15%
N13,P128 Seremban,Sikamat,33885,Aminuddin Harun,PH,PKR,12730,Ahmad Raihan Muhamad Hilal,PN,Bersatu,10068,2662,Kekal PH,Aminuddin Harun (PH-PKR),Aminuddin Harun,PH,PKR,False,False,False,False,False,False,False,not_priority,semi_safe,15.0,PKR,PH,Bukan Sasaran PAS,active,active,active,facebook.com/aminuddinharun,@aminuddinharun,@AminuddinHarun,PRN N13 Sikamat,PAS Sikamat Negeri Sembilan,P128 Seremban,Bandar Seremban,Melayu 73.2% · Cina 20.0% · India 6.7% · DPI Dec 2025,Kos sara hidup / ekonomi mikro,Infrastruktur & perkhidmatan awam,Dinamik PAS-PN post-split,8.0,20.0,19.0,Rendah,False,Rule: not_priority · semi_safe · Ramalan PAS 15%
N14,P128 Seremban,Ampangan,21338,Tengku Zamrah Tengku Sulaiman,PH,PKR,6054,Muhammad Ghazali Zainal Abidin,PN,Bersatu,5725,329,Kekal PH,Mohamad Rafie Ab Malek (PH-PKR),Tengku Zamrah Tengku Sulaiman,PH,PKR,False,False,False,False,True,True,False,not_priority,super_marginal,15.0,PKR,PH,Bukan Sasaran PAS,pending,pending,pending,,,,PRN N14 Ampangan,PAS Ampangan Negeri Sembilan,P128 Seremban,Bandar Seremban,Melayu 76.5% · Cina 16.7% · India 6.8% · DPI Dec 2025,Kos sara hidup / ekonomi mikro,Infrastruktur & perkhidmatan awam,Dinamik PAS-PN post-split,8.0,20.0,19.0,Rendah,True,Rule: not_priority · super_marginal · Ramalan PAS 15%
N15,P129 Kuala Pilah,Juasseh,13669,Bibi Sharliza Mohd Khalid,BN,UMNO,4549,Eddin Syazlee Shith,PN,Bersatu,4471,78,Kekal BN,Ismail Lasim (BN-UMNO),Bibi Sharliza Mohd Khalid,BN,UMNO,False,False,False,True,True,True,False,not_priority,ultra_marginal,15.0,UMNO,BN,Bukan Sasaran PAS,pending,pending,pending,,,,PRN N15 Juasseh,PAS Juasseh Negeri Sembilan,P129 Kuala Pilah,Adat/Pilah,Melayu 82.7% · Cina 12.3% · India 5.0% · DPI Dec 2025,Kos sara hidup / ekonomi mikro,Infrastruktur & perkhidmatan awam,Dinamik PAS-PN post-split,8.0,20.0,23.0,Rendah,True,Rule: not_priority · ultra_marginal · Ramalan PAS 15%
N16,P129 Kuala Pilah,Seri Menanti,10100,Muhammad Sufian Maradzi,BN,UMNO,3711,Jamali Salam,PN,Bersatu,3341,370,Kekal BN,Abd Samad Ibrahim (BN-UMNO),Muhammad Sufian Maradzi,BN,UMNO,False,False,False,False,True,True,False,not_priority,super_marginal,15.0,UMNO,BN,Bukan Sasaran PAS,pending,pending,pending,,,,PRN N16 Seri Menanti,PAS Seri Menanti Negeri Sembilan,P129 Kuala Pilah,Adat/Pilah,Melayu 95.7% · Cina 3.8% · India 0.6% · DPI Dec 2025,Kos sara hidup / ekonomi mikro,Infrastruktur & perkhidmatan awam,Dinamik PAS-PN post-split,8.0,20.0,23.0,Rendah,True,Rule: not_priority · super_marginal · Ramalan PAS 15%
N17,P129 Kuala Pilah,Senaling,9914,Ismail Lasim,BN,UMNO,3724,Amrina Mohd Khalid,PN,Bersatu,3062,662,Kekal BN,Adnan Abu Hasan (BN-UMNO),Ismail Lasim,BN,UMNO,False,False,False,False,False,True,False,not_priority,marginal,15.0,UMNO,BN,Bukan Sasaran PAS,pending,pending,pending,,,,PRN N17 Senaling,PAS Senaling Negeri Sembilan,P129 Kuala Pilah,Adat/Pilah,Melayu 81.9% · Cina 15.3% · India 2.9% · DPI Dec 2025,Kos sara hidup / ekonomi mikro,Infrastruktur & perkhidmatan awam,Dinamik PAS-PN post-split,8.0,20.0,23.0,Rendah,False,Rule: not_priority · marginal · Ramalan PAS 15%
N18,P129 Kuala Pilah,Pilah,17963,Noorzunita Begum Mohd Ibrahim,PH,PKR,6222,Rafiei Mustapha,PN,PAS,5143,1079,Kekal PH,Mohamad Nazaruddin Sabtu (PH-PKR),Noorzunita Begum Mohd Ibrahim,PH,PKR,False,False,False,False,False,False,False,winnable,semi_safe,38.0,PKR,PH,PAS Perlu Swing Besar,pending,pending,pending,,,,PRN N18 Pilah,PAS Pilah Negeri Sembilan,P129 Kuala Pilah,Adat/Pilah,Melayu 66.7% · Cina 25.5% · India 7.8% · DPI Dec 2025,Pilah tradisi,PH marginal,PAS challenger kuat,28.0,43.0,42.0,Tinggi,False,Rule: winnable · semi_safe · Ramalan PAS 38%
N19,P129 Kuala Pilah,Johol,12359,Saiful Yazan Sulaiman,BN,UMNO,5228,Kamarudin Md Tahir,PN,PAS,3111,2117,Kekal BN,Saiful Yazan Sulaiman (BN-UMNO),Saiful Yazan Sulaiman,BN,UMNO,False,False,False,False,False,False,False,tough,semi_safe,38.0,UMNO,BN,PAS Perlu Swing Besar,pending,pending,pending,,,,PRN N19 Johol,PAS Johol Negeri Sembilan,P129 Kuala Pilah,Adat/Pilah,Melayu 78.6% · Cina 16.2% · India 5.3% · DPI Dec 2025,Kos sara hidup / ekonomi mikro,Infrastruktur & perkhidmatan awam,Dinamik PAS-PN post-split,28.0,43.0,46.0,Tinggi,False,Rule: tough · semi_safe · Ramalan PAS 38%
N20,P130 Rasah,Labu,32575,Mohamad Hanifah Abu Baker,PN,Bersatu,11661,Ismail Ahmad,PH,PKR,10021,1640,TUKAR ke PN,Ismail Ahmad (PH-PKR),Mohamad Hanifah Abu Baker,PN,Bersatu,False,True,True,False,False,False,True,tough,semi_safe,42.0,Bersatu,PN,PAS Perlu Swing Besar,pending,pending,pending,,,,PRN N20 Labu,PAS Labu Negeri Sembilan,P130 Rasah,Bandar Rasah/Nilai,Melayu 79.2% · Cina 8.6% · India 12.2% · DPI Dec 2025,NILAI manufacturing,Bersatu vs PAS,Split PN,32.0,47.0,46.0,Tinggi,False,Rule: tough · semi_safe · Ramalan PAS 42%
N21,P130 Rasah,Bukit Kepayang,49248,Nicole Tan Lee Koon,PH,DAP,24626,Subramaniam Purusothama,PN,Bersatu,4942,19684,Kekal PH,Nicole Tan Lee Koon (PH-DAP),Nicole Tan Lee Koon,PH,DAP,False,False,False,False,False,False,False,not_priority,safe,15.0,DAP,PH,Bukan Sasaran PAS,seed,pending,seed,facebook.com/nicoletan.ns,,@nicoletan_ns,PRN N21 Bukit Kepayang,PAS Bukit Kepayang Negeri Sembilan,P130 Rasah,Bandar Rasah/Nilai,Melayu 29.8% · Cina 50.7% · India 19.4% · DPI Dec 2025,Kos sara hidup / ekonomi mikro,Infrastruktur & perkhidmatan awam,Dinamik PAS-PN post-split,8.0,20.0,19.0,Rendah,False,Rule: not_priority · safe · Ramalan PAS 15%
N22,P130 Rasah,Rahang,19608,Desmond Sian Meow Kong,PH,DAP,9868,Lee Boon Shian,PN,Gerakan,3436,6432,Kekal PH,Mary Josephine Pritam Singh (PH-DAP),Desmond Sian Meow Kong,PH,DAP,False,False,False,False,False,False,False,not_priority,safe,15.0,DAP,PH,Bukan Sasaran PAS,pending,pending,pending,,,,PRN N22 Rahang,PAS Rahang Negeri Sembilan,P130 Rasah,Bandar Rasah/Nilai,Melayu 33.0% · Cina 46.4% · India 20.5% · DPI Dec 2025,Kos sara hidup / ekonomi mikro,Infrastruktur & perkhidmatan awam,Dinamik PAS-PN post-split,8.0,20.0,19.0,Rendah,False,Rule: not_priority · safe · Ramalan PAS 15%
N23,P130 Rasah,Mambau,30316,Yap Yew Weng,PH,DAP,17039,Sathes Kumar Nillamiam,PN,Bersatu,2099,14940,Kekal PH,Yap Yew Weng (PH-DAP),Yap Yew Weng,PH,DAP,False,False,False,False,False,False,False,not_priority,safe,15.0,DAP,PH,Bukan Sasaran PAS,seed,pending,pending,facebook.com/yapyewweng,,,PRN N23 Mambau,PAS Mambau Negeri Sembilan,P130 Rasah,Bandar Rasah/Nilai,Melayu 15.1% · Cina 60.9% · India 23.9% · DPI Dec 2025,Kos sara hidup / ekonomi mikro,Infrastruktur & perkhidmatan awam,Dinamik PAS-PN post-split,8.0,20.0,19.0,Rendah,False,Rule: not_priority · safe · Ramalan PAS 15%
N24,P130 Rasah,Seremban Jaya,32899,Gunasekaren Palasamy,PH,DAP,17080,Lee Ban Fatt,PN,Gerakan,4377,12703,Kekal PH,Gunasekaren Palasamy (PH-DAP),Gunasekaren Palasamy,PH,DAP,False,False,False,False,False,False,False,not_priority,safe,15.0,DAP,PH,Bukan Sasaran PAS,seed,pending,pending,facebook.com/gunasekaren.palasamy,,,PRN N24 Seremban Jaya,PAS Seremban Jaya Negeri Sembilan,P130 Rasah,Bandar Rasah/Nilai,Melayu 26.7% · Cina 47.0% · India 26.3% · DPI Dec 2025,Kos sara hidup / ekonomi mikro,Infrastruktur & perkhidmatan awam,Dinamik PAS-PN post-split,8.0,20.0,19.0,Rendah,False,Rule: not_priority · safe · Ramalan PAS 15%
N25,P131 Rembau,Paroi,64582,Kamarol Ridzuan Md Zain,PN,PAS,23840,Norwani Ahmat,PH,Amanah,18301,5539,TUKAR ke PN,Mohamad Taufek Abd Ghani (PH-Amanah),Kamarol Ridzuan Md Zain,PN,PAS,True,False,True,False,False,False,True,defend,safe,82.0,PAS,PN,PAS/Kemungkinan Menang,pending,pending,pending,,,,PRN N25 Paroi,PAS Paroi Negeri Sembilan,P131 Rembau,Rembau/Tradisi,Melayu 79.9% · Cina 6.8% · India 13.3% · DPI Dec 2025,Kos sara hidup bandar,Trafik Seremban,Pertahan PAS post-split,72.0,87.0,86.0,Rendah,False,Rule: defend · safe · Ramalan PAS 82%
N26,P131 Rembau,Chembong,26440,Zaifulbahri Idris,BN,UMNO,11261,Bakly Baba,PN,Bersatu,6926,4335,Kekal BN,Zaifulbahri Idris (BN-UMNO),Zaifulbahri Idris,BN,UMNO,False,False,False,False,False,False,False,not_priority,safe,15.0,UMNO,BN,Bukan Sasaran PAS,pending,pending,pending,,,,PRN N26 Chembong,PAS Chembong Negeri Sembilan,P131 Rembau,Rembau/Tradisi,Melayu 83.8% · Cina 7.1% · India 9.1% · DPI Dec 2025,Kos sara hidup / ekonomi mikro,Infrastruktur & perkhidmatan awam,Dinamik PAS-PN post-split,8.0,20.0,23.0,Rendah,False,Rule: not_priority · safe · Ramalan PAS 15%
N27,P131 Rembau,Rantau,34636,Mohamad Hasan,BN,UMNO,16957,Rozmal Malakan,PN,PAS,6677,10280,Kekal BN,Mohamad Hasan (BN-UMNO),Mohamad Hasan,BN,UMNO,False,False,False,False,False,False,False,tough,safe,28.0,UMNO,BN,Bukan Sasaran PAS,active,pending,active,facebook.com/tok.mot.official,,@tokmot_official,PRN N27 Rantau,PAS Rantau Negeri Sembilan,P131 Rembau,Rembau/Tradisi,Melayu 58.0% · Cina 16.4% · India 25.6% · DPI Dec 2025,Kos sara hidup / ekonomi mikro,Infrastruktur & perkhidmatan awam,Dinamik PAS-PN post-split,18.0,33.0,36.0,Rendah,False,Rule: tough · safe · Ramalan PAS 28%
N28,P131 Rembau,Kota,16730,Suhaimi Aini,BN,UMNO,5869,Ahmad Shukri Abdul Shukor,PN,Bersatu,5734,135,Kekal BN,Awaludin Said (BN-UMNO),Suhaimi Aini,BN,UMNO,False,False,False,True,True,True,False,not_priority,ultra_marginal,15.0,UMNO,BN,Bukan Sasaran PAS,pending,pending,pending,,,,PRN N28 Kota,PAS Kota Negeri Sembilan,P131 Rembau,Rembau/Tradisi,Melayu 88.6% · Cina 7.0% · India 4.4% · DPI Dec 2025,Kos sara hidup / ekonomi mikro,Infrastruktur & perkhidmatan awam,Dinamik PAS-PN post-split,8.0,20.0,23.0,Rendah,True,Rule: not_priority · ultra_marginal · Ramalan PAS 15%
N29,P132 Port Dickson,Chuah,15141,Yew Boon Lye,PH,PKR,8172,Tang Jay Son,PN,Gerakan,1874,6298,Kekal PH,Michael Yek Diew Ching (PH-PKR),Yew Boon Lye,PH,PKR,False,False,False,False,False,False,False,not_priority,safe,15.0,PKR,PH,Bukan Sasaran PAS,pending,pending,pending,,,,PRN N29 Chuah,PAS Chuah Negeri Sembilan,P132 Port Dickson,Pantai/PD,Melayu 25.3% · Cina 54.1% · India 20.6% · DPI Dec 2025,Kos sara hidup / ekonomi mikro,Infrastruktur & perkhidmatan awam,Dinamik PAS-PN post-split,8.0,20.0,19.0,Rendah,False,Rule: not_priority · safe · Ramalan PAS 15%
N30,P132 Port Dickson,Lukut,28010,Choo Ken Hwa,PH,DAP,13696,Ragu Subramaniam,PN,PAS,3561,10135,Kekal PH,Choo Ken Hwa (PH-DAP),Choo Ken Hwa,PH,DAP,False,False,False,False,False,False,False,not_priority,safe,28.0,DAP,PH,Bukan Sasaran PAS,pending,pending,pending,,,,PRN N30 Lukut,PAS Lukut Negeri Sembilan,P132 Port Dickson,Pantai/PD,Melayu 26.0% · Cina 49.1% · India 24.8% · DPI Dec 2025,Kos sara hidup / ekonomi mikro,Infrastruktur & perkhidmatan awam,Dinamik PAS-PN post-split,18.0,33.0,32.0,Rendah,False,Rule: not_priority · safe · Ramalan PAS 28%
N31,P132 Port Dickson,Bagan Pinang,27926,Abdul Fatah Zakaria,PN,PAS,10921,Mohd Najib Mohd Isa,BN,UMNO,7495,3426,TUKAR ke PN,Tun Hairuddin Abu Bakar (BN-UMNO),Abdul Fatah Zakaria,PN,PAS,True,False,True,False,False,False,True,defend,safe,82.0,PAS,PN,PAS/Kemungkinan Menang,pending,pending,pending,,,,PRN N31 Bagan Pinang,PAS Bagan Pinang Negeri Sembilan,P132 Port Dickson,Pantai/PD,Melayu 79.0% · Cina 12.1% · India 8.9% · DPI Dec 2025,Pelancongan PD,Nelayan,Perpaduan pantai,72.0,87.0,86.0,Rendah,False,Rule: defend · safe · Ramalan PAS 82%
N32,P132 Port Dickson,Linggi,20768,Mohd Faizal Ramli,BN,UMNO,7832,Zamri Md Said,PN,Bersatu,6371,1461,Kekal BN,Abd Rahman Mohd Redza (BN-UMNO),Mohd Faizal Ramli,BN,UMNO,False,False,False,False,False,False,False,not_priority,semi_safe,15.0,UMNO,BN,Bukan Sasaran PAS,pending,pending,pending,,,,PRN N32 Linggi,PAS Linggi Negeri Sembilan,P132 Port Dickson,Pantai/PD,Melayu 65.2% · Cina 18.2% · India 16.6% · DPI Dec 2025,Kos sara hidup / ekonomi mikro,Infrastruktur & perkhidmatan awam,Dinamik PAS-PN post-split,8.0,20.0,23.0,Rendah,False,Rule: not_priority · semi_safe · Ramalan PAS 15%
N33,P132 Port Dickson,Sri Tanjung,19585,Rajasekaran Gunnasekaran,PH,PKR,8239,Zabidi Ariffin,PN,Bersatu,4243,3996,Kekal PH,Ravi Munusamy (PH-PKR),Rajasekaran Gunnasekaran,PH,PKR,False,False,False,False,False,False,False,not_priority,safe,15.0,PKR,PH,Bukan Sasaran PAS,pending,pending,pending,,,,PRN N33 Sri Tanjung,PAS Sri Tanjung Negeri Sembilan,P132 Port Dickson,Pantai/PD,Melayu 42.5% · Cina 33.0% · India 24.6% · DPI Dec 2025,Kos sara hidup / ekonomi mikro,Infrastruktur & perkhidmatan awam,Dinamik PAS-PN post-split,8.0,20.0,19.0,Rendah,False,Rule: not_priority · safe · Ramalan PAS 15%
N34,P133 Tampin,Gemas,29235,Ridzuan Ahmad,PN,Bersatu,11653,Abdul Razak Said,BN,UMNO,8533,3120,TUKAR ke PN,Abdul Razak Said (BN-UMNO),Ridzuan Ahmad,PN,Bersatu,False,True,True,False,False,False,True,tough,safe,42.0,Bersatu,PN,PAS Perlu Swing Besar,pending,pending,pending,,,,PRN N34 Gemas,PAS Gemas Negeri Sembilan,P133 Tampin,Sempadan Johor,Melayu 85.0% · Cina 10.4% · India 4.6% · DPI Dec 2025,FELDA Gemas,Komuter NS-Johor,Bersatu hold,32.0,47.0,46.0,Tinggi,False,Rule: tough · safe · Ramalan PAS 42%
N35,P133 Tampin,Gemencheh,24878,Suhaimizan Bizar,BN,UMNO,8905,Tengku Abdullah Tengku Rakman,PN,PAS,6471,2434,Kekal BN,Mohd Isam Mohd Isa (BN-UMNO),Suhaimizan Bizar,BN,UMNO,False,False,False,False,False,False,False,tough,semi_safe,38.0,UMNO,BN,PAS Perlu Swing Besar,pending,pending,pending,,,,PRN N35 Gemencheh,PAS Gemencheh Negeri Sembilan,P133 Tampin,Sempadan Johor,Melayu 63.4% · Cina 22.1% · India 14.5% · DPI Dec 2025,Kos sara hidup / ekonomi mikro,Infrastruktur & perkhidmatan awam,Dinamik PAS-PN post-split,28.0,43.0,46.0,Tinggi,False,Rule: tough · semi_safe · Ramalan PAS 38%
N36,P133 Tampin,Repah,27830,Veerapan Superamaniam,PH,DAP,11507,Elaine Yong Li Yi,PN,Gerakan,5557,5950,Kekal PH,Veerapan Superamaniam (PH-DAP),Veerapan Superamaniam,PH,DAP,False,False,False,False,False,False,False,not_priority,safe,15.0,DAP,PH,Bukan Sasaran PAS,pending,pending,pending,,,,PRN N36 Repah,PAS Repah Negeri Sembilan,P133 Tampin,Sempadan Johor,Melayu 41.8% · Cina 41.8% · India 16.4% · DPI Dec 2025,Kos sara hidup / ekonomi mikro,Infrastruktur & perkhidmatan awam,Dinamik PAS-PN post-split,8.0,20.0,19.0,Rendah,False,Rule: not_priority · safe · Ramalan PAS 15%
