state,code,name,district,proxyLocation,lat,lon,confidence,note,mapsUrl
Johor,N.25,Rengit,Batu Pahat,Pekan Rengit,1.68,103.146,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=Pekan+Rengit%2C+Johor%2C+Malaysia
Johor,N.26,Machap,Kluang,Pekan Machap,1.911,103.259,Sederhana,Titik proksi operasi; semak dalam GeoJohor/Google Maps dan laraskan kepada pusat operasi sebenar.,https://www.google.com/maps/search/?api=1&query=Pekan+Machap%2C+Johor%2C+Malaysia
Johor,N.27,Layang-Layang,Kluang,Pekan Layang-Layang,1.816,103.48,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=Pekan+Layang-Layang%2C+Johor%2C+Malaysia
Johor,N.28,Mengkibol,Kluang,Kluang Barat / Mengkibol,2.03,103.317,Sederhana,Titik proksi operasi; semak dalam GeoJohor/Google Maps dan laraskan kepada pusat operasi sebenar.,https://www.google.com/maps/search/?api=1&query=Kluang+Barat+%2F+Mengkibol%2C+Johor%2C+Malaysia
Johor,N.29,Mahkota,Kluang,Pusat Bandar Kluang / Mahkota,2.03,103.331,Sederhana,Titik proksi operasi; semak dalam GeoJohor/Google Maps dan laraskan kepada pusat operasi sebenar.,https://www.google.com/maps/search/?api=1&query=Pusat+Bandar+Kluang+%2F+Mahkota%2C+Johor%2C+Malaysia
Johor,N.30,Paloh,Kluang,Pekan Paloh,2.189,103.286,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=Pekan+Paloh%2C+Johor%2C+Malaysia
Johor,N.31,Kahang,Kluang,Pekan Kahang,2.203,103.545,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=Pekan+Kahang%2C+Johor%2C+Malaysia
Johor,N.32,Endau,Mersing,Pekan Endau,2.65,103.625,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=Pekan+Endau%2C+Johor%2C+Malaysia
Johor,N.33,Tenggaroh,Mersing,FELDA Tenggaroh,2.085,103.873,Sederhana,Titik proksi operasi; semak dalam GeoJohor/Google Maps dan laraskan kepada pusat operasi sebenar.,https://www.google.com/maps/search/?api=1&query=FELDA+Tenggaroh%2C+Johor%2C+Malaysia
Johor,N.34,Panti,Kota Tinggi,Kawasan Panti / Kota Tinggi,1.83,103.85,Sederhana,Titik proksi operasi; semak dalam GeoJohor/Google Maps dan laraskan kepada pusat operasi sebenar.,https://www.google.com/maps/search/?api=1&query=Kawasan+Panti+%2F+Kota+Tinggi%2C+Johor%2C+Malaysia
Johor,N.35,Pasir Raja,Kota Tinggi,Kampung Pasir Raja,2.149,103.726,Rendah,Anggaran awal bagi kerusi rural; wajib QA GIS/lapangan sebelum digunakan untuk dispatch.,https://www.google.com/maps/search/?api=1&query=Kampung+Pasir+Raja%2C+Johor%2C+Malaysia
Johor,N.36,Sedili,Kota Tinggi,Sedili Besar,1.925,104.12,Sederhana,Titik proksi operasi; semak dalam GeoJohor/Google Maps dan laraskan kepada pusat operasi sebenar.,https://www.google.com/maps/search/?api=1&query=Sedili+Besar%2C+Johor%2C+Malaysia
Johor,N.37,Johor Lama,Kota Tinggi,Kampung Johor Lama,1.584,104.018,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=Kampung+Johor+Lama%2C+Johor%2C+Malaysia
Johor,N.38,Penawar,Kota Tinggi,Bandar Penawar,1.559,104.22,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=Bandar+Penawar%2C+Johor%2C+Malaysia
Johor,N.39,Tanjung Surat,Kota Tinggi,Tanjung Surat,1.494,104.193,Sederhana,Titik proksi operasi; semak dalam GeoJohor/Google Maps dan laraskan kepada pusat operasi sebenar.,https://www.google.com/maps/search/?api=1&query=Tanjung+Surat%2C+Johor%2C+Malaysia
Johor,N.40,Tiram,Johor Bahru,Ulu Tiram,1.6,103.817,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=Ulu+Tiram%2C+Johor%2C+Malaysia
Johor,N.41,Puteri Wangsa,Johor Bahru,Bandar Puteri Wangsa,1.575,103.827,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=Bandar+Puteri+Wangsa%2C+Johor%2C+Malaysia
Johor,N.42,Johor Jaya,Johor Bahru,Taman Johor Jaya,1.535,103.8,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=Taman+Johor+Jaya%2C+Johor%2C+Malaysia
Johor,N.43,Permas,Johor Bahru,Bandar Baru Permas Jaya,1.498,103.817,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=Bandar+Baru+Permas+Jaya%2C+Johor%2C+Malaysia
Johor,N.44,Larkin,Johor Bahru,Larkin,1.493,103.742,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=Larkin%2C+Johor%2C+Malaysia
Johor,N.45,Stulang,Johor Bahru,Stulang,1.476,103.766,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=Stulang%2C+Johor%2C+Malaysia
Johor,N.46,Perling,Johor Bahru,Taman Perling,1.494,103.68,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=Taman+Perling%2C+Johor%2C+Malaysia
Johor,N.47,Kempas,Johor Bahru,Kempas,1.557,103.716,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=Kempas%2C+Johor%2C+Malaysia
Johor,N.48,Skudai,Johor Bahru,Bandar Skudai,1.537,103.66,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=Bandar+Skudai%2C+Johor%2C+Malaysia
Johor,N.49,Kota Iskandar,Iskandar Puteri,Kota Iskandar,1.427,103.633,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=Kota+Iskandar%2C+Johor%2C+Malaysia
Johor,N.50,Bukit Permai,Kulai,Kawasan Bukit Permai / Kulai,1.641,103.61,Sederhana,Titik proksi operasi; semak dalam GeoJohor/Google Maps dan laraskan kepada pusat operasi sebenar.,https://www.google.com/maps/search/?api=1&query=Kawasan+Bukit+Permai+%2F+Kulai%2C+Johor%2C+Malaysia
Johor,N.51,Bukit Batu,Kulai,Kawasan Bukit Batu,1.688,103.54,Sederhana,Titik proksi operasi; semak dalam GeoJohor/Google Maps dan laraskan kepada pusat operasi sebenar.,https://www.google.com/maps/search/?api=1&query=Kawasan+Bukit+Batu%2C+Johor%2C+Malaysia
Johor,N.52,Senai,Kulai,Bandar Senai,1.6006,103.6419,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=Bandar+Senai%2C+Johor%2C+Malaysia
Johor,N.53,Benut,Pontian,Pekan Benut,1.65,103.45,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=Pekan+Benut%2C+Johor%2C+Malaysia
Johor,N.54,Pulai Sebatang,Pontian,Pulai Sebatang,1.495,103.39,Sederhana,Titik proksi operasi; semak dalam GeoJohor/Google Maps dan laraskan kepada pusat operasi sebenar.,https://www.google.com/maps/search/?api=1&query=Pulai+Sebatang%2C+Johor%2C+Malaysia
Johor,N.55,Pekan Nanas,Pontian,Pekan Nanas,1.514,103.513,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=Pekan+Nanas%2C+Johor%2C+Malaysia
Johor,N.56,Kukup,Pontian,Pekan Kukup,1.324,103.444,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=Pekan+Kukup%2C+Johor%2C+Malaysia
