state,district,date,sex,age,ethnicity,population,age_band
Johor,Batu Pahat,2020-01-01,both,50-54,bumi_malay,16.4,Working age (15-64)
Johor,Batu Pahat,2020-01-01,both,50-54,bumi_other,0.2,Working age (15-64)
Johor,Batu Pahat,2020-01-01,both,50-54,chinese,9.1,Working age (15-64)
Johor,Batu Pahat,2020-01-01,both,50-54,indian,0.4,Working age (15-64)
Johor,Batu Pahat,2020-01-01,both,50-54,other_citizen,0.1,Working age (15-64)
Johor,Batu Pahat,2020-01-01,both,50-54,other_noncitizen,1.0,Working age (15-64)
Johor,Batu Pahat,2020-01-01,both,55-59,overall,24.3,Working age (15-64)
Johor,Batu Pahat,2020-01-01,both,55-59,bumi_malay,14.9,Working age (15-64)
Johor,Batu Pahat,2020-01-01,both,55-59,bumi_other,0.2,Working age (15-64)
Johor,Batu Pahat,2020-01-01,both,55-59,chinese,8.1,Working age (15-64)
Johor,Batu Pahat,2020-01-01,both,55-59,indian,0.4,Working age (15-64)
Johor,Batu Pahat,2020-01-01,both,55-59,other_citizen,0.1,Working age (15-64)
Johor,Batu Pahat,2020-01-01,both,55-59,other_noncitizen,0.8,Working age (15-64)
Johor,Batu Pahat,2020-01-01,both,60-64,overall,20.3,Working age (15-64)
Johor,Batu Pahat,2020-01-01,both,60-64,bumi_malay,12.2,Working age (15-64)
Johor,Batu Pahat,2020-01-01,both,60-64,bumi_other,0.1,Working age (15-64)
Johor,Batu Pahat,2020-01-01,both,60-64,chinese,7.1,Working age (15-64)
Johor,Batu Pahat,2020-01-01,both,60-64,indian,0.3,Working age (15-64)
Johor,Batu Pahat,2020-01-01,both,60-64,other_citizen,0.1,Working age (15-64)
Johor,Batu Pahat,2020-01-01,both,60-64,other_noncitizen,0.5,Working age (15-64)
Johor,Batu Pahat,2020-01-01,both,65-69,overall,12.7,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,65-69,bumi_malay,8.0,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,65-69,bumi_other,0.1,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,65-69,chinese,3.3,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,65-69,indian,0.2,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,65-69,other_citizen,0.1,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,65-69,other_noncitizen,0.9,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,70-74,overall,8.8,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,70-74,bumi_malay,5.4,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,70-74,bumi_other,0.1,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,70-74,chinese,2.6,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,70-74,indian,0.1,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,70-74,other_citizen,0.0,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,70-74,other_noncitizen,0.6,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,75-79,overall,5.1,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,75-79,bumi_malay,3.0,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,75-79,bumi_other,0.1,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,75-79,chinese,1.6,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,75-79,indian,0.1,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,75-79,other_citizen,0.0,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,75-79,other_noncitizen,0.3,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,80-84,overall,3.3,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,80-84,bumi_malay,1.8,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,80-84,bumi_other,0.0,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,80-84,chinese,1.0,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,80-84,indian,0.0,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,80-84,other_citizen,0.0,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,80-84,other_noncitizen,0.3,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,85+,overall,2.6,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,85+,bumi_malay,1.6,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,85+,bumi_other,0.1,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,85+,chinese,0.6,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,85+,indian,0.0,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,85+,other_citizen,0.0,Elderly (65+)
Johor,Batu Pahat,2020-01-01,both,85+,other_noncitizen,0.4,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,overall,overall,233.7,
Johor,Batu Pahat,2020-01-01,female,overall,bumi_malay,154.3,
Johor,Batu Pahat,2020-01-01,female,overall,bumi_other,2.5,
Johor,Batu Pahat,2020-01-01,female,overall,chinese,68.5,
Johor,Batu Pahat,2020-01-01,female,overall,indian,3.2,
Johor,Batu Pahat,2020-01-01,female,overall,other_citizen,0.5,
Johor,Batu Pahat,2020-01-01,female,overall,other_noncitizen,4.6,
Johor,Batu Pahat,2020-01-01,female,0-4,overall,15.3,Young (0-14)
Johor,Batu Pahat,2020-01-01,female,0-4,bumi_malay,10.6,Young (0-14)
Johor,Batu Pahat,2020-01-01,female,0-4,bumi_other,0.2,Young (0-14)
Johor,Batu Pahat,2020-01-01,female,0-4,chinese,4.2,Young (0-14)
Johor,Batu Pahat,2020-01-01,female,0-4,indian,0.2,Young (0-14)
Johor,Batu Pahat,2020-01-01,female,0-4,other_citizen,0.0,Young (0-14)
Johor,Batu Pahat,2020-01-01,female,0-4,other_noncitizen,0.0,Young (0-14)
Johor,Batu Pahat,2020-01-01,female,5-9,overall,17.1,Young (0-14)
Johor,Batu Pahat,2020-01-01,female,5-9,bumi_malay,11.8,Young (0-14)
Johor,Batu Pahat,2020-01-01,female,5-9,bumi_other,0.2,Young (0-14)
Johor,Batu Pahat,2020-01-01,female,5-9,chinese,4.9,Young (0-14)
Johor,Batu Pahat,2020-01-01,female,5-9,indian,0.2,Young (0-14)
Johor,Batu Pahat,2020-01-01,female,5-9,other_citizen,0.0,Young (0-14)
Johor,Batu Pahat,2020-01-01,female,5-9,other_noncitizen,0.0,Young (0-14)
Johor,Batu Pahat,2020-01-01,female,10-14,overall,19.4,Young (0-14)
Johor,Batu Pahat,2020-01-01,female,10-14,bumi_malay,13.2,Young (0-14)
Johor,Batu Pahat,2020-01-01,female,10-14,bumi_other,0.2,Young (0-14)
Johor,Batu Pahat,2020-01-01,female,10-14,chinese,5.8,Young (0-14)
Johor,Batu Pahat,2020-01-01,female,10-14,indian,0.2,Young (0-14)
Johor,Batu Pahat,2020-01-01,female,10-14,other_citizen,0.0,Young (0-14)
Johor,Batu Pahat,2020-01-01,female,10-14,other_noncitizen,0.0,Young (0-14)
Johor,Batu Pahat,2020-01-01,female,15-19,overall,21.5,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,15-19,bumi_malay,14.8,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,15-19,bumi_other,0.3,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,15-19,chinese,5.7,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,15-19,indian,0.3,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,15-19,other_citizen,0.1,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,15-19,other_noncitizen,0.2,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,20-24,overall,21.5,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,20-24,bumi_malay,14.3,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,20-24,bumi_other,0.2,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,20-24,chinese,5.8,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,20-24,indian,0.3,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,20-24,other_citizen,0.1,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,20-24,other_noncitizen,0.8,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,25-29,overall,19.8,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,25-29,bumi_malay,13.0,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,25-29,bumi_other,0.2,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,25-29,chinese,5.6,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,25-29,indian,0.3,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,25-29,other_citizen,0.1,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,25-29,other_noncitizen,0.6,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,30-34,overall,19.4,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,30-34,bumi_malay,13.1,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,30-34,bumi_other,0.2,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,30-34,chinese,5.3,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,30-34,indian,0.2,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,30-34,other_citizen,0.0,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,30-34,other_noncitizen,0.5,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,35-39,overall,18.9,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,35-39,bumi_malay,12.7,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,35-39,bumi_other,0.3,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,35-39,chinese,5.2,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,35-39,indian,0.3,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,35-39,other_citizen,0.0,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,35-39,other_noncitizen,0.4,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,40-44,overall,15.1,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,40-44,bumi_malay,9.6,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,40-44,bumi_other,0.1,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,40-44,chinese,4.9,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,40-44,indian,0.3,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,40-44,other_citizen,0.0,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,40-44,other_noncitizen,0.3,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,45-49,overall,14.2,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,45-49,bumi_malay,8.9,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,45-49,bumi_other,0.1,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,45-49,chinese,4.8,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,45-49,indian,0.2,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,45-49,other_citizen,0.0,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,45-49,other_noncitizen,0.2,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,50-54,overall,13.4,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,50-54,bumi_malay,8.4,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,50-54,bumi_other,0.1,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,50-54,chinese,4.5,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,50-54,indian,0.2,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,50-54,other_citizen,0.0,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,50-54,other_noncitizen,0.2,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,55-59,overall,11.7,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,55-59,bumi_malay,7.5,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,55-59,bumi_other,0.1,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,55-59,chinese,3.8,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,55-59,indian,0.2,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,55-59,other_citizen,0.0,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,55-59,other_noncitizen,0.1,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,60-64,overall,10.1,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,60-64,bumi_malay,6.3,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,60-64,bumi_other,0.1,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,60-64,chinese,3.6,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,60-64,indian,0.1,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,60-64,other_citizen,0.0,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,60-64,other_noncitizen,0.1,Working age (15-64)
Johor,Batu Pahat,2020-01-01,female,65-69,overall,6.4,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,65-69,bumi_malay,4.1,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,65-69,bumi_other,0.1,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,65-69,chinese,1.6,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,65-69,indian,0.1,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,65-69,other_citizen,0.1,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,65-69,other_noncitizen,0.5,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,70-74,overall,4.5,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,70-74,bumi_malay,2.8,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,70-74,bumi_other,0.0,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,70-74,chinese,1.3,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,70-74,indian,0.1,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,70-74,other_citizen,0.0,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,70-74,other_noncitizen,0.3,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,75-79,overall,2.6,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,75-79,bumi_malay,1.6,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,75-79,bumi_other,0.0,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,75-79,chinese,0.8,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,75-79,indian,0.0,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,75-79,other_citizen,0.0,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,75-79,other_noncitizen,0.2,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,80-84,overall,1.7,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,80-84,bumi_malay,1.0,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,80-84,bumi_other,0.0,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,80-84,chinese,0.5,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,80-84,indian,0.0,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,80-84,other_citizen,0.0,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,80-84,other_noncitizen,0.2,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,85+,overall,1.2,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,85+,bumi_malay,0.8,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,85+,bumi_other,0.0,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,85+,chinese,0.2,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,85+,indian,0.0,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,85+,other_citizen,0.0,Elderly (65+)
Johor,Batu Pahat,2020-01-01,female,85+,other_noncitizen,0.1,Elderly (65+)
Johor,Batu Pahat,2020-01-01,male,overall,overall,261.6,
Johor,Batu Pahat,2020-01-01,male,overall,bumi_malay,156.9,
Johor,Batu Pahat,2020-01-01,male,overall,bumi_other,2.6,
Johor,Batu Pahat,2020-01-01,male,overall,chinese,71.6,
Johor,Batu Pahat,2020-01-01,male,overall,indian,3.7,
Johor,Batu Pahat,2020-01-01,male,overall,other_citizen,1.2,
Johor,Batu Pahat,2020-01-01,male,overall,other_noncitizen,25.6,
Johor,Batu Pahat,2020-01-01,male,0-4,overall,15.0,Young (0-14)
Johor,Batu Pahat,2020-01-01,male,0-4,bumi_malay,10.6,Young (0-14)
Johor,Batu Pahat,2020-01-01,male,0-4,bumi_other,0.2,Young (0-14)
Johor,Batu Pahat,2020-01-01,male,0-4,chinese,4.0,Young (0-14)
Johor,Batu Pahat,2020-01-01,male,0-4,indian,0.1,Young (0-14)
Johor,Batu Pahat,2020-01-01,male,0-4,other_citizen,0.0,Young (0-14)
Johor,Batu Pahat,2020-01-01,male,0-4,other_noncitizen,0.0,Young (0-14)
Johor,Batu Pahat,2020-01-01,male,5-9,overall,18.5,Young (0-14)
Johor,Batu Pahat,2020-01-01,male,5-9,bumi_malay,12.6,Young (0-14)
Johor,Batu Pahat,2020-01-01,male,5-9,bumi_other,0.2,Young (0-14)
Johor,Batu Pahat,2020-01-01,male,5-9,chinese,5.4,Young (0-14)
Johor,Batu Pahat,2020-01-01,male,5-9,indian,0.2,Young (0-14)
Johor,Batu Pahat,2020-01-01,male,5-9,other_citizen,0.0,Young (0-14)
Johor,Batu Pahat,2020-01-01,male,5-9,other_noncitizen,0.0,Young (0-14)
Johor,Batu Pahat,2020-01-01,male,10-14,overall,20.6,Young (0-14)
Johor,Batu Pahat,2020-01-01,male,10-14,bumi_malay,13.8,Young (0-14)
Johor,Batu Pahat,2020-01-01,male,10-14,bumi_other,0.2,Young (0-14)
Johor,Batu Pahat,2020-01-01,male,10-14,chinese,6.3,Young (0-14)
Johor,Batu Pahat,2020-01-01,male,10-14,indian,0.3,Young (0-14)
Johor,Batu Pahat,2020-01-01,male,10-14,other_citizen,0.0,Young (0-14)
Johor,Batu Pahat,2020-01-01,male,10-14,other_noncitizen,0.0,Young (0-14)
Johor,Batu Pahat,2020-01-01,male,15-19,overall,23.5,Working age (15-64)
Johor,Batu Pahat,2020-01-01,male,15-19,bumi_malay,15.4,Working age (15-64)
Johor,Batu Pahat,2020-01-01,male,15-19,bumi_other,0.3,Working age (15-64)
Johor,Batu Pahat,2020-01-01,male,15-19,chinese,5.9,Working age (15-64)
Johor,Batu Pahat,2020-01-01,male,15-19,indian,0.4,Working age (15-64)
Johor,Batu Pahat,2020-01-01,male,15-19,other_citizen,0.4,Working age (15-64)
Johor,Batu Pahat,2020-01-01,male,15-19,other_noncitizen,1.2,Working age (15-64)
Johor,Batu Pahat,2020-01-01,male,20-24,overall,27.5,Working age (15-64)
Johor,Batu Pahat,2020-01-01,male,20-24,bumi_malay,15.1,Working age (15-64)
Johor,Batu Pahat,2020-01-01,male,20-24,bumi_other,0.1,Working age (15-64)
Johor,Batu Pahat,2020-01-01,male,20-24,chinese,6.3,Working age (15-64)
Johor,Batu Pahat,2020-01-01,male,20-24,indian,0.4,Working age (15-64)
Johor,Batu Pahat,2020-01-01,male,20-24,other_citizen,0.2,Working age (15-64)
Johor,Batu Pahat,2020-01-01,male,20-24,other_noncitizen,5.4,Working age (15-64)
Johor,Batu Pahat,2020-01-01,male,25-29,overall,25.6,Working age (15-64)
Johor,Batu Pahat,2020-01-01,male,25-29,bumi_malay,13.4,Working age (15-64)
Johor,Batu Pahat,2020-01-01,male,25-29,bumi_other,0.1,Working age (15-64)
Johor,Batu Pahat,2020-01-01,male,25-29,chinese,5.7,Working age (15-64)
Johor,Batu Pahat,2020-01-01,male,25-29,indian,0.3,Working age (15-64)
Johor,Batu Pahat,2020-01-01,male,25-29,other_citizen,0.0,Working age (15-64)
Johor,Batu Pahat,2020-01-01,male,25-29,other_noncitizen,6.0,Working age (15-64)
Johor,Batu Pahat,2020-01-01,male,30-34,overall,23.7,Working age (15-64)
Johor,Batu Pahat,2020-01-01,male,30-34,bumi_malay,13.6,Working age (15-64)
Johor,Batu Pahat,2020-01-01,male,30-34,bumi_other,0.3,Working age (15-64)
Johor,Batu Pahat,2020-01-01,male,30-34,chinese,5.5,Working age (15-64)
Johor,Batu Pahat,2020-01-01,male,30-34,indian,0.3,Working age (15-64)
Johor,Batu Pahat,2020-01-01,male,30-34,other_citizen,0.1,Working age (15-64)
Johor,Batu Pahat,2020-01-01,male,30-34,other_noncitizen,3.9,Working age (15-64)
Johor,Batu Pahat,2020-01-01,male,35-39,overall,21.6,Working age (15-64)
Johor,Batu Pahat,2020-01-01,male,35-39,bumi_malay,12.7,Working age (15-64)
Johor,Batu Pahat,2020-01-01,male,35-39,bumi_other,0.3,Working age (15-64)
Johor,Batu Pahat,2020-01-01,male,35-39,chinese,5.5,Working age (15-64)
Johor,Batu Pahat,2020-01-01,male,35-39,indian,0.4,Working age (15-64)
Johor,Batu Pahat,2020-01-01,male,35-39,other_citizen,0.0,Working age (15-64)
