state,parliament_code,parliament_name,dun_code,dun_name,population,male,female,citizen,noncitizen,noncitizen_pct,sex_ratio_male_per_100_female,source_url
Negeri Sembilan,P.131,Rembau,N.26,Chembong,33297,16703,16594,32191,1106,3.32,100.66,https://storage.dosm.gov.my/population/population_dun.csv
Negeri Sembilan,P.131,Rembau,N.27,Rantau,53778,27864,25914,52930,848,1.58,107.52,https://storage.dosm.gov.my/population/population_dun.csv
Negeri Sembilan,P.131,Rembau,N.28,Kota,13999,7271,6728,13337,662,4.73,108.07,https://storage.dosm.gov.my/population/population_dun.csv
Negeri Sembilan,P.132,Port Dickson,N.29,Chuah,14569,7408,7161,13866,703,4.83,103.45,https://storage.dosm.gov.my/population/population_dun.csv
Negeri Sembilan,P.132,Port Dickson,N.30,Lukut,37369,18691,18678,36236,1133,3.03,100.07,https://storage.dosm.gov.my/population/population_dun.csv
Negeri Sembilan,P.132,Port Dickson,N.31,Bagan Pinang,34893,19736,15157,33250,1643,4.71,130.21,https://storage.dosm.gov.my/population/population_dun.csv
Negeri Sembilan,P.132,Port Dickson,N.32,Linggi,22466,12061,10405,20662,1804,8.03,115.92,https://storage.dosm.gov.my/population/population_dun.csv
Negeri Sembilan,P.132,Port Dickson,N.33,Sri Tanjung,19657,10513,9144,18830,827,4.21,114.97,https://storage.dosm.gov.my/population/population_dun.csv
Negeri Sembilan,P.133,Tampin,N.34,Gemas,28835,16196,12639,27058,1777,6.16,128.14,https://storage.dosm.gov.my/population/population_dun.csv
Negeri Sembilan,P.133,Tampin,N.35,Gemencheh,27304,14732,12572,24675,2629,9.63,117.18,https://storage.dosm.gov.my/population/population_dun.csv
Negeri Sembilan,P.133,Tampin,N.36,Repah,31984,15873,16111,31556,428,1.34,98.52,https://storage.dosm.gov.my/population/population_dun.csv
