state,date,sex,age,ethnicity,population,age_band
Johor,2020-01-01,both,30-34,other_noncitizen,46.3,Working age (15-64)
Johor,2020-01-01,both,35-39,overall,318.1,Working age (15-64)
Johor,2020-01-01,both,35-39,bumi_malay,167.4,Working age (15-64)
Johor,2020-01-01,both,35-39,bumi_other,6.5,Working age (15-64)
Johor,2020-01-01,both,35-39,chinese,90.7,Working age (15-64)
Johor,2020-01-01,both,35-39,indian,20.5,Working age (15-64)
Johor,2020-01-01,both,35-39,other_citizen,0.5,Working age (15-64)
Johor,2020-01-01,both,35-39,other_noncitizen,32.4,Working age (15-64)
Johor,2020-01-01,both,40-44,overall,260.1,Working age (15-64)
Johor,2020-01-01,both,40-44,bumi_malay,128.7,Working age (15-64)
Johor,2020-01-01,both,40-44,bumi_other,4.7,Working age (15-64)
Johor,2020-01-01,both,40-44,chinese,85.0,Working age (15-64)
Johor,2020-01-01,both,40-44,indian,18.7,Working age (15-64)
Johor,2020-01-01,both,40-44,other_citizen,1.5,Working age (15-64)
Johor,2020-01-01,both,40-44,other_noncitizen,21.6,Working age (15-64)
Johor,2020-01-01,both,45-49,overall,234.3,Working age (15-64)
Johor,2020-01-01,both,45-49,bumi_malay,116.3,Working age (15-64)
Johor,2020-01-01,both,45-49,bumi_other,3.6,Working age (15-64)
Johor,2020-01-01,both,45-49,chinese,82.4,Working age (15-64)
Johor,2020-01-01,both,45-49,indian,15.4,Working age (15-64)
Johor,2020-01-01,both,45-49,other_citizen,1.1,Working age (15-64)
Johor,2020-01-01,both,45-49,other_noncitizen,15.6,Working age (15-64)
Johor,2020-01-01,both,50-54,overall,212.1,Working age (15-64)
Johor,2020-01-01,both,50-54,bumi_malay,107.8,Working age (15-64)
Johor,2020-01-01,both,50-54,bumi_other,2.5,Working age (15-64)
Johor,2020-01-01,both,50-54,chinese,76.9,Working age (15-64)
Johor,2020-01-01,both,50-54,indian,13.6,Working age (15-64)
Johor,2020-01-01,both,50-54,other_citizen,0.7,Working age (15-64)
Johor,2020-01-01,both,50-54,other_noncitizen,10.7,Working age (15-64)
Johor,2020-01-01,both,55-59,overall,189.1,Working age (15-64)
Johor,2020-01-01,both,55-59,bumi_malay,98.4,Working age (15-64)
Johor,2020-01-01,both,55-59,bumi_other,1.7,Working age (15-64)
Johor,2020-01-01,both,55-59,chinese,68.6,Working age (15-64)
Johor,2020-01-01,both,55-59,indian,11.6,Working age (15-64)
Johor,2020-01-01,both,55-59,other_citizen,0.6,Working age (15-64)
Johor,2020-01-01,both,55-59,other_noncitizen,8.2,Working age (15-64)
Johor,2020-01-01,both,60-64,overall,157.2,Working age (15-64)
Johor,2020-01-01,both,60-64,bumi_malay,80.5,Working age (15-64)
Johor,2020-01-01,both,60-64,bumi_other,1.3,Working age (15-64)
Johor,2020-01-01,both,60-64,chinese,60.0,Working age (15-64)
Johor,2020-01-01,both,60-64,indian,9.3,Working age (15-64)
Johor,2020-01-01,both,60-64,other_citizen,0.8,Working age (15-64)
Johor,2020-01-01,both,60-64,other_noncitizen,5.4,Working age (15-64)
Johor,2020-01-01,both,65-69,overall,94.9,Elderly (65+)
Johor,2020-01-01,both,65-69,bumi_malay,50.1,Elderly (65+)
Johor,2020-01-01,both,65-69,bumi_other,1.1,Elderly (65+)
Johor,2020-01-01,both,65-69,chinese,27.3,Elderly (65+)
Johor,2020-01-01,both,65-69,indian,6.4,Elderly (65+)
Johor,2020-01-01,both,65-69,other_citizen,1.0,Elderly (65+)
Johor,2020-01-01,both,65-69,other_noncitizen,9.0,Elderly (65+)
Johor,2020-01-01,both,70-74,overall,66.0,Elderly (65+)
Johor,2020-01-01,both,70-74,bumi_malay,34.2,Elderly (65+)
Johor,2020-01-01,both,70-74,bumi_other,0.9,Elderly (65+)
Johor,2020-01-01,both,70-74,chinese,21.1,Elderly (65+)
Johor,2020-01-01,both,70-74,indian,3.8,Elderly (65+)
Johor,2020-01-01,both,70-74,other_citizen,0.1,Elderly (65+)
Johor,2020-01-01,both,70-74,other_noncitizen,5.8,Elderly (65+)
Johor,2020-01-01,both,75-79,overall,38.1,Elderly (65+)
Johor,2020-01-01,both,75-79,bumi_malay,19.1,Elderly (65+)
Johor,2020-01-01,both,75-79,bumi_other,0.5,Elderly (65+)
Johor,2020-01-01,both,75-79,chinese,13.1,Elderly (65+)
Johor,2020-01-01,both,75-79,indian,2.1,Elderly (65+)
Johor,2020-01-01,both,75-79,other_citizen,0.1,Elderly (65+)
Johor,2020-01-01,both,75-79,other_noncitizen,3.2,Elderly (65+)
Johor,2020-01-01,both,80-84,overall,24.7,Elderly (65+)
Johor,2020-01-01,both,80-84,bumi_malay,11.6,Elderly (65+)
Johor,2020-01-01,both,80-84,bumi_other,0.3,Elderly (65+)
Johor,2020-01-01,both,80-84,chinese,8.3,Elderly (65+)
Johor,2020-01-01,both,80-84,indian,1.0,Elderly (65+)
Johor,2020-01-01,both,80-84,other_citizen,0.0,Elderly (65+)
Johor,2020-01-01,both,80-84,other_noncitizen,3.4,Elderly (65+)
Johor,2020-01-01,both,85+,overall,20.9,Elderly (65+)
Johor,2020-01-01,both,85+,bumi_malay,10.3,Elderly (65+)
Johor,2020-01-01,both,85+,bumi_other,0.6,Elderly (65+)
Johor,2020-01-01,both,85+,chinese,4.9,Elderly (65+)
Johor,2020-01-01,both,85+,indian,1.3,Elderly (65+)
Johor,2020-01-01,both,85+,other_citizen,0.0,Elderly (65+)
Johor,2020-01-01,both,85+,other_noncitizen,3.8,Elderly (65+)
Johor,2020-01-01,female,overall,overall,1868.4,
Johor,2020-01-01,female,overall,bumi_malay,1062.0,
Johor,2020-01-01,female,overall,bumi_other,28.5,
Johor,2020-01-01,female,overall,chinese,589.1,
Johor,2020-01-01,female,overall,indian,121.5,
Johor,2020-01-01,female,overall,other_citizen,7.3,
Johor,2020-01-01,female,overall,other_noncitizen,60.0,
Johor,2020-01-01,female,0-4,overall,154.3,Young (0-14)
Johor,2020-01-01,female,0-4,bumi_malay,97.9,Young (0-14)
Johor,2020-01-01,female,0-4,bumi_other,3.1,Young (0-14)
Johor,2020-01-01,female,0-4,chinese,42.3,Young (0-14)
Johor,2020-01-01,female,0-4,indian,9.5,Young (0-14)
Johor,2020-01-01,female,0-4,other_citizen,0.6,Young (0-14)
Johor,2020-01-01,female,0-4,other_noncitizen,0.9,Young (0-14)
Johor,2020-01-01,female,5-9,overall,156.7,Young (0-14)
Johor,2020-01-01,female,5-9,bumi_malay,95.7,Young (0-14)
Johor,2020-01-01,female,5-9,bumi_other,2.8,Young (0-14)
Johor,2020-01-01,female,5-9,chinese,46.5,Young (0-14)
Johor,2020-01-01,female,5-9,indian,10.2,Young (0-14)
Johor,2020-01-01,female,5-9,other_citizen,0.6,Young (0-14)
Johor,2020-01-01,female,5-9,other_noncitizen,0.9,Young (0-14)
Johor,2020-01-01,female,10-14,overall,159.4,Young (0-14)
Johor,2020-01-01,female,10-14,bumi_malay,95.3,Young (0-14)
Johor,2020-01-01,female,10-14,bumi_other,2.8,Young (0-14)
Johor,2020-01-01,female,10-14,chinese,49.3,Young (0-14)
Johor,2020-01-01,female,10-14,indian,10.8,Young (0-14)
Johor,2020-01-01,female,10-14,other_citizen,0.5,Young (0-14)
Johor,2020-01-01,female,10-14,other_noncitizen,0.7,Young (0-14)
Johor,2020-01-01,female,15-19,overall,163.2,Working age (15-64)
Johor,2020-01-01,female,15-19,bumi_malay,96.8,Working age (15-64)
Johor,2020-01-01,female,15-19,bumi_other,3.3,Working age (15-64)
Johor,2020-01-01,female,15-19,chinese,48.3,Working age (15-64)
Johor,2020-01-01,female,15-19,indian,10.4,Working age (15-64)
Johor,2020-01-01,female,15-19,other_citizen,1.3,Working age (15-64)
Johor,2020-01-01,female,15-19,other_noncitizen,3.0,Working age (15-64)
Johor,2020-01-01,female,20-24,overall,167.0,Working age (15-64)
Johor,2020-01-01,female,20-24,bumi_malay,93.2,Working age (15-64)
Johor,2020-01-01,female,20-24,bumi_other,2.6,Working age (15-64)
Johor,2020-01-01,female,20-24,chinese,49.0,Working age (15-64)
Johor,2020-01-01,female,20-24,indian,10.1,Working age (15-64)
Johor,2020-01-01,female,20-24,other_citizen,1.2,Working age (15-64)
Johor,2020-01-01,female,20-24,other_noncitizen,10.9,Working age (15-64)
Johor,2020-01-01,female,25-29,overall,153.7,Working age (15-64)
Johor,2020-01-01,female,25-29,bumi_malay,84.9,Working age (15-64)
Johor,2020-01-01,female,25-29,bumi_other,2.0,Working age (15-64)
Johor,2020-01-01,female,25-29,chinese,47.3,Working age (15-64)
Johor,2020-01-01,female,25-29,indian,10.0,Working age (15-64)
Johor,2020-01-01,female,25-29,other_citizen,0.8,Working age (15-64)
Johor,2020-01-01,female,25-29,other_noncitizen,8.8,Working age (15-64)
Johor,2020-01-01,female,30-34,overall,147.9,Working age (15-64)
Johor,2020-01-01,female,30-34,bumi_malay,85.5,Working age (15-64)
Johor,2020-01-01,female,30-34,bumi_other,2.2,Working age (15-64)
Johor,2020-01-01,female,30-34,chinese,44.6,Working age (15-64)
Johor,2020-01-01,female,30-34,indian,8.2,Working age (15-64)
Johor,2020-01-01,female,30-34,other_citizen,0.2,Working age (15-64)
Johor,2020-01-01,female,30-34,other_noncitizen,7.1,Working age (15-64)
Johor,2020-01-01,female,35-39,overall,144.9,Working age (15-64)
Johor,2020-01-01,female,35-39,bumi_malay,83.2,Working age (15-64)
Johor,2020-01-01,female,35-39,bumi_other,2.9,Working age (15-64)
Johor,2020-01-01,female,35-39,chinese,43.6,Working age (15-64)
Johor,2020-01-01,female,35-39,indian,9.9,Working age (15-64)
Johor,2020-01-01,female,35-39,other_citizen,0.3,Working age (15-64)
Johor,2020-01-01,female,35-39,other_noncitizen,5.0,Working age (15-64)
Johor,2020-01-01,female,40-44,overall,118.1,Working age (15-64)
Johor,2020-01-01,female,40-44,bumi_malay,62.6,Working age (15-64)
Johor,2020-01-01,female,40-44,bumi_other,1.5,Working age (15-64)
Johor,2020-01-01,female,40-44,chinese,40.9,Working age (15-64)
Johor,2020-01-01,female,40-44,indian,9.0,Working age (15-64)
Johor,2020-01-01,female,40-44,other_citizen,0.3,Working age (15-64)
Johor,2020-01-01,female,40-44,other_noncitizen,3.9,Working age (15-64)
Johor,2020-01-01,female,45-49,overall,110.6,Working age (15-64)
Johor,2020-01-01,female,45-49,bumi_malay,58.1,Working age (15-64)
Johor,2020-01-01,female,45-49,bumi_other,1.3,Working age (15-64)
Johor,2020-01-01,female,45-49,chinese,40.0,Working age (15-64)
Johor,2020-01-01,female,45-49,indian,7.9,Working age (15-64)
Johor,2020-01-01,female,45-49,other_citizen,0.2,Working age (15-64)
Johor,2020-01-01,female,45-49,other_noncitizen,3.1,Working age (15-64)
Johor,2020-01-01,female,50-54,overall,103.1,Working age (15-64)
Johor,2020-01-01,female,50-54,bumi_malay,54.6,Working age (15-64)
Johor,2020-01-01,female,50-54,bumi_other,1.0,Working age (15-64)
Johor,2020-01-01,female,50-54,chinese,38.1,Working age (15-64)
Johor,2020-01-01,female,50-54,indian,6.8,Working age (15-64)
Johor,2020-01-01,female,50-54,other_citizen,0.3,Working age (15-64)
Johor,2020-01-01,female,50-54,other_noncitizen,2.4,Working age (15-64)
Johor,2020-01-01,female,55-59,overall,89.4,Working age (15-64)
Johor,2020-01-01,female,55-59,bumi_malay,48.8,Working age (15-64)
Johor,2020-01-01,female,55-59,bumi_other,0.7,Working age (15-64)
Johor,2020-01-01,female,55-59,chinese,32.3,Working age (15-64)
Johor,2020-01-01,female,55-59,indian,5.6,Working age (15-64)
Johor,2020-01-01,female,55-59,other_citizen,0.2,Working age (15-64)
Johor,2020-01-01,female,55-59,other_noncitizen,1.7,Working age (15-64)
Johor,2020-01-01,female,60-64,overall,78.0,Working age (15-64)
Johor,2020-01-01,female,60-64,bumi_malay,40.9,Working age (15-64)
Johor,2020-01-01,female,60-64,bumi_other,0.6,Working age (15-64)
Johor,2020-01-01,female,60-64,chinese,30.1,Working age (15-64)
Johor,2020-01-01,female,60-64,indian,5.0,Working age (15-64)
Johor,2020-01-01,female,60-64,other_citizen,0.1,Working age (15-64)
Johor,2020-01-01,female,60-64,other_noncitizen,1.3,Working age (15-64)
Johor,2020-01-01,female,65-69,overall,47.5,Elderly (65+)
Johor,2020-01-01,female,65-69,bumi_malay,25.4,Elderly (65+)
Johor,2020-01-01,female,65-69,bumi_other,0.5,Elderly (65+)
Johor,2020-01-01,female,65-69,chinese,13.6,Elderly (65+)
Johor,2020-01-01,female,65-69,indian,3.5,Elderly (65+)
Johor,2020-01-01,female,65-69,other_citizen,0.4,Elderly (65+)
Johor,2020-01-01,female,65-69,other_noncitizen,4.0,Elderly (65+)
Johor,2020-01-01,female,70-74,overall,33.1,Elderly (65+)
Johor,2020-01-01,female,70-74,bumi_malay,17.5,Elderly (65+)
Johor,2020-01-01,female,70-74,bumi_other,0.5,Elderly (65+)
Johor,2020-01-01,female,70-74,chinese,10.5,Elderly (65+)
Johor,2020-01-01,female,70-74,indian,2.1,Elderly (65+)
Johor,2020-01-01,female,70-74,other_citizen,0.1,Elderly (65+)
Johor,2020-01-01,female,70-74,other_noncitizen,2.5,Elderly (65+)
Johor,2020-01-01,female,75-79,overall,19.4,Elderly (65+)
Johor,2020-01-01,female,75-79,bumi_malay,10.1,Elderly (65+)
Johor,2020-01-01,female,75-79,bumi_other,0.2,Elderly (65+)
Johor,2020-01-01,female,75-79,chinese,6.6,Elderly (65+)
Johor,2020-01-01,female,75-79,indian,1.2,Elderly (65+)
Johor,2020-01-01,female,75-79,other_citizen,0.0,Elderly (65+)
Johor,2020-01-01,female,75-79,other_noncitizen,1.3,Elderly (65+)
Johor,2020-01-01,female,80-84,overall,12.6,Elderly (65+)
Johor,2020-01-01,female,80-84,bumi_malay,6.4,Elderly (65+)
Johor,2020-01-01,female,80-84,bumi_other,0.2,Elderly (65+)
Johor,2020-01-01,female,80-84,chinese,4.1,Elderly (65+)
Johor,2020-01-01,female,80-84,indian,0.6,Elderly (65+)
Johor,2020-01-01,female,80-84,other_citizen,0.0,Elderly (65+)
Johor,2020-01-01,female,80-84,other_noncitizen,1.3,Elderly (65+)
Johor,2020-01-01,female,85+,overall,9.3,Elderly (65+)
Johor,2020-01-01,female,85+,bumi_malay,5.1,Elderly (65+)
Johor,2020-01-01,female,85+,bumi_other,0.3,Elderly (65+)
Johor,2020-01-01,female,85+,chinese,2.0,Elderly (65+)
Johor,2020-01-01,female,85+,indian,0.6,Elderly (65+)
Johor,2020-01-01,female,85+,other_citizen,0.0,Elderly (65+)
Johor,2020-01-01,female,85+,other_noncitizen,1.3,Elderly (65+)
Johor,2020-01-01,male,overall,overall,2141.3,
Johor,2020-01-01,male,overall,bumi_malay,1096.4,
Johor,2020-01-01,male,overall,bumi_other,32.3,
Johor,2020-01-01,male,overall,chinese,619.5,
Johor,2020-01-01,male,overall,indian,122.8,
Johor,2020-01-01,male,overall,other_citizen,11.1,
Johor,2020-01-01,male,overall,other_noncitizen,259.2,
Johor,2020-01-01,male,0-4,overall,152.0,Young (0-14)
Johor,2020-01-01,male,0-4,bumi_malay,98.0,Young (0-14)
Johor,2020-01-01,male,0-4,bumi_other,3.0,Young (0-14)
Johor,2020-01-01,male,0-4,chinese,40.4,Young (0-14)
Johor,2020-01-01,male,0-4,indian,8.7,Young (0-14)
Johor,2020-01-01,male,0-4,other_citizen,0.6,Young (0-14)
Johor,2020-01-01,male,0-4,other_noncitizen,1.1,Young (0-14)
Johor,2020-01-01,male,5-9,overall,165.6,Young (0-14)
Johor,2020-01-01,male,5-9,bumi_malay,101.6,Young (0-14)
Johor,2020-01-01,male,5-9,bumi_other,2.9,Young (0-14)
Johor,2020-01-01,male,5-9,chinese,49.0,Young (0-14)
Johor,2020-01-01,male,5-9,indian,10.5,Young (0-14)
Johor,2020-01-01,male,5-9,other_citizen,0.5,Young (0-14)
Johor,2020-01-01,male,5-9,other_noncitizen,1.0,Young (0-14)
Johor,2020-01-01,male,10-14,overall,171.3,Young (0-14)
Johor,2020-01-01,male,10-14,bumi_malay,102.3,Young (0-14)
Johor,2020-01-01,male,10-14,bumi_other,2.9,Young (0-14)
Johor,2020-01-01,male,10-14,chinese,53.5,Young (0-14)
Johor,2020-01-01,male,10-14,indian,11.4,Young (0-14)
Johor,2020-01-01,male,10-14,other_citizen,0.6,Young (0-14)
Johor,2020-01-01,male,10-14,other_noncitizen,0.7,Young (0-14)
Johor,2020-01-01,male,15-19,overall,181.9,Working age (15-64)
Johor,2020-01-01,male,15-19,bumi_malay,102.3,Working age (15-64)
Johor,2020-01-01,male,15-19,bumi_other,3.2,Working age (15-64)
Johor,2020-01-01,male,15-19,chinese,50.2,Working age (15-64)
Johor,2020-01-01,male,15-19,indian,10.9,Working age (15-64)
Johor,2020-01-01,male,15-19,other_citizen,2.9,Working age (15-64)
Johor,2020-01-01,male,15-19,other_noncitizen,12.5,Working age (15-64)
Johor,2020-01-01,male,20-24,overall,221.9,Working age (15-64)
Johor,2020-01-01,male,20-24,bumi_malay,100.6,Working age (15-64)
Johor,2020-01-01,male,20-24,bumi_other,1.7,Working age (15-64)
Johor,2020-01-01,male,20-24,chinese,54.1,Working age (15-64)
Johor,2020-01-01,male,20-24,indian,10.6,Working age (15-64)
Johor,2020-01-01,male,20-24,other_citizen,1.3,Working age (15-64)
Johor,2020-01-01,male,20-24,other_noncitizen,53.6,Working age (15-64)
Johor,2020-01-01,male,25-29,overall,208.9,Working age (15-64)
Johor,2020-01-01,male,25-29,bumi_malay,88.9,Working age (15-64)
Johor,2020-01-01,male,25-29,bumi_other,1.4,Working age (15-64)
Johor,2020-01-01,male,25-29,chinese,49.1,Working age (15-64)
Johor,2020-01-01,male,25-29,indian,9.6,Working age (15-64)
Johor,2020-01-01,male,25-29,other_citizen,0.3,Working age (15-64)
Johor,2020-01-01,male,25-29,other_noncitizen,59.6,Working age (15-64)
Johor,2020-01-01,male,30-34,overall,190.2,Working age (15-64)
Johor,2020-01-01,male,30-34,bumi_malay,90.7,Working age (15-64)
Johor,2020-01-01,male,30-34,bumi_other,3.2,Working age (15-64)
Johor,2020-01-01,male,30-34,chinese,46.8,Working age (15-64)
Johor,2020-01-01,male,30-34,indian,9.5,Working age (15-64)
Johor,2020-01-01,male,30-34,other_citizen,0.7,Working age (15-64)
Johor,2020-01-01,male,30-34,other_noncitizen,39.3,Working age (15-64)
Johor,2020-01-01,male,35-39,overall,173.1,Working age (15-64)
Johor,2020-01-01,male,35-39,bumi_malay,84.2,Working age (15-64)
Johor,2020-01-01,male,35-39,bumi_other,3.6,Working age (15-64)
Johor,2020-01-01,male,35-39,chinese,47.1,Working age (15-64)
Johor,2020-01-01,male,35-39,indian,10.6,Working age (15-64)
Johor,2020-01-01,male,35-39,other_citizen,0.3,Working age (15-64)
Johor,2020-01-01,male,35-39,other_noncitizen,27.4,Working age (15-64)
Johor,2020-01-01,male,40-44,overall,142.1,Working age (15-64)
Johor,2020-01-01,male,40-44,bumi_malay,66.1,Working age (15-64)
Johor,2020-01-01,male,40-44,bumi_other,3.2,Working age (15-64)
Johor,2020-01-01,male,40-44,chinese,44.1,Working age (15-64)
Johor,2020-01-01,male,40-44,indian,9.7,Working age (15-64)
Johor,2020-01-01,male,40-44,other_citizen,1.1,Working age (15-64)
Johor,2020-01-01,male,40-44,other_noncitizen,17.8,Working age (15-64)
Johor,2020-01-01,male,45-49,overall,123.7,Working age (15-64)
Johor,2020-01-01,male,45-49,bumi_malay,58.2,Working age (15-64)
Johor,2020-01-01,male,45-49,bumi_other,2.3,Working age (15-64)
Johor,2020-01-01,male,45-49,chinese,42.4,Working age (15-64)
Johor,2020-01-01,male,45-49,indian,7.5,Working age (15-64)
Johor,2020-01-01,male,45-49,other_citizen,0.8,Working age (15-64)
Johor,2020-01-01,male,45-49,other_noncitizen,12.5,Working age (15-64)
Johor,2020-01-01,male,50-54,overall,109.0,Working age (15-64)
Johor,2020-01-01,male,50-54,bumi_malay,53.2,Working age (15-64)
Johor,2020-01-01,male,50-54,bumi_other,1.5,Working age (15-64)
Johor,2020-01-01,male,50-54,chinese,38.8,Working age (15-64)
Johor,2020-01-01,male,50-54,indian,6.8,Working age (15-64)
Johor,2020-01-01,male,50-54,other_citizen,0.4,Working age (15-64)
Johor,2020-01-01,male,50-54,other_noncitizen,8.3,Working age (15-64)
Johor,2020-01-01,male,55-59,overall,99.7,Working age (15-64)
Johor,2020-01-01,male,55-59,bumi_malay,49.6,Working age (15-64)
Johor,2020-01-01,male,55-59,bumi_other,1.0,Working age (15-64)
Johor,2020-01-01,male,55-59,chinese,36.3,Working age (15-64)
Johor,2020-01-01,male,55-59,indian,6.0,Working age (15-64)
Johor,2020-01-01,male,55-59,other_citizen,0.3,Working age (15-64)
Johor,2020-01-01,male,55-59,other_noncitizen,6.5,Working age (15-64)
Johor,2020-01-01,male,60-64,overall,79.2,Working age (15-64)
Johor,2020-01-01,male,60-64,bumi_malay,39.6,Working age (15-64)
Johor,2020-01-01,male,60-64,bumi_other,0.7,Working age (15-64)
Johor,2020-01-01,male,60-64,chinese,29.9,Working age (15-64)
Johor,2020-01-01,male,60-64,indian,4.3,Working age (15-64)
Johor,2020-01-01,male,60-64,other_citizen,0.6,Working age (15-64)
Johor,2020-01-01,male,60-64,other_noncitizen,4.1,Working age (15-64)
Johor,2020-01-01,male,65-69,overall,47.3,Elderly (65+)
Johor,2020-01-01,male,65-69,bumi_malay,24.7,Elderly (65+)
Johor,2020-01-01,male,65-69,bumi_other,0.6,Elderly (65+)
Johor,2020-01-01,male,65-69,chinese,13.7,Elderly (65+)
Johor,2020-01-01,male,65-69,indian,2.9,Elderly (65+)
Johor,2020-01-01,male,65-69,other_citizen,0.5,Elderly (65+)
Johor,2020-01-01,male,65-69,other_noncitizen,5.0,Elderly (65+)
Johor,2020-01-01,male,70-74,overall,32.8,Elderly (65+)
Johor,2020-01-01,male,70-74,bumi_malay,16.8,Elderly (65+)
Johor,2020-01-01,male,70-74,bumi_other,0.4,Elderly (65+)
Johor,2020-01-01,male,70-74,chinese,10.6,Elderly (65+)
Johor,2020-01-01,male,70-74,indian,1.7,Elderly (65+)
Johor,2020-01-01,male,70-74,other_citizen,0.1,Elderly (65+)
Johor,2020-01-01,male,70-74,other_noncitizen,3.3,Elderly (65+)
Johor,2020-01-01,male,75-79,overall,18.7,Elderly (65+)
Johor,2020-01-01,male,75-79,bumi_malay,9.0,Elderly (65+)
Johor,2020-01-01,male,75-79,bumi_other,0.3,Elderly (65+)
Johor,2020-01-01,male,75-79,chinese,6.5,Elderly (65+)
Johor,2020-01-01,male,75-79,indian,1.0,Elderly (65+)
Johor,2020-01-01,male,75-79,other_citizen,0.0,Elderly (65+)
Johor,2020-01-01,male,75-79,other_noncitizen,1.9,Elderly (65+)
Johor,2020-01-01,male,80-84,overall,12.2,Elderly (65+)
Johor,2020-01-01,male,80-84,bumi_malay,5.2,Elderly (65+)
Johor,2020-01-01,male,80-84,bumi_other,0.2,Elderly (65+)
Johor,2020-01-01,male,80-84,chinese,4.3,Elderly (65+)
Johor,2020-01-01,male,80-84,indian,0.5,Elderly (65+)
Johor,2020-01-01,male,80-84,other_citizen,0.0,Elderly (65+)
Johor,2020-01-01,male,80-84,other_noncitizen,2.0,Elderly (65+)
Johor,2020-01-01,male,85+,overall,11.6,Elderly (65+)
Johor,2020-01-01,male,85+,bumi_malay,5.3,Elderly (65+)
Johor,2020-01-01,male,85+,bumi_other,0.3,Elderly (65+)
Johor,2020-01-01,male,85+,chinese,2.9,Elderly (65+)
Johor,2020-01-01,male,85+,indian,0.7,Elderly (65+)
Johor,2020-01-01,male,85+,other_citizen,0.0,Elderly (65+)
Johor,2020-01-01,male,85+,other_noncitizen,2.5,Elderly (65+)
Negeri Sembilan,2020-01-01,both,overall,overall,1200.0,
Negeri Sembilan,2020-01-01,both,overall,bumi_malay,693.3,
Negeri Sembilan,2020-01-01,both,overall,bumi_other,23.2,
Negeri Sembilan,2020-01-01,both,overall,chinese,248.5,
