Koalisi,Parti,Nama,Platform,Handle_URL,Jenis,Negeri,Full_URL,Sumber
PH,Amanah,Amanah (Rasmi),Facebook,facebook.com/amanahofficial,Parti Rasmi,Nasional,https://www.facebook.com/amanahofficial,Crawler Reference
PH,Amanah,Mohamad Sabu (Mat Sabu),Facebook,facebook.com/mohamadsabuofficial,Pemimpin,Nasional,https://www.facebook.com/mohamadsabuofficial,Crawler Reference
PH,Amanah,Mohamad Sabu (Mat Sabu),TikTok,@mohamadsabu_official,Pemimpin,Nasional,https://www.tiktok.com/@mohamadsabu_official,Crawler Reference
PH,Amanah,Mohamad Sabu (Mat Sabu),Instagram,@mohamadsabu_official,Pemimpin,Nasional,https://www.instagram.com/mohamadsabu_official/,Crawler Reference
PN,PAS,PAS Pusat (Rasmi),Facebook,facebook.com/paspusat,Parti Rasmi,Nasional,https://www.facebook.com/paspusat,Crawler Reference
PN,PAS,PAS Pusat (Rasmi),TikTok,@pemudapasmalaysia,Parti Rasmi,Nasional,https://www.tiktok.com/@pemudapasmalaysia,Crawler Reference
PN,PAS,PAS Pusat (Rasmi),X / Twitter,x.com/PASPusat,Parti Rasmi,Nasional,https://x.com/PASPusat,Crawler Reference
PN,PAS,Abdul Hadi Awang,Facebook,facebook.com/abdulhadiawang,Pemimpin,Nasional,https://www.facebook.com/abdulhadiawang,Crawler Reference
PN,PAS,Abdul Hadi Awang,TikTok,@abdulhadiawang,Pemimpin,Nasional,https://www.tiktok.com/@abdulhadiawang,Crawler Reference
PN,PAS,Tuan Ibrahim Tuan Man,Facebook,facebook.com/tuanibrahimtuanman,Pemimpin,Nasional,https://www.facebook.com/tuanibrahimtuanman,Crawler Reference
PN,PAS,Tuan Ibrahim Tuan Man,X / Twitter,x.com/titm_official,Pemimpin,Nasional,https://x.com/titm_official,Crawler Reference
PN,PAS,Muhammad Sanusi Md Nor,Facebook,facebook.com/N24MuhammadSanusiMdNor,Pemimpin,Nasional,https://www.facebook.com/N24MuhammadSanusiMdNor,Crawler Reference
PN,PAS,Muhammad Sanusi Md Nor,TikTok,@sanusimdnor,Pemimpin,Nasional,https://www.tiktok.com/@sanusimdnor,Crawler Reference
PN,PAS,Muhammad Sanusi Md Nor,X / Twitter,x.com/SanusiMNor,Pemimpin,Nasional,https://x.com/SanusiMNor,Crawler Reference
PN,Bersatu,Bersatu/PPBM (Rasmi),Facebook,facebook.com/pribumibersatuofficial,Parti Rasmi,Nasional,https://www.facebook.com/pribumibersatuofficial,Crawler Reference
PN,Bersatu,Bersatu/PPBM (Rasmi),X / Twitter,x.com/bersatu_OFFICIAL,Parti Rasmi,Nasional,https://x.com/bersatu_OFFICIAL,Crawler Reference
PN,Bersatu,Muhyiddin Yassin,Facebook,facebook.com/ts.muhyiddin,Pemimpin,Nasional,https://www.facebook.com/ts.muhyiddin,Crawler Reference
PN,Bersatu,Muhyiddin Yassin,X / Twitter,x.com/MuhyiddinYassin,Pemimpin,Nasional,https://x.com/MuhyiddinYassin,Crawler Reference
PN,Bersatu,Muhyiddin Yassin,Instagram,@muhyiddinyassin,Pemimpin,Nasional,https://www.instagram.com/muhyiddinyassin/,Crawler Reference
PN,Bersatu,Hamzah Zainudin,Facebook,facebook.com/hamzahzainudin,Pemimpin,Nasional,https://www.facebook.com/hamzahzainudin,Crawler Reference
PN,Bersatu,Hamzah Zainudin,TikTok,@hamzahzainudin_,Pemimpin,Nasional,https://www.tiktok.com/@hamzahzainudin_,Crawler Reference
PN,Bersatu,Hamzah Zainudin,Instagram,@hamzahzainudin_,Pemimpin,Nasional,https://www.instagram.com/hamzahzainudin_/,Crawler Reference
GPS,GPS,GPS (Rasmi),TikTok,@gabunganpartisarawak_,Parti Rasmi,Nasional,https://www.tiktok.com/@gabunganpartisarawak_,Crawler Reference
GPS,GPS,Abang Johari Openg,Facebook,facebook.com/abangjohariopeng,Pemimpin,Nasional,https://www.facebook.com/abangjohariopeng,Crawler Reference
GPS,GPS,Abang Johari Openg,X / Twitter,@AbangJohari,Pemimpin,Nasional,https://x.com/AbangJohari,Crawler Reference
GRS,GRS,GRS (Rasmi),Facebook,facebook.com/GRSSabah,Parti Rasmi,Nasional,https://www.facebook.com/GRSSabah,Crawler Reference
GRS,GRS,GRS (Rasmi),X / Twitter,@GRSSabah,Parti Rasmi,Nasional,https://x.com/GRSSabah,Crawler Reference
GRS,Warisan,Warisan (Rasmi),Facebook,facebook.com/warisansabah,Parti Rasmi,Nasional,https://www.facebook.com/warisansabah,Crawler Reference
GRS,Warisan,Warisan (Rasmi),X / Twitter,@warisansabah,Parti Rasmi,Nasional,https://x.com/warisansabah,Crawler Reference
Bebas,MUDA,MUDA (Rasmi),Facebook,facebook.com/partimuda,Parti Rasmi,Nasional,https://www.facebook.com/partimuda,Crawler Reference
Bebas,MUDA,MUDA (Rasmi),X / Twitter,@partimuda,Parti Rasmi,Nasional,https://x.com/partimuda,Crawler Reference
Bebas,MUDA,Syed Saddiq,Facebook,facebook.com/syedsaddiqsyedabdulrahman,Pemimpin,Nasional,https://www.facebook.com/syedsaddiqsyedabdulrahman,Crawler Reference
Bebas,MUDA,Syed Saddiq,TikTok,@syedsaddiq,Pemimpin,Nasional,https://www.tiktok.com/@syedsaddiq,Crawler Reference
Bebas,MUDA,Syed Saddiq,X / Twitter,@SyedSaddiq,Pemimpin,Nasional,https://x.com/SyedSaddiq,Crawler Reference
Bebas,MUDA,Syed Saddiq,Instagram,@syedsaddiq,Pemimpin,Nasional,https://www.instagram.com/syedsaddiq/,Crawler Reference
Bebas,Bebas,Khairy Jamaluddin,Facebook,facebook.com/khairy,Pemimpin,Nasional,https://www.facebook.com/khairy,Crawler Reference
Bebas,Bebas,Khairy Jamaluddin,TikTok,@khairykj,Pemimpin,Nasional,https://www.tiktok.com/@khairykj,Crawler Reference
Bebas,Bebas,Khairy Jamaluddin,X / Twitter,@khairykj,Pemimpin,Nasional,https://x.com/khairykj,Crawler Reference
Bebas,Bebas,Khairy Jamaluddin,Instagram,@khairykj,Pemimpin,Nasional,https://www.instagram.com/khairykj/,Crawler Reference
Bebas,Bebas,Dr Mahathir Mohamad,Facebook,facebook.com/mahathirmohamad,Pemimpin,Nasional,https://www.facebook.com/mahathirmohamad,Crawler Reference
Bebas,Bebas,Dr Mahathir Mohamad,X / Twitter,x.com/chedetofficial,Pemimpin,Nasional,https://x.com/chedetofficial,Crawler Reference
PN/PH,PH,Aminuddin Harun,Facebook,facebook.com/aminuddinharun,Pemimpin Negeri,NS,https://www.facebook.com/aminuddinharun,PRN Negeri (added)
PN,PAS,PAS Negeri Sembilan,Facebook,facebook.com/pasnegeri9,Parti Negeri — verified dari crawl,NS,https://www.facebook.com/pasnegeri9,PRN Negeri (added)
PN,PAS,PAS Negeri Sembilan,Instagram,@pasnegeri9,Parti Negeri,NS,https://www.instagram.com/pasnegeri9/,PRN Negeri (added)
PN,PAS,Pemuda PAS NS,Facebook,facebook.com/pemudapasns,Wing Negeri,NS,https://www.facebook.com/pemudapasns,PRN Negeri (added)
BN,UMNO,UMNO Negeri Sembilan,Facebook,facebook.com/umnonegerisembilan,Parti Negeri,NS,https://www.facebook.com/umnonegerisembilan,PRN Negeri (added)
PH,DAP,DAP Negeri Sembilan,Facebook,facebook.com/dapnegerisembilan,Parti Negeri,NS,https://www.facebook.com/dapnegerisembilan,PRN Negeri (added)
BN,UMNO,Onn Hafiz Ghazi,Facebook,facebook.com/OnnHafizGhazi,Pemimpin Negeri,Johor,https://www.facebook.com/OnnHafizGhazi,PRN Negeri (added)
BN,UMNO,Onn Hafiz Ghazi,Instagram,@onnhafizghazi,Pemimpin Negeri,Johor,https://www.instagram.com/onnhafizghazi/,PRN Negeri (added)
PN,PAS,PAS Johor,Facebook,facebook.com/PASJohor,Parti Negeri,Johor,https://www.facebook.com/PASJohor,PRN Negeri (added)
PN,PAS,PAS Johor,Instagram,@pas_johor,Parti Negeri,Johor,https://www.instagram.com/pas_johor/,PRN Negeri (added)
PN,PAS,PAS Johor,TikTok,@pasjohor,Parti Negeri,Johor,https://www.tiktok.com/@pasjohor,PRN Negeri (added)
BN,UMNO,UMNO Johor,Facebook,facebook.com/UMNOJohor,Parti Negeri,Johor,https://www.facebook.com/UMNOJohor,PRN Negeri (added)
PN,Bersatu,Bersatu Johor,Facebook,facebook.com/bersatujohor,Parti Negeri,Johor,https://www.facebook.com/bersatujohor,PRN Negeri (added)
PH,PKR,Kerajaan Melaka (PH),Facebook,facebook.com/kerajaanmelaka,Parti/Kerajaan,Melaka,https://www.facebook.com/kerajaanmelaka,PRN Negeri (added)
PN,PAS,PAS Melaka,Facebook,facebook.com/pasmelaka,Parti Negeri,Melaka,https://www.facebook.com/pasmelaka,PRN Negeri (added)
BN,UMNO,UMNO Melaka,Facebook,facebook.com/UMNOMelaka,Parti Negeri,Melaka,https://www.facebook.com/UMNOMelaka,PRN Negeri (added)
PN,Bersatu,Bersatu Melaka,Facebook,facebook.com/bersatumelaka,Parti Negeri,Melaka,https://www.facebook.com/bersatumelaka,PRN Negeri (added)
