Koalisi,Parti,Nama,Platform,Handle_URL,Jenis,Full_URL
PH,PKR,PKR (Rasmi),Facebook,facebook.com/KeadilanRakyat,Parti Rasmi,https://www.facebook.com/KeadilanRakyat
PH,PKR,Anwar Ibrahim,Facebook,facebook.com/anwaribrahimofficial,Pemimpin,https://www.facebook.com/anwaribrahimofficial
PH,PKR,Anwar Ibrahim,TikTok,@anwaribrahimofficial,Pemimpin,https://www.tiktok.com/@anwaribrahimofficial
PH,PKR,Anwar Ibrahim,X / Twitter,x.com/anwaribrahim,Pemimpin,https://x.com/anwaribrahim
PH,PKR,Anwar Ibrahim,Instagram,@anwaribrahimofficial,Pemimpin,https://www.instagram.com/anwaribrahimofficial/
PH,PKR,Rafizi Ramli,Facebook,facebook.com/rafiziramli.keadilan,Pemimpin,https://www.facebook.com/rafiziramli.keadilan
PH,PKR,Rafizi Ramli,TikTok,@rafiziramli,Pemimpin,https://www.tiktok.com/@rafiziramli
PH,PKR,Rafizi Ramli,X / Twitter,x.com/rafiziramli,Pemimpin,https://x.com/rafiziramli
PH,PKR,Rafizi Ramli,Instagram,@rafiziramli,Pemimpin,https://www.instagram.com/rafiziramli/
PH,DAP,DAP (Rasmi),Facebook,facebook.com/dapmalaysia,Parti Rasmi,https://www.facebook.com/dapmalaysia
PH,DAP,DAP (Rasmi),X / Twitter,x.com/dapmalaysia,Parti Rasmi,https://x.com/dapmalaysia
PH,DAP,DAP (Rasmi),Instagram,@dapmalaysia,Parti Rasmi,https://www.instagram.com/dapmalaysia/
PH,DAP,Lim Guan Eng,Facebook,facebook.com/limguaneng,Pemimpin,https://www.facebook.com/limguaneng
PH,DAP,Lim Guan Eng,TikTok,@limguaneng,Pemimpin,https://www.tiktok.com/@limguaneng
PH,DAP,Lim Guan Eng,X / Twitter,x.com/guanenglim,Pemimpin,https://x.com/guanenglim
PH,DAP,Gobind Singh Deo,Facebook,facebook.com/gobindsinghdeo,Pemimpin,https://www.facebook.com/gobindsinghdeo
PH,DAP,Gobind Singh Deo,X / Twitter,x.com/GobindSinghDeo,Pemimpin,https://x.com/GobindSinghDeo
PH,DAP,Anthony Loke,Facebook,facebook.com/anthonyloke,Pemimpin,https://www.facebook.com/anthonyloke
PH,DAP,Anthony Loke,TikTok,@anthonyloke,Pemimpin,https://www.tiktok.com/@anthonyloke
PH,DAP,Hannah Yeoh,Facebook,facebook.com/hannahyeoh,Pemimpin,https://www.facebook.com/hannahyeoh
PH,DAP,Hannah Yeoh,X / Twitter,@hannahyeoh,Pemimpin,https://x.com/hannahyeoh
PH,DAP,Hannah Yeoh,Instagram,@hannahyeoh,Pemimpin,https://www.instagram.com/hannahyeoh/
PH,DAP,Nga Kor Ming,Facebook,facebook.com/ngakorming,Pemimpin,https://www.facebook.com/ngakorming
PH,DAP,Nga Kor Ming,X / Twitter,@ngakorming,Pemimpin,https://x.com/ngakorming
PH,Amanah,Amanah (Rasmi),Facebook,facebook.com/amanahofficial,Parti Rasmi,https://www.facebook.com/amanahofficial
PH,Amanah,Mohamad Sabu (Mat Sabu),Facebook,facebook.com/mohamadsabuofficial,Pemimpin,https://www.facebook.com/mohamadsabuofficial
PH,Amanah,Mohamad Sabu (Mat Sabu),TikTok,@mohamadsabu_official,Pemimpin,https://www.tiktok.com/@mohamadsabu_official
PH,Amanah,Mohamad Sabu (Mat Sabu),Instagram,@mohamadsabu_official,Pemimpin,https://www.instagram.com/mohamadsabu_official/
PN,PAS,PAS Pusat (Rasmi),Facebook,facebook.com/paspusat,Parti Rasmi,https://www.facebook.com/paspusat
PN,PAS,PAS Pusat (Rasmi),TikTok,@pemudapasmalaysia,Parti Rasmi,https://www.tiktok.com/@pemudapasmalaysia
PN,PAS,PAS Pusat (Rasmi),X / Twitter,x.com/PASPusat,Parti Rasmi,https://x.com/PASPusat
PN,PAS,Abdul Hadi Awang,Facebook,facebook.com/abdulhadiawang,Pemimpin,https://www.facebook.com/abdulhadiawang
PN,PAS,Abdul Hadi Awang,TikTok,@abdulhadiawang,Pemimpin,https://www.tiktok.com/@abdulhadiawang
PN,PAS,Tuan Ibrahim Tuan Man,Facebook,facebook.com/tuanibrahimtuanman,Pemimpin,https://www.facebook.com/tuanibrahimtuanman
PN,PAS,Tuan Ibrahim Tuan Man,X / Twitter,x.com/titm_official,Pemimpin,https://x.com/titm_official
PN,PAS,Muhammad Sanusi Md Nor,Facebook,facebook.com/N24MuhammadSanusiMdNor,Pemimpin,https://www.facebook.com/N24MuhammadSanusiMdNor
PN,PAS,Muhammad Sanusi Md Nor,TikTok,@sanusimdnor,Pemimpin,https://www.tiktok.com/@sanusimdnor
PN,PAS,Muhammad Sanusi Md Nor,X / Twitter,x.com/SanusiMNor,Pemimpin,https://x.com/SanusiMNor
PN,PAS,Ahmad Samsuri Mokhtar (Dr. Sam),Facebook,facebook.com/DrAhmadSamsuri,Pemimpin,https://www.facebook.com/DrAhmadSamsuri
PN,PAS,Ahmad Samsuri Mokhtar (Dr. Sam),TikTok,@drsamtrg,Pemimpin,https://www.tiktok.com/@drsamtrg
PN,PAS,Ahmad Samsuri Mokhtar (Dr. Sam),X / Twitter,x.com/DrAhmadSamsuri,Pemimpin,https://x.com/DrAhmadSamsuri
PN,PAS,Ahmad Samsuri Mokhtar (Dr. Sam),Instagram,@drahmadsamsuri,Pemimpin,https://www.instagram.com/drahmadsamsuri/
PN,Bersatu,Bersatu/PPBM (Rasmi),Facebook,facebook.com/pribumibersatuofficial,Parti Rasmi,https://www.facebook.com/pribumibersatuofficial
PN,Bersatu,Bersatu/PPBM (Rasmi),X / Twitter,x.com/bersatu_OFFICIAL,Parti Rasmi,https://x.com/bersatu_OFFICIAL
PN,Bersatu,Muhyiddin Yassin,Facebook,facebook.com/ts.muhyiddin,Pemimpin,https://www.facebook.com/ts.muhyiddin
PN,Bersatu,Muhyiddin Yassin,X / Twitter,x.com/MuhyiddinYassin,Pemimpin,https://x.com/MuhyiddinYassin
PN,Bersatu,Muhyiddin Yassin,Instagram,@muhyiddinyassin,Pemimpin,https://www.instagram.com/muhyiddinyassin/
PN,Bersatu,Hamzah Zainudin,Facebook,facebook.com/hamzahzainudin,Pemimpin,https://www.facebook.com/hamzahzainudin
PN,Bersatu,Hamzah Zainudin,TikTok,@hamzahzainudin_,Pemimpin,https://www.tiktok.com/@hamzahzainudin_
PN,Bersatu,Hamzah Zainudin,Instagram,@hamzahzainudin_,Pemimpin,https://www.instagram.com/hamzahzainudin_/
GPS,GPS,GPS (Rasmi),TikTok,@gabunganpartisarawak_,Parti Rasmi,https://www.tiktok.com/@gabunganpartisarawak_
GPS,GPS,Abang Johari Openg,Facebook,facebook.com/abangjohariopeng,Pemimpin,https://www.facebook.com/abangjohariopeng
GPS,GPS,Abang Johari Openg,X / Twitter,@AbangJohari,Pemimpin,https://x.com/AbangJohari
GRS,GRS,GRS (Rasmi),Facebook,facebook.com/GRSSabah,Parti Rasmi,https://www.facebook.com/GRSSabah
GRS,GRS,GRS (Rasmi),X / Twitter,@GRSSabah,Parti Rasmi,https://x.com/GRSSabah
GRS,Warisan,Warisan (Rasmi),Facebook,facebook.com/warisansabah,Parti Rasmi,https://www.facebook.com/warisansabah
GRS,Warisan,Warisan (Rasmi),X / Twitter,@warisansabah,Parti Rasmi,https://x.com/warisansabah
Bebas,MUDA,MUDA (Rasmi),Facebook,facebook.com/partimuda,Parti Rasmi,https://www.facebook.com/partimuda
Bebas,MUDA,MUDA (Rasmi),X / Twitter,@partimuda,Parti Rasmi,https://x.com/partimuda
Bebas,MUDA,Syed Saddiq,Facebook,facebook.com/syedsaddiqsyedabdulrahman,Pemimpin,https://www.facebook.com/syedsaddiqsyedabdulrahman
Bebas,MUDA,Syed Saddiq,TikTok,@syedsaddiq,Pemimpin,https://www.tiktok.com/@syedsaddiq
Bebas,MUDA,Syed Saddiq,X / Twitter,@SyedSaddiq,Pemimpin,https://x.com/SyedSaddiq
Bebas,MUDA,Syed Saddiq,Instagram,@syedsaddiq,Pemimpin,https://www.instagram.com/syedsaddiq/
Bebas,Bebas,Khairy Jamaluddin,Facebook,facebook.com/khairy,Pemimpin,https://www.facebook.com/khairy
Bebas,Bebas,Khairy Jamaluddin,TikTok,@khairykj,Pemimpin,https://www.tiktok.com/@khairykj
Bebas,Bebas,Khairy Jamaluddin,X / Twitter,@khairykj,Pemimpin,https://x.com/khairykj
Bebas,Bebas,Khairy Jamaluddin,Instagram,@khairykj,Pemimpin,https://www.instagram.com/khairykj/
Bebas,Bebas,Dr Mahathir Mohamad,Facebook,facebook.com/mahathirmohamad,Pemimpin,https://www.facebook.com/mahathirmohamad
Bebas,Bebas,Dr Mahathir Mohamad,X / Twitter,x.com/chedetofficial,Pemimpin,https://x.com/chedetofficial
