Koalisi,Parti,Nama,Jawatan,Platform,Handle,Full_URL,Nota
PH,DAP,Hannah Yeoh,Timbalan SU Agung DAP,Facebook,facebook.com/hannahyeoh,https://www.facebook.com/hannahyeoh,
PH,DAP,Hannah Yeoh,Timbalan SU Agung DAP,X,@hannahyeoh,https://x.com/hannahyeoh,
PH,DAP,Hannah Yeoh,Timbalan SU Agung DAP,Instagram,@hannahyeoh,https://www.instagram.com/hannahyeoh/,
PH,DAP,Nga Kor Ming,Timbalan Pengerusi DAP,Facebook,facebook.com/ngakorming,https://www.facebook.com/ngakorming,
PH,DAP,Nga Kor Ming,Timbalan Pengerusi DAP,X,@ngakorming,https://x.com/ngakorming,
PH,Amanah,Amanah (Rasmi),Parti Rasmi,Facebook,facebook.com/amanahofficial,https://www.facebook.com/amanahofficial,amanah.org.my
PH,Amanah,Mohamad Sabu (Mat Sabu),Presiden Amanah,Facebook,facebook.com/mohamadsabuofficial,https://www.facebook.com/mohamadsabuofficial,FB: 391K
PH,Amanah,Mohamad Sabu (Mat Sabu),Presiden Amanah,TikTok,@mohamadsabu_official,https://www.tiktok.com/@mohamadsabu_official,FB: 391K
PH,Amanah,Mohamad Sabu (Mat Sabu),Presiden Amanah,Instagram,@mohamadsabu_official,https://www.instagram.com/mohamadsabu_official/,FB: 391K
PN,PAS,PAS Pusat (Rasmi),Parti Rasmi,Facebook,facebook.com/paspusat,https://www.facebook.com/paspusat,X juga: @pasmy_ | Pemuda TikTok: 285.8K
PN,PAS,PAS Pusat (Rasmi),Parti Rasmi,TikTok,@pemudapasmalaysia,https://www.tiktok.com/@pemudapasmalaysia,X juga: @pasmy_ | Pemuda TikTok: 285.8K
PN,PAS,PAS Pusat (Rasmi),Parti Rasmi,X,x.com/PASPusat,https://x.com/PASPusat,X juga: @pasmy_ | Pemuda TikTok: 285.8K
PN,PAS,Abdul Hadi Awang,Presiden PAS,Facebook,facebook.com/abdulhadiawang,https://www.facebook.com/abdulhadiawang,FB: 784K | TikTok: 337.3K
PN,PAS,Abdul Hadi Awang,Presiden PAS,TikTok,@abdulhadiawang,https://www.tiktok.com/@abdulhadiawang,FB: 784K | TikTok: 337.3K
PN,PAS,Tuan Ibrahim Tuan Man,Timbalan Presiden PAS,Facebook,facebook.com/tuanibrahimtuanman,https://www.facebook.com/tuanibrahimtuanman,X: 99.1K
PN,PAS,Tuan Ibrahim Tuan Man,Timbalan Presiden PAS,X,x.com/titm_official,https://x.com/titm_official,X: 99.1K
PN,PAS,Muhammad Sanusi Md Nor,MB Kedah / PAS,Facebook,facebook.com/N24MuhammadSanusiMdNor,https://www.facebook.com/N24MuhammadSanusiMdNor,FB: 457K | TikTok: 1 juta
PN,PAS,Muhammad Sanusi Md Nor,MB Kedah / PAS,TikTok,@sanusimdnor,https://www.tiktok.com/@sanusimdnor,FB: 457K | TikTok: 1 juta
PN,PAS,Muhammad Sanusi Md Nor,MB Kedah / PAS,X,x.com/SanusiMNor,https://x.com/SanusiMNor,FB: 457K | TikTok: 1 juta
PN,PAS,Ahmad Samsuri Mokhtar (Dr. Sam),Naib Presiden PAS / MB Terengganu / AP Kemaman,Facebook,facebook.com/DrAhmadSamsuri,https://www.facebook.com/DrAhmadSamsuri,FB: 484K | IG: 203K | Jurutera Angkasa
PN,PAS,Ahmad Samsuri Mokhtar (Dr. Sam),Naib Presiden PAS / MB Terengganu / AP Kemaman,TikTok,@drsamtrg,https://www.tiktok.com/@drsamtrg,FB: 484K | IG: 203K | Jurutera Angkasa
PN,PAS,Ahmad Samsuri Mokhtar (Dr. Sam),Naib Presiden PAS / MB Terengganu / AP Kemaman,X,x.com/DrAhmadSamsuri,https://x.com/DrAhmadSamsuri,FB: 484K | IG: 203K | Jurutera Angkasa
PN,PAS,Ahmad Samsuri Mokhtar (Dr. Sam),Naib Presiden PAS / MB Terengganu / AP Kemaman,Instagram,@drahmadsamsuri,https://www.instagram.com/drahmadsamsuri/,FB: 484K | IG: 203K | Jurutera Angkasa
PN,Bersatu,Bersatu/PPBM (Rasmi),Parti Rasmi,Facebook,facebook.com/pribumibersatuofficial,https://www.facebook.com/pribumibersatuofficial,FB: 411K
PN,Bersatu,Bersatu/PPBM (Rasmi),Parti Rasmi,X,x.com/bersatu_OFFICIAL,https://x.com/bersatu_OFFICIAL,FB: 411K
PN,Bersatu,Muhyiddin Yassin,Presiden Bersatu,Facebook,facebook.com/ts.muhyiddin,https://www.facebook.com/ts.muhyiddin,X: 1.2 juta
PN,Bersatu,Muhyiddin Yassin,Presiden Bersatu,X,x.com/MuhyiddinYassin,https://x.com/MuhyiddinYassin,X: 1.2 juta
PN,Bersatu,Muhyiddin Yassin,Presiden Bersatu,Instagram,@muhyiddinyassin,https://www.instagram.com/muhyiddinyassin/,X: 1.2 juta
PN,Bersatu,Hamzah Zainudin,Bekas Timbalan Presiden Bersatu,Facebook,facebook.com/hamzahzainudin,https://www.facebook.com/hamzahzainudin,"TikTok: 228.7K, 2M likes"
PN,Bersatu,Hamzah Zainudin,Bekas Timbalan Presiden Bersatu,TikTok,@hamzahzainudin_,https://www.tiktok.com/@hamzahzainudin_,"TikTok: 228.7K, 2M likes"
PN,Bersatu,Hamzah Zainudin,Bekas Timbalan Presiden Bersatu,Instagram,@hamzahzainudin_,https://www.instagram.com/hamzahzainudin_/,"TikTok: 228.7K, 2M likes"
GPS,GPS,GPS (Rasmi),Gabungan Parti Sarawak,TikTok,@gabunganpartisarawak_,https://www.tiktok.com/@gabunganpartisarawak_,
GPS,GPS,Abang Johari Openg,Premier Sarawak / GPS,Facebook,facebook.com/abangjohariopeng,https://www.facebook.com/abangjohariopeng,
GPS,GPS,Abang Johari Openg,Premier Sarawak / GPS,X,@AbangJohari,https://x.com/AbangJohari,
GRS,GRS,GRS (Rasmi),Gabungan Rakyat Sabah,Facebook,facebook.com/GRSSabah,https://www.facebook.com/GRSSabah,
GRS,GRS,GRS (Rasmi),Gabungan Rakyat Sabah,X,@GRSSabah,https://x.com/GRSSabah,
GRS,Warisan,Warisan (Rasmi),Parti Warisan Sabah,Facebook,facebook.com/warisansabah,https://www.facebook.com/warisansabah,
GRS,Warisan,Warisan (Rasmi),Parti Warisan Sabah,X,@warisansabah,https://x.com/warisansabah,
Bebas,MUDA,MUDA (Rasmi),Parti Rasmi,Facebook,facebook.com/partimuda,https://www.facebook.com/partimuda,
Bebas,MUDA,MUDA (Rasmi),Parti Rasmi,X,@partimuda,https://x.com/partimuda,
Bebas,MUDA,Syed Saddiq,Presiden MUDA | #4 — 7.6 juta,Facebook,facebook.com/syedsaddiqsyedabdulrahman,https://www.facebook.com/syedsaddiqsyedabdulrahman,TikTok: 2.3M | IG: 2.2M
Bebas,MUDA,Syed Saddiq,Presiden MUDA | #4 — 7.6 juta,TikTok,@syedsaddiq,https://www.tiktok.com/@syedsaddiq,TikTok: 2.3M | IG: 2.2M
Bebas,MUDA,Syed Saddiq,Presiden MUDA | #4 — 7.6 juta,X,@SyedSaddiq,https://x.com/SyedSaddiq,TikTok: 2.3M | IG: 2.2M
Bebas,MUDA,Syed Saddiq,Presiden MUDA | #4 — 7.6 juta,Instagram,@syedsaddiq,https://www.instagram.com/syedsaddiq/,TikTok: 2.3M | IG: 2.2M
Bebas,Bebas,Khairy Jamaluddin,Bekas Menteri / Podcast | #5 — 6.4 juta,Facebook,facebook.com/khairy,https://www.facebook.com/khairy,TikTok: 698K
Bebas,Bebas,Khairy Jamaluddin,Bekas Menteri / Podcast | #5 — 6.4 juta,TikTok,@khairykj,https://www.tiktok.com/@khairykj,TikTok: 698K
Bebas,Bebas,Khairy Jamaluddin,Bekas Menteri / Podcast | #5 — 6.4 juta,X,@khairykj,https://x.com/khairykj,TikTok: 698K
Bebas,Bebas,Khairy Jamaluddin,Bekas Menteri / Podcast | #5 — 6.4 juta,Instagram,@khairykj,https://www.instagram.com/khairykj/,TikTok: 698K
Bebas,Bebas,Dr Mahathir Mohamad,Bekas PM | #2 — 8.11 juta,Facebook,facebook.com/mahathirmohamad,https://www.facebook.com/mahathirmohamad,X: 1.3 juta
Bebas,Bebas,Dr Mahathir Mohamad,Bekas PM | #2 — 8.11 juta,X,x.com/chedetofficial,https://x.com/chedetofficial,X: 1.3 juta
